	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33	PC_34	PC_35	PC_36	PC_37	PC_38	PC_39	PC_40	PC_41	PC_42	PC_43	PC_44	PC_45	PC_46	PC_47	PC_48	PC_49	PC_50
Total_duration_of_fixations_mean_clinical_original	-0.0636428038548875	0.005143326040614842	0.013724207669870286	0.019309728582992645	0.030207302512161454	0.015171250291145131	0.015400001121463714	0.05066064286063772	-0.003783644175702842	-0.009619099180166672	-0.014942491235912908	-0.006366755012488769	0.0036140881255507136	-0.022914283049788896	0.012666782068432221	-0.020445498964687177	0.021340587264517586	-0.001906185314345005	-0.012935010553953144	0.044950411515979005	0.008159694367594563	0.021581749288625312	-0.011404990674795458	-0.014174188913529588	-0.0004147724179536797	-0.03200044537601637	-0.007366448794892151	0.015560443945324662	0.007886093937538216	0.04510042117873331	0.0038284775429299955	0.014456532514626821	-0.019508731618560413	0.024329601876449062	0.03109954414078883	-0.026223745194411018	-0.00475107550161424	0.008505367453499597	-0.018663023422825734	0.021173890366971076	-0.032754817502829506	0.015193610818352531	0.02812714680855204	0.03171201618951198	0.02923152561102572	0.009217173750247354	-0.006070756863029666	-0.005248300489603522	-0.005283729633262464	0.27574065420063926
Total_duration_of_fixations_mean_clinical_simple	-0.03509698555644214	0.06944695880370065	0.034620668994217674	-0.00798141962445388	0.022913650198849844	0.00975354750946717	-0.019216839201460785	0.04701247462173475	0.021207600094725772	-0.03423080023434455	-0.03227166321664644	-0.0030842586979770176	-0.0048800342864986305	0.009345260489425094	0.021732271775370866	0.01048954018806209	0.006217685748567615	0.018229068723375604	-0.001503554374744934	0.005419939558373732	0.006159511690158945	0.005116926792339995	0.04142842222811131	0.04030076604653673	0.0006105195600153696	0.020085107791237487	0.013187537642041261	0.014781244394008838	-0.01111587027168047	-0.04284415117373811	0.03148002416474827	-0.001369911476404534	-0.03326466561907002	0.02029841008990002	0.022038458040217698	0.005546343329819965	0.001571022106066607	0.022502052776010886	-0.03214409389992362	0.014302209635141743	0.007698333486955503	0.02814494594635217	-0.01514441226360009	0.015070945170786474	0.00047281700241493045	0.006931447499563486	0.05811368677932456	-0.026007481957931816	-0.011309969084210532	-0.08813497213447093
Total_duration_of_fixations_mean_medical_original	-0.057488112630462766	0.001654261591239313	0.024455319452503507	0.01806356762858764	0.033343284181462755	0.053272899177196756	-0.004175343625903442	0.024971082608269413	0.03522744687181156	0.005790770282262914	-0.03516154194491736	-0.010730022281218055	-0.01758513416655122	0.009743321570788574	0.02957797613866673	-0.015001211909877517	-0.014425902259954491	0.027880338173017768	0.017320850019767013	-0.026498772615218498	-0.004597155738318904	0.05274258625005716	0.010955955545560114	-0.03276710640259286	-0.01712017496550159	0.013414023783216756	0.005222960435911234	-0.04439114872224751	0.0022991126441977362	-0.02912862388364584	-0.009003375175238169	-0.017845111146052542	-0.02061067519205182	-0.01990607400728924	-0.014343684836164225	-0.03045550889059804	0.025585592545913177	0.057924051926953934	0.00811662255043968	0.01774267443372144	0.006836662476144098	0.024617039182075022	-0.03567428776252208	0.04406950751734269	0.020842286429289574	-0.035503461247139934	0.0004569196581701105	-0.006260220437330634	-0.021144995234085095	0.09283366477171241
Total_duration_of_fixations_mean_medical_simple	-0.04782182906359695	0.05660928506732449	-0.019342124255457283	0.025264481663165642	0.026107142433816517	0.02427239012909814	0.008351260710026372	0.0365539892741197	0.03187129773363715	-0.0010556074149246039	-0.03467583850986646	-0.005658611660057273	-0.031474881057744694	-0.009462410530330987	0.0016244370051417452	-0.007436482752274389	0.004833509540539973	-0.014440640708584602	-0.01800548696642953	0.009795663328912243	-0.01573963842273825	0.03485457501441935	0.007403470677369086	-0.010604855039741026	-0.004421577697171527	0.016884973222978078	-0.02295312511660864	-0.015990760132184024	0.012273658406844468	-0.03431158874633826	0.03784047278743639	-0.014760972334803262	-0.006717828472560601	-0.0028130199777368216	-0.0006005884066588849	0.014112570276323719	-0.022779680924963942	0.023213668139132816	-0.02312972522258022	0.02019993349479147	-0.003599710559371384	-0.004966335334343453	0.012625511354676022	0.04990211409226684	-0.04854038793824581	0.01936914264639816	0.022474377074424175	-0.019554150639653	0.008417500074233506	-0.13555018297972243
Total_duration_of_fixations_std_clinical_original	-0.0616490256778609	0.011516011264715542	0.014441360632348845	0.013056021946409061	0.029927696959780963	0.02790826676522192	0.005273936373046786	0.05157435214312378	-0.018793823050789672	0.013772905767356017	0.0189328870804962	-0.029111985448593697	-0.0004019055256447465	-0.03840775700981334	0.007040519070194525	-0.004867855553640411	0.015214317971526435	-0.015018758801407017	-0.0483028021842439	-0.0005758739204367388	0.02115874418360474	0.012791923213301857	0.014588122073572374	0.0004662597189782847	0.003177827049456962	-0.05581748937247913	0.014224416629390021	0.013938425657472274	0.0014613830485860815	0.026290434263438665	-0.012995355863381072	0.02985296024454124	0.0020562634340000113	0.020914532086854513	0.0025195108041585874	0.005267799826508587	-0.02776737102550353	0.014188705812116995	-0.058486330923052304	-0.019744219986073577	0.004299205854293382	0.027991137563919397	0.023548945005697385	-0.035427301668688946	0.027708446345020288	0.021419570572113453	0.01185897274514913	-0.02531383973361452	0.008863637638056195	-0.07653212083535045
Total_duration_of_fixations_std_clinical_simple	-0.032819492791524366	0.0696552482739143	0.03348827947133224	-0.0049873245360904555	0.018638062892772856	0.012358575858189572	-0.015659246022737557	0.05300221143530265	-0.017491336846909067	-0.007441755630944978	0.014189207666787442	-0.023811319263109105	-0.01755794441240027	0.023348447814843867	0.008242862004447283	0.012521751371257868	-0.00019877016053278197	0.007890538288898451	0.05343484362209094	0.004239175681833153	0.003315179606787372	-0.013538431322325493	0.07874408836243693	0.08300868827198528	-0.011709921657437575	0.012552716456904816	0.017768349975899603	-0.003779794307447265	-0.04970247463602824	0.00855539646970049	0.010053790679463631	-0.0011537696221330205	-0.0030245468778323675	0.011101441695622011	0.008169543653607553	0.07066580013536732	-0.01372640711917604	0.03815152184086373	-0.040657321298183835	-0.01614900824541346	0.011067069924907117	0.0191995441354638	0.0037800149376931943	0.008041326588803174	0.057054897447951995	0.02162799606781329	-0.01454410177637976	0.06618124567409674	0.05604632297308647	-0.02237369470802555
Total_duration_of_fixations_std_medical_original	-0.05351050149238692	0.0017455657882343711	0.02562251411127243	0.005772921939605901	0.043669602559011506	0.05914697022967481	-0.01605109968739375	0.02444987556774352	0.02900486052608762	0.03199143984510774	0.024403379938094816	-0.046943774793556305	-0.006726332040135538	0.0027264696586895613	-0.003999204170420437	0.017689719222665205	-0.024396101713612634	0.01460005238591791	0.012234053653458216	-0.049502337238807786	-0.02422827579449371	0.0675181063976114	0.004675091770561704	-0.02790772119690466	2.1099564093719895e-05	0.00039774351474885925	0.00815027269741966	-0.036780483640081345	0.020772339724957706	-0.044425404372182585	-0.00620900372006373	-0.01631482221555307	-0.0048184350955042966	-0.03339994475721448	0.005593436720207296	0.014934988536245952	0.02290949569938081	0.016228537952111273	-0.022481997590364008	-0.015086824778499893	0.03590984418817025	0.004051746276928981	-0.015381104153391802	0.016624412470556127	0.04041134304099777	-0.01708591146994928	-0.04782569285847707	-0.00043537296863133536	-0.019639677812907905	0.5116264552753303
Total_duration_of_fixations_std_medical_simple	-0.04538431724986234	0.0576688321503889	-0.02506889466016219	0.026524002295975322	0.007930638187874055	0.0280692433166381	0.00543778294530647	0.043247390146526205	0.01508485482167829	0.019611238923958593	0.011676083542202651	-0.0314814004083981	-0.040652574009946124	-0.010904680516505373	-0.008718333478621288	0.022842897413998836	0.0038695856318846974	-0.01540744638363222	-0.027786535171540734	0.009986499558888588	-0.01817054423320828	0.058412218597704534	0.04027586228451539	-0.006563916609245003	-0.011181748289784405	0.007500901409372939	-0.00645678169277533	-0.02356960629326406	-0.014408680113325351	-0.04503555896402161	-0.0046481703853048974	-0.029570286189071992	0.03732015306686483	-0.03052713343448285	0.0027204234660752275	-0.010534972857024913	-0.01758860745065185	-0.00153218382889304	-0.040449250795047506	-0.019701201350521023	0.022558325558124193	0.0058526392982037375	-0.004157548710280635	0.005785145814221269	-0.006581022771018204	0.029247436040959203	-0.05045222069147686	0.008221896473775596	0.05859823389786345	-0.09351377994323695
Total_duration_of_fixations_max_clinical_original	-0.05350528556933817	0.015991840978836432	0.010808050383049321	0.011712488886223177	0.027749136754925522	0.04301450468357491	-0.004954953453136796	0.0420951144712077	-0.03349719872892529	0.02689395046683639	0.009961671984190592	-0.03185673675190031	0.014514951742563656	-0.044322683814166056	0.01563909890320885	-0.033710499409711644	-0.027332156209760462	-0.014926369962783598	-0.12215140864682118	-0.08205623501102614	0.04211345411974801	-0.0383640561475913	0.0019214450664054878	0.006452374490515711	0.03187402042912488	-0.030251361230993038	0.018847337551383892	-0.016023755824643476	0.07422108351697258	-0.03656466805708716	-0.006051458383787949	0.03870142148864619	-0.03684954137129072	0.034228167809294226	0.035832881896068154	0.052463114793352084	-0.024550907202441866	0.032938469665835045	-0.020517829503308004	-0.018778915374822635	0.062047932044879864	-0.010699569322914942	-0.055199522120899666	-0.036319395945504825	-0.01253331929773212	-0.018311267717888186	-0.0013481615732349602	-0.06772707894831594	-0.021236572702785166	-0.009911985632923372
Total_duration_of_fixations_max_clinical_simple	-0.02806761317310003	0.059932104924610465	0.023264370782150146	-0.00020057687203197495	0.005899120039303444	0.001052358167734621	-0.017374643107609923	0.03572994702829285	-0.05587810573392795	0.0264574389266902	0.015196914574263802	0.0033424626462752703	-0.04145822149991369	0.06267298882990638	-0.06306077126576205	-0.03011248519672796	-0.03153197096543033	-0.043614607214874576	0.13692269078397895	-0.00352670936253885	0.004288083759418742	-0.05491490811941793	0.09603382008964802	0.09055554897898321	-0.02516320990335848	-0.008104455387819298	0.04698897416450531	-0.042995734741224825	-0.00022168945396495638	0.057077907769226874	-0.04300328297039532	-0.019136008227399068	-0.10054171546124396	-0.0022268308916437774	0.020590171243559902	0.06524933679243121	-0.05666887516070335	0.03713561746342336	0.017166182838667044	0.06405737660118306	-0.05587440593857094	0.0076550800753012556	-0.003058211721951899	-0.10501883560793751	-0.04820725693454117	0.022035680981614226	-0.008809793862171122	0.02346500526850581	0.0660279497762631	0.06105380964253516
