	RC_1	RC_2	RC_3	RC_4	RC_5	RC_6	RC_7	RC_8	RC_9	RC_10	RC_11	RC_12	RC_13	RC_14	RC_15	RC_16	RC_17	RC_18	RC_19	RC_20	RC_21	RC_22	RC_23
Total_duration_of_fixations_mean_clinical_original	-0.07069532457011203	-0.012451888485000635	0.007902576291397102	0.009467544955406838	-0.006293613040121401	-0.009266425788317765	0.0259518712499841	-0.024055883140632017	0.011337553714517147	-0.02911237685603026	-0.0014741632565054466	0.0068122887225640595	0.009429174500355141	-0.03473788765001829	-0.022142920292399608	-0.020091372926952216	-0.004511919505507313	0.002886290274023265	-0.010063548406186082	-0.007404906424941527	-0.015801882688496815	-0.05407620204202244	-0.011196531192018428
Total_duration_of_fixations_mean_clinical_simple	-0.07110159253379715	0.020253756824210063	0.008317664852390343	-0.029557187379911375	-0.030049686319656013	-0.006146607973315509	-0.017808273214068523	0.00020865936806641777	0.02302062317870354	0.001477776453906601	-0.016866739427463015	-0.0037888345246876154	0.005226666744906065	0.015180515457046946	0.03810990254768825	-0.006933348917078747	0.010104449737446715	0.02879196524212022	0.015150690560905447	0.0027845259016906925	0.01553356655146939	-0.06587111464675277	0.007831533547517582
Total_duration_of_fixations_mean_medical_original	-0.0832954458410831	-0.03704400825275223	0.010661733912151469	0.017937768291221096	0.02812780474261597	-0.01117167097585538	-0.03475515643000426	0.0009884632606458913	0.04277809798447096	-0.005260290048821384	-0.03419174257538476	-0.009326899771252319	0.0022356476384436186	0.01748147918834408	0.017687114121526223	-0.01595056429548645	-0.015185053476483067	0.012953689336250573	0.023203488978751175	-0.029468318810483694	-0.02255179663447054	-0.021948338220128222	-0.014338677309941499
Total_duration_of_fixations_mean_medical_simple	-0.09870042132128344	0.01703699600833914	-0.012847031593642545	0.008945807919008387	0.007304644422218043	0.011730756387996113	0.0023110195275677765	0.0003397475375672181	0.04792642346335067	0.015494546587090433	0.004262461068520037	-0.017751000148145114	0.004719979059049383	-0.0014477995505209988	-0.014211555284257162	0.002157268300445983	0.0028998483369656017	-0.00046478017147994264	-0.0093127526377965	-0.006802357331061532	0.003853792463643744	-0.031748821962948454	0.0004984397694705168
Total_duration_of_fixations_std_clinical_original	-0.084247979216705	-0.006864237911860897	0.008040560135207068	-6.891909410208432e-05	-0.01035817318647612	-0.010094786502765853	0.02058672380260719	-0.006784411499801534	-0.023015007499154028	-0.019344562607815915	0.027603791440179732	0.016294097660434527	0.011700531635997385	-0.027151504561960697	-0.0010121344193501553	-0.019190829412553713	0.007430130115507071	-0.020096860733136178	-0.001995410644728083	-0.05714123169333718	-0.003264458350172841	-0.027235755762506787	0.0065312781760157364
Total_duration_of_fixations_std_clinical_simple	-0.07890316007755324	0.011924796619182833	0.012016934617175507	-0.023813307818519775	-0.02399102743922417	-0.009263887813038258	0.004309130556890461	0.006887541955773546	-0.03113487277498293	-0.01218454933484091	-0.009691001779217345	0.0036850508321948114	-0.006090111595838566	0.05875714145358933	0.04033498285118147	-7.538339484001514e-05	0.014967464453558158	0.012123183306119594	0.050515003248035775	0.03372461269602158	0.004654554181505078	-0.04555196084855737	0.04316078531348985
Total_duration_of_fixations_std_medical_original	-0.09566489041399204	-0.03306687764800555	0.00755320303523261	0.0006250693609065092	0.023633215511523895	-0.010562745787875128	-0.04335460845739388	0.005373228829054679	-0.002798970498362169	0.00118294555760913	-0.010867665339126297	-0.024209437024107865	0.02796979142568933	0.01032142932108142	0.023350784859000568	0.008869369666221373	-0.03646248599980343	-0.025836581843878832	0.049290967257322495	-0.044286702639931515	-0.038256355337037695	0.021138937751528756	-0.005738272764373839
Total_duration_of_fixations_std_medical_simple	-0.12681974005522378	0.011476649248767035	-0.008680874983910984	0.00438395386789001	-0.008228661795759575	0.01581839109594726	0.013472872777698746	0.013223105558108699	0.01925563624190118	0.016885217402605603	0.03859072271280844	-0.00803189121744565	-0.0023631271095834127	-0.004270138882146228	0.011382302852138032	0.014873338667444362	-0.0029437772700972665	-0.016373780517762226	0.008765078578402634	-0.000473488290566636	0.0013913601315780114	0.00991156516386295	0.006589347951700569
Total_duration_of_fixations_max_clinical_original	-0.04558838188618608	0.004358814091983597	0.003402584062528605	-0.0034116229865430725	-0.00020237771359660938	0.011031443852291349	0.011812844008431677	0.008816602211646781	-0.03489004266854839	-0.005606102481207503	0.04067920883918935	0.006746501586139479	0.014795154908457115	0.0049100993383635475	0.01762211347435723	-0.04083079419870838	0.016369339454903188	-0.027959284243007827	-0.037109643809687946	-0.16938620512889752	0.01092570598934977	-0.03154661410551229	0.01776799001102018
Total_duration_of_fixations_max_clinical_simple	-0.04680223462406366	-0.005396759212603297	0.0024005420055016073	-0.009160701648992658	-0.008327822541253777	-0.0039917191787770005	0.007123439602045003	0.006313219078821199	-0.06689458538157673	-0.018916499640194442	-0.014798983740565047	0.002298794594149864	-0.005082574514867302	0.16886757113485037	-0.023223591178295432	-0.01129408549631254	0.02226577883596151	-0.024642741677219547	0.0425045338823071	0.09123278641518132	0.010196285484518524	-0.028608477275894453	0.07833631709457278
Total_duration_of_fixations_max_medical_original	-0.041654390771851235	-0.02474202494527372	-0.01731636658861215	-0.015582192014806462	0.022928756955707393	-0.026875905357774853	-0.015011366083685017	0.003647174926091941	-0.08420271866630943	0.013235611826809884	0.032508838897711535	-0.03383844902831816	0.06252535907662497	0.04082402647668379	0.005549253990234775	0.050319360789724474	-0.03742977449181501	-0.09764027544247238	0.056361080850696986	-0.07851233665914474	0.0027897457917227184	0.03827534960518617	0.04088926969032506
Total_duration_of_fixations_max_medical_simple	-0.06716045811364933	-0.0019255536951963276	0.008661873334367536	0.00018340990050818944	-0.002301530105043513	0.04191678180172128	0.02232185862170972	0.019948230265440074	0.04016923698080686	0.009603742332465692	0.0432798353853119	0.003620198142400532	0.011623172629156728	0.011063223089112069	0.018404814128992895	0.0022754527767419284	0.0022561875222600423	-0.15118227637756942	-0.001330634221389816	-0.01892790173034652	0.033848137154939374	0.03587637124990103	0.005580766752068369
Average_duration_of_fixations_mean_clinical_original	-0.003943445784690627	-0.003751453864529042	0.005219618783670896	0.0035063831613921107	-0.004707199889281126	-0.00015732318396859113	0.003949908650782739	-0.005763878813465158	0.06717563188167405	-0.09393993416090274	0.024536237141296786	-0.012580991280258715	0.00631496866691702	0.006815139876109996	0.008170825209343325	0.012664759142481033	-0.01149857450726267	-0.009890272854857662	0.0011609751908693397	0.014511402636825668	-0.01442377038554868	-0.00022227963910608956	-0.0036683014742895613
Average_duration_of_fixations_mean_clinical_simple	-0.001018325804568714	0.012679620763230036	0.007932179446341647	-0.08594536417443199	-0.02065551620647232	-0.0019706956626909964	-0.004867067223135143	-0.0022560254808118552	0.10168237911731794	-0.004517800612302206	-0.001363904091310003	-0.00241083898517565	0.023902095152219593	0.024994803287466668	0.030487088317025856	0.003984024770719047	0.0022682112433642576	-0.0057558052681829655	0.022643342468666224	0.0007891834244952835	-0.0027859509453129192	-0.011034480495448577	0.00897336263586972
Average_duration_of_fixations_mean_medical_original	-0.006961463131425593	-0.09695936338318407	0.009160135617032317	0.0039848336210940374	-0.0013188768363218157	-0.0015886332661923653	0.007935487883937425	-0.00927041121258617	0.10127259907951043	-0.005261942578824335	0.006644885402873942	-0.0039195379626737374	0.0132762959167921	0.00018233543854026887	0.026774991562639714	0.013509717001667948	-0.018554165471020203	-0.01144334799936659	0.0020470304407802778	0.011209410609860256	-0.003599042364961896	0.0012439744853606635	0.01643965825811889
Average_duration_of_fixations_mean_medical_simple	-0.00923885123263981	0.01141472684158304	-0.07907316164766534	0.0031868068903629343	0.0027170345466809697	0.0033084369832708706	-0.009632294318486547	-0.011662298533899093	0.11306297745643297	0.0051405010908833395	0.010437677091410061	-0.003230104815339514	0.022873045876196166	0.005029195049847814	0.013303473655252323	-0.007253614881790071	-0.01315590624764882	-0.014642314435713184	0.0022929576622491496	0.016762096176143756	-0.010555101243099272	-0.010742953280698238	0.008447021528115379
Average_duration_of_fixations_std_clinical_original	0.012501749232646613	0.015849542963019967	0.0193822930595829	0.00588195470035748	-0.003230122057498072	-0.008518103203377777	-0.012188253818451815	0.004847831867836691	0.04686517902687709	-0.04930081601440834	0.1399297370531551	-0.013398041920296571	-0.010243315183344221	-0.025761293830820535	-0.010974068648998053	0.02114861332837131	-0.006555690743617344	-0.011303303797311799	0.014359491107746326	0.007784880541520116	-0.015474937028504266	-0.006752824170094268	0.014249071998954903
Average_duration_of_fixations_std_clinical_simple	0.012677534011275495	0.026721660391247203	0.034345696473904896	-0.045907520562371094	-0.01577295947667473	0.007766380311578092	0.0048092348509741105	0.00955229503368791	0.06988009338780664	-0.0191195092501233	-0.019492495818579186	-0.0036954148462306755	0.002158532670084927	-0.005080419091714814	0.00671549622022731	0.011053075881085105	-0.018782016209151736	0.01037241497048195	0.14403583646970744	0.0013994318084399764	0.0072608049776679735	0.00610746611168456	0.01874045806938183
Average_duration_of_fixations_std_medical_original	0.02202593741306162	-0.06189236580780831	0.03037303576591801	0.016744566128900656	-0.006248024044318228	0.0010369056968493932	0.037282959897123324	-0.018607868558557117	0.05086918950310079	0.0020407583721888385	0.06365195108766676	-0.00039637170335337274	-0.013977807100175424	-0.03545119492190621	0.0019906452045336384	0.005913600610441752	-0.054903848023882214	-0.0345483124547815	0.05350393915994853	0.023763560110450554	-0.005941099702217652	-0.010674796949087219	0.06418182929164101
