data_source,method,mean,std,count
All,pca_live,0.704,0.012649110640673542,10
All,select_k_best,0.68,0.035276684147527826,10
All,rfe,0.588,0.07254117604658898,10
All And Medical,pca_live,0.696,0.03627058802329449,10
All And Medical,select_k_best,0.6719999999999999,0.034253953543107,10
All And Medical,rfe,0.592,0.05094659513211413,10
All And Medical And Content,pca_live,0.7,0.04216370213557838,10
All And Medical And Content,select_k_best,0.6679999999999999,0.016865480854231327,10
All And Medical And Content,rfe,0.544,0.04880801391392836,10
Content,select_k_best,0.6719999999999999,0.07375635565834304,10
Content,pca_live,0.67,0.06616477747093066,10
Content,rfe,0.624,0.06449806198638834,10
Medical,pca_live,0.618,0.022010098692292254,10
Medical,select_k_best,0.616,0.053995884616844236,10
Medical,rfe,0.56,0.026666666666666672,10
Medical And Content,pca_live,0.6479999999999999,0.05513619500836085,10
Medical And Content,select_k_best,0.604,0.055617742972304554,10
Medical And Content,rfe,0.576,0.08154071920757686,10
Non Medical,select_k_best,0.696,0.020655911179772862,10
Non Medical,pca_live,0.678,0.03705851229249942,10
Non Medical,rfe,0.6519999999999999,0.07612854625930772,10
