data_source,method,mean,std,count
All,pca_live,0.6710363046377374,0.01673885650196753,5
All,select_k_best,0.6568713044975154,0.045748830760776536,5
All,rfe,0.5467227362511102,0.09924494106134173,5
All And Medical,pca_live,0.6612819894069893,0.05017427054961642,10
All And Medical,select_k_best,0.6516423671858315,0.03208940915931271,10
All And Medical,rfe,0.5514816473854054,0.062041143740822896,10
All And Medical And Content,pca_live,0.6648241356886583,0.05455323618724989,5
All And Medical And Content,select_k_best,0.6347223037560552,0.029792587304100514,5
All And Medical And Content,rfe,0.5103216088450166,0.04758954416959236,5
Content,select_k_best,0.644891222249678,0.08820825519016007,5
Content,pca_live,0.6390563093768791,0.07438343775036368,5
Content,rfe,0.5694291523083828,0.08443085746210778,5
Medical,select_k_best,0.591765987879819,0.05760595537754057,5
Medical,pca_live,0.5882642245183443,0.022411868982272907,5
Medical,rfe,0.5162444080631686,0.021191671380860366,5
Medical And Content,pca_live,0.6131796822787595,0.07779624952355989,5
Medical And Content,select_k_best,0.5854347585177085,0.0514720586159111,5
Medical And Content,rfe,0.5220976530350013,0.08925928821683046,5
Non Medical,select_k_best,0.6711750037057415,0.026773382954164756,5
Non Medical,pca_live,0.6494852424999484,0.049096939253903175,5
Non Medical,rfe,0.615361583365511,0.09088001218265736,5
