data_source,method,mean,std,count
All,pca_live,0.6778346765488489,0.00808100588603589,5
All,select_k_best,0.66218230287284,0.04302679865012628,5
All,rfe,0.5491116686411309,0.09928698672158207,5
All And Medical,pca_live,0.66642979611714,0.04438792790884233,10
All And Medical,select_k_best,0.6580533662950896,0.027966732179198688,10
All And Medical,rfe,0.5553069991694779,0.06461830817373208,10
All And Medical And Content,pca_live,0.6737956717774829,0.0546342894583726,5
All And Medical And Content,select_k_best,0.6464339561102944,0.024533802446051304,5
All And Medical And Content,rfe,0.5132490367688577,0.04871481782695032,5
Content,select_k_best,0.6462907035148121,0.0830526105589723,5
Content,pca_live,0.6459202317290552,0.07139381072586451,5
Content,rfe,0.5830218759312081,0.09866596316497607,5
Medical,select_k_best,0.5930750801735521,0.05671722597039304,5
Medical,pca_live,0.5886466205044554,0.022510665960829693,5
Medical,rfe,0.518983918128655,0.02319376812676591,5
Medical And Content,pca_live,0.6169397595868185,0.07379617706265228,5
Medical And Content,select_k_best,0.5897989246628337,0.045241574878462434,5
Medical And Content,rfe,0.529045831619361,0.09779923373122137,5
Non Medical,select_k_best,0.6712529591295708,0.025568576550579886,5
Non Medical,pca_live,0.6530317090307852,0.04643216291296043,5
Non Medical,rfe,0.619584414106473,0.08916827472650667,5
