Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
word_frequency_screen_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_std_clinical_original,247.0,98.8,49.4,98.8,1.024,10.0,10.0,20.0
Average_pupil_diameter_std_medical_simple,247.0,98.8,49.4,98.8,1.024,10.0,10.0,20.0
total_lemma_count_text_mean_content,247.0,98.8,49.4,98.8,1.024,10.0,10.0,20.0
Average_pupil_diameter_std_clinical_simple,247.0,98.8,49.4,98.8,1.024,10.0,10.0,20.0
Average_pupil_diameter_min_medical_original,247.0,98.8,49.4,98.8,1.036,10.0,14.0,24.0
Average_pupil_diameter_min_clinical_simple,247.0,98.8,49.4,98.8,1.036,10.0,14.0,24.0
Average_pupil_diameter_min_clinical_original,247.0,98.8,49.4,98.8,1.036,10.0,14.0,24.0
Average_pupil_diameter_std_medical_original,247.0,98.8,49.4,98.8,1.036,10.0,14.0,24.0
Total_duration_of_whole_fixations_mean_medical_original,247.0,98.8,49.4,98.8,1.048,10.0,18.0,28.0
Average_pupil_diameter_max_clinical_simple,247.0,98.8,49.4,98.8,1.048,10.0,18.0,28.0
Average_pupil_diameter_max_medical_original,247.0,98.8,49.4,98.8,1.048,10.0,18.0,28.0
Average_pupil_diameter_max_clinical_original,247.0,98.8,49.4,98.8,1.048,10.0,18.0,28.0
Average_pupil_diameter_min_medical_simple,247.0,98.8,49.4,98.8,1.048,10.0,18.0,28.0
