Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_clinical_simple,250.0,100.0,50.0,100.0,20.218552622944586,1.0,1.0,2.0
Selective_regression-path_duration_max_content,250.0,100.0,50.0,100.0,18.95954108621616,1.0,2.0,3.0
Minimum_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,18.54720500099574,1.0,3.0,4.0
Selective_regression-path_duration_std_medical,250.0,100.0,50.0,100.0,18.255618672999525,1.0,4.0,5.0
Selective_regression-path_duration_std_content,250.0,100.0,50.0,100.0,18.133884877647294,1.0,5.0,6.0
Selective_regression-path_duration_max_medical_original,250.0,100.0,50.0,100.0,18.00153632060918,1.0,6.0,7.0
Average_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,17.52953314889498,1.0,7.0,8.0
Selective_regression-path_duration_max_medical,250.0,100.0,50.0,100.0,17.49678483530188,1.0,8.0,9.0
Selective_regression-path_duration_mean_clinical_simple,250.0,100.0,50.0,100.0,17.4472116713692,1.0,9.0,10.0
Selective_regression-path_duration_std_medical_simple,250.0,100.0,50.0,100.0,17.06176282190873,1.0,10.0,11.0
Average_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.770097099267986,1.0,11.0,12.0
Minimum_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,16.71872040954414,1.0,12.0,13.0
Minimum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.636969686601148,1.0,13.0,14.0
Selective_regression-path_duration_mean_medical,250.0,100.0,50.0,100.0,16.022374629290486,1.0,14.0,15.0
Minimum_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,15.05708420367032,1.0,15.0,16.0
Selective_regression-path_duration_max_medical_simple,250.0,100.0,50.0,100.0,14.800177069565638,1.0,16.0,17.0
Average_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,14.407831125159948,1.0,17.0,18.0
Average_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.963714008785942,1.0,18.0,19.0
Selective_regression-path_duration_mean_content,250.0,100.0,50.0,100.0,13.92828501487925,1.0,19.0,20.0
Average_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,13.872997113236078,1.0,20.0,21.0
Maximum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,13.820525795252692,1.0,21.0,22.0
Duration_of_first_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,13.338528152745761,1.0,22.0,23.0
Minimum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.211370167859943,1.0,23.0,24.0
Average_whole-fixation_eye_openness_max_clinical_simple,249.0,99.6,49.8,99.6,13.111969249023698,24.0,24.0,48.0
Duration_of_first_Visit_std_clinical_simple,249.0,99.6,49.8,99.6,13.082807514772671,24.0,25.0,49.0
Selective_regression-path_duration_std_medical_original,249.0,99.6,49.8,99.6,12.85906786582466,24.0,26.0,50.0
Maximum_duration_of_Visit_std_medical_simple,249.0,99.6,49.8,99.6,12.85447257141775,24.0,27.0,51.0
Duration_of_first_Visit_max_content,249.0,99.6,49.8,99.6,12.289564525511569,24.0,30.0,54.0
Average_duration_of_Visit_std_content,249.0,99.6,49.8,99.6,11.66931646093365,24.0,33.0,57.0
Maximum_duration_of_Visit_std_clinical_simple,248.0,99.2,49.6,99.2,12.570555011216005,30.0,28.0,58.0
Maximum_duration_of_Visit_mean_clinical_simple,248.0,99.2,49.6,99.2,11.90291347613565,30.0,32.0,62.0
Average_duration_of_Visit_std_medical_simple,248.0,99.2,49.6,99.2,11.669092686585566,30.0,34.0,64.0
Selective_regression-path_duration_mean_medical_simple,246.0,98.4,49.2,98.4,12.184477636695949,33.0,31.0,64.0
Average_whole-fixation_eye_openness_std_clinical_simple,245.0,98.0,49.0,98.0,12.41110563242351,35.0,29.0,64.0
Minimum_duration_of_Visit_std_content,246.0,98.4,49.2,98.4,11.444821897982123,33.0,37.0,70.0
Selective_regression-path_duration_max_clinical_simple,240.0,96.0,48.0,96.0,11.57340737457524,36.0,35.0,71.0
