Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
total_lemma_count_screen_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_clinical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_clinical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_mean_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_mean_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_mean_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_clinical_original,247.0,98.8,49.4,98.8,1.012,22.0,22.0,44.0
total_lemma_count_text_max_medical,247.0,98.8,49.4,98.8,1.024,22.0,23.0,45.0
Average_pupil_diameter_mean_medical_original,247.0,98.8,49.4,98.8,1.024,22.0,23.0,45.0
