Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_clinical_simple,250.0,100.0,50.0,100.0,20.218552622944586,1.0,1.0,2.0
Minimum_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,18.54720500099574,1.0,2.0,3.0
Selective_regression-path_duration_std_medical,250.0,100.0,50.0,100.0,18.255618672999525,1.0,3.0,4.0
Selective_regression-path_duration_max_medical_original,250.0,100.0,50.0,100.0,18.00153632060918,1.0,4.0,5.0
Average_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,17.52953314889498,1.0,5.0,6.0
Selective_regression-path_duration_max_medical,250.0,100.0,50.0,100.0,17.49678483530188,1.0,6.0,7.0
Selective_regression-path_duration_mean_clinical_simple,250.0,100.0,50.0,100.0,17.4472116713692,1.0,7.0,8.0
Selective_regression-path_duration_std_medical_simple,250.0,100.0,50.0,100.0,17.06176282190873,1.0,8.0,9.0
Minimum_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,16.71872040954414,1.0,9.0,10.0
Selective_regression-path_duration_mean_medical,250.0,100.0,50.0,100.0,16.022374629290486,1.0,10.0,11.0
Minimum_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,15.05708420367032,1.0,11.0,12.0
Selective_regression-path_duration_max_medical_simple,250.0,100.0,50.0,100.0,14.800177069565638,1.0,12.0,13.0
Average_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,14.407831125159948,1.0,13.0,14.0
Average_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.963714008785942,1.0,14.0,15.0
Average_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,13.872997113236078,1.0,15.0,16.0
Duration_of_first_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,13.338528152745761,1.0,16.0,17.0
Minimum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.211370167859943,1.0,17.0,18.0
Average_whole-fixation_eye_openness_max_clinical_simple,250.0,100.0,50.0,100.0,13.111969249023698,1.0,18.0,19.0
Duration_of_first_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,13.082807514772671,1.0,19.0,20.0
Selective_regression-path_duration_std_medical_original,250.0,100.0,50.0,100.0,12.85906786582466,1.0,20.0,21.0
Maximum_duration_of_Visit_std_medical_simple,250.0,100.0,50.0,100.0,12.85447257141775,1.0,21.0,22.0
Maximum_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,12.570555011216005,1.0,22.0,23.0
Average_whole-fixation_eye_openness_std_clinical_simple,249.0,99.6,49.8,99.6,12.41110563242351,23.0,23.0,46.0
Selective_regression-path_duration_mean_medical_simple,249.0,99.6,49.8,99.6,12.184477636695949,23.0,24.0,47.0
Maximum_duration_of_Visit_mean_clinical_simple,249.0,99.6,49.8,99.6,11.90291347613565,23.0,25.0,48.0
Average_duration_of_Visit_std_medical_simple,249.0,99.6,49.8,99.6,11.669092686585566,23.0,26.0,49.0
Maximum_duration_of_Visit_max_medical,249.0,99.6,49.8,99.6,11.275424770307984,23.0,31.0,54.0
Selective_regression-path_duration_max_clinical_simple,248.0,99.2,49.6,99.2,11.57340737457524,28.0,27.0,55.0
Average_whole-fixation_eye_openness_mean_clinical_simple,247.0,98.8,49.4,98.8,11.412816881299907,29.0,29.0,58.0
Duration_of_first_Visit_max_clinical_simple,246.0,98.4,49.2,98.4,11.4484820278471,31.0,28.0,59.0
Selective_regression-path_duration_std_clinical_original,247.0,98.8,49.4,98.8,11.303065345446642,29.0,30.0,59.0
Minimum_duration_of_Visit_std_medical_simple,246.0,98.4,49.2,98.4,10.631305860531704,31.0,33.0,64.0
Average_duration_of_Visit_mean_medical_simple,246.0,98.4,49.2,98.4,10.561045524093602,31.0,34.0,65.0
Average_whole-fixation_eye_openness_max_medical_simple,241.0,96.39999999999999,48.2,96.4,11.015735333589092,36.0,32.0,68.0
Minimum_duration_of_Visit_std_medical,244.0,97.6,48.8,97.6,10.509108817286805,34.0,35.0,69.0
Duration_of_first_Visit_std_medical_simple,243.0,97.2,48.6,97.2,10.478514011110338,35.0,36.0,71.0
Maximum_duration_of_Visit_max_medical_simple,240.0,96.0,48.0,96.0,10.472404505363976,37.0,37.0,74.0
Average_duration_of_Visit_std_medical,240.0,96.0,48.0,96.0,10.409358374892632,37.0,38.0,75.0
Selective_regression-path_duration_max_clinical_original,237.0,94.8,47.4,94.8,10.335920026273914,39.0,39.0,78.0
Maximum_duration_of_Visit_mean_medical_simple,237.0,94.8,47.4,94.8,10.298785644803454,39.0,40.0,79.0
Minimum_duration_of_Visit_mean_medical_simple,227.0,90.8,45.4,90.8,10.228667902163377,41.0,41.0,82.0
Duration_of_first_Visit_mean_medical_simple,209.0,83.6,41.8,83.6,9.925645981166548,42.0,42.0,84.0
Selective_regression-path_duration_mean_clinical_original,206.0,82.39999999999999,41.2,82.4,9.553686153765456,43.0,43.0,86.0
Selective_regression-path_duration_mean_medical_original,203.0,81.2,40.6,81.2,9.422943353998134,45.0,44.0,89.0
Duration_of_first_Visit_max_medical,204.0,81.6,40.8,81.6,9.2534020888578,44.0,46.0,90.0
Average_duration_of_Visit_max_medical_simple,201.0,80.4,40.2,80.4,9.033018323570788,46.0,49.0,95.0
Average_whole-fixation_eye_openness_std_medical_simple,196.0,78.4,39.2,78.4,9.25671365560345,51.0,45.0,96.0
First-pass_duration_std_clinical_simple,200.0,80.0,40.0,80.0,9.092276721640353,48.0,48.0,96.0
Minimum_duration_of_Visit_max_medical_simple,201.0,80.4,40.2,80.4,8.683510516433579,46.0,51.0,97.0
Maximum_duration_of_Visit_max_clinical_simple,197.0,78.8,39.4,78.8,9.133770450230957,50.0,47.0,97.0
Minimum_duration_of_Visit_mean_medical,200.0,80.0,50.0,100.0,9.02192840163858,48.0,50.0,98.0
Total_duration_of_Visit_std_medical_simple,189.0,75.6,37.8,75.6,8.596642905145936,53.0,52.0,105.0
Average_duration_of_Visit_mean_medical,191.0,76.4,47.75,95.5,8.518815483335736,52.0,53.0,105.0
Average_whole-fixation_eye_openness_std_medical_original,175.0,70.0,35.0,70.0,8.47412781936869,54.0,54.0,108.0
Average_whole-fixation_eye_openness_mean_medical_simple,167.0,66.8,33.4,66.8,8.332906451567133,56.0,55.0,111.0
Maximum_duration_of_Visit_std_medical,171.0,68.4,34.2,68.4,8.171705275045246,55.0,56.0,111.0
Duration_of_first_Visit_max_medical_simple,162.0,64.8,32.4,64.8,8.123452643805592,57.0,57.0,114.0
Time_to_first_Visit_mean_clinical_simple,145.0,57.99999999999999,36.25,72.5,7.942728171591126,58.0,59.0,117.0
First-pass_duration_mean_clinical_simple,144.0,57.599999999999994,28.8,57.60000000000001,8.03081241006202,59.0,58.0,117.0
Minimum_duration_of_Visit_max_medical_original,142.0,56.8,28.4,56.8,7.925807621634574,60.0,60.0,120.0
Average_whole-fixation_eye_openness_mean_medical_original,105.0,42.0,21.0,42.0,7.76247933594284,62.0,61.0,123.0
First-pass_duration_max_medical,110.0,44.0,27.5,55.00000000000001,7.709697091226164,61.0,62.0,123.0
Duration_of_first_Visit_std_medical,77.0,30.8,19.25,38.5,7.485189075621529,63.0,63.0,126.0
Time_to_first_Visit_std_clinical_simple,66.0,26.400000000000002,16.5,33.0,7.3338030929281945,64.0,65.0,129.0
Average_duration_of_Visit_max_medical_original,66.0,26.400000000000002,13.2,26.400000000000002,7.282913341543295,64.0,66.0,130.0
Duration_of_first_Visit_mean_medical,65.0,26.0,16.25,32.5,7.370730669820202,66.0,64.0,130.0
Maximum_duration_of_Visit_mean_medical,59.0,23.599999999999998,14.75,29.5,7.265152543537544,68.0,67.0,135.0
Average_whole-fixation_eye_openness_std_medical,62.0,24.8,12.4,24.8,7.173216591689138,67.0,68.0,135.0
First-pass_first_fixation_duration_mean_clinical_simple,57.0,22.8,14.25,28.499999999999996,6.960718490905519,70.0,69.0,139.0
Average_whole-fixation_eye_openness_max_medical_original,57.0,22.8,11.4,22.8,6.924193646660504,70.0,70.0,140.0
First-pass_first_fixation_duration_std_medical,58.0,23.200000000000003,14.5,28.999999999999996,6.819277258638675,69.0,72.0,141.0
First-pass_first_fixation_duration_mean_medical,51.0,20.4,12.75,25.5,6.849869936258915,72.0,71.0,143.0
Total_duration_of_Visit_std_clinical_simple,49.0,19.6,12.25,24.5,6.687869424247157,73.0,73.0,146.0
Time_to_first_Visit_mean_medical_simple,42.0,16.8,42.0,84.0,6.575808419777817,75.0,74.0,149.0
Time_to_first_Visit_std_medical_simple,47.0,18.8,11.75,23.5,6.5510767200509745,74.0,75.0,149.0
Total_duration_of_Visit_mean_medical_simple,36.0,14.399999999999999,9.0,18.0,6.439524014275106,77.0,76.0,153.0
Total_duration_of_Visit_max_medical_simple,37.0,14.799999999999999,9.25,18.5,6.387290750190831,76.0,77.0,153.0
Minimum_duration_of_Visit_std_clinical_original,30.0,12.0,7.5,15.0,6.369881671684118,78.0,78.0,156.0
Number_of_Visits_max_medical_simple,28.0,11.200000000000001,5.6,11.2,6.352077758710527,79.0,79.0,158.0
Maximum_duration_of_fixations_max_medical_simple,27.0,10.8,6.75,13.5,6.30309901936008,80.0,80.0,160.0
Duration_of_first_whole_fixation_std_medical,24.0,9.6,24.0,48.0,6.210250892737911,81.0,81.0,162.0
Average_whole-fixation_eye_openness_mean_medical,21.0,8.4,4.2,8.4,6.183231831784687,82.0,83.0,165.0
Minimum_duration_of_Visit_mean_clinical_original,18.0,7.199999999999999,4.5,9.0,6.188666538939256,85.0,82.0,167.0
Total_duration_of_Visit_max_clinical_simple,21.0,8.4,5.25,10.5,6.138465726628268,82.0,86.0,168.0
Maximum_duration_of_whole_fixations_max_medical_simple,20.0,8.0,5.0,10.0,6.158713556129803,84.0,85.0,169.0
Average_duration_of_Visit_std_clinical_original,13.0,5.2,13.0,26.0,6.160427138395869,88.0,84.0,172.0
First-pass_duration_max_clinical_simple,14.0,5.6000000000000005,14.0,28.000000000000004,5.983311479917727,86.0,87.0,173.0
Maximum_duration_of_Visit_max_medical_original,14.0,5.6000000000000005,3.5,7.000000000000001,5.9372639838440895,86.0,90.0,176.0
Maximum_duration_of_Visit_min_clinical_simple,12.0,4.8,12.0,24.0,5.940965553178388,89.0,89.0,178.0
Total_duration_of_Visit_mean_clinical_simple,9.0,3.5999999999999996,9.0,18.0,5.959863599001735,91.0,88.0,179.0
Average_duration_of_Visit_min_clinical_simple,10.0,4.0,10.0,20.0,5.917842252367868,90.0,91.0,181.0
First-pass_regression_mean_clinical_simple,7.0,2.8000000000000003,1.75,3.5000000000000004,5.421431573537044,92.0,96.0,188.0
First-pass_first_fixation_duration_max_medical_original,4.0,1.6,1.0,2.0,5.586039416881789,95.0,94.0,189.0
Time_to_first_Visit_max_medical,3.0,1.2,3.0,6.0,5.713735873908738,98.0,92.0,190.0
