Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Time_to_first_fixation_mean_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_clinical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_std_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_min_clinical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_mean_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_mean_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_std_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_max_medical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_medical_original,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_mean_clinical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_clinical_simple,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_min_clinical_simple,247.0,98.8,49.4,98.8,1.012,15.0,15.0,30.0
total_lemma_count_text_min_medical_original,247.0,98.8,49.4,98.8,1.024,15.0,16.0,31.0
total_lemma_count_text_min_medical_simple,247.0,98.8,49.4,98.8,1.036,15.0,17.0,32.0
Time_to_first_fixation_min_clinical_original,241.0,96.39999999999999,48.2,96.4,1.036,19.0,17.0,36.0
Duration_of_first_fixation_mean_medical_original,244.0,97.6,48.8,97.6,1.048,18.0,19.0,37.0
Time_to_first_fixation_min_clinical_simple,238.0,95.19999999999999,47.6,95.2,1.048,20.0,19.0,39.0
Time_to_first_fixation_min_medical_original,238.0,95.19999999999999,47.6,95.2,1.048,20.0,19.0,39.0
total_lemma_count_text_mean_clinical_original,238.0,95.19999999999999,47.6,95.2,1.048,20.0,19.0,39.0
Time_to_first_fixation_std_medical_simple,238.0,95.19999999999999,47.6,95.2,1.048,20.0,19.0,39.0
Time_to_first_fixation_max_medical_original,238.0,95.19999999999999,47.6,95.2,1.0959999999999999,20.0,25.0,45.0
Time_to_first_fixation_min_medical_simple,235.0,94.0,47.0,94.0,1.06,25.0,24.0,49.0
Time_to_first_fixation_max_medical_simple,235.0,94.0,47.0,94.0,1.108,25.0,26.0,51.0
Time_to_first_fixation_max_clinical_simple,235.0,94.0,47.0,94.0,1.108,25.0,26.0,51.0
Time_to_first_fixation_max_clinical_original,235.0,94.0,47.0,94.0,1.108,25.0,26.0,51.0
Duration_of_first_fixation_mean_clinical_original,235.0,94.0,47.0,94.0,1.1199999999999999,25.0,29.0,54.0
Duration_of_first_fixation_mean_medical_simple,235.0,94.0,47.0,94.0,1.168,25.0,33.0,58.0
Duration_of_first_fixation_mean_clinical_simple,235.0,94.0,47.0,94.0,1.168,25.0,33.0,58.0
Duration_of_first_fixation_std_clinical_original,235.0,94.0,47.0,94.0,1.168,25.0,33.0,58.0
total_lemma_count_screen_max_medical_simple,220.0,88.0,44.0,88.0,1.1199999999999999,35.0,29.0,64.0
Duration_of_first_fixation_std_clinical_simple,232.0,92.80000000000001,46.4,92.8,1.144,34.0,31.0,65.0
Number_of_fixations_max_medical_original,214.0,85.6,42.8,85.6,1.144,36.0,31.0,67.0
total_lemma_count_text_max_medical_simple,235.0,94.0,47.0,94.0,2.304,25.0,54.0,79.0
Duration_of_first_fixation_std_medical_original,136.0,54.400000000000006,27.2,54.400000000000006,1.624,41.0,38.0,79.0
Average_pupil_diameter_mean_medical_original,184.0,73.6,36.8,73.6,1.8519999999999999,37.0,45.0,82.0
Number_of_fixations_max_clinical_simple,124.0,49.6,24.8,49.6,1.6480000000000001,43.0,39.0,82.0
total_lemma_count_text_max_clinical_original,153.0,61.199999999999996,30.6,61.199999999999996,1.7240000000000002,39.0,43.0,82.0
total_lemma_count_screen_max_medical_original,115.0,46.0,23.0,46.0,1.5399999999999998,46.0,36.0,82.0
