Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_clinical_simple,250.0,100.0,50.0,100.0,20.218552622944586,1.0,1.0,2.0
Minimum_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,18.54720500099574,1.0,2.0,3.0
Selective_regression-path_duration_max_medical_original,250.0,100.0,50.0,100.0,18.00153632060918,1.0,3.0,4.0
Average_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,17.52953314889498,1.0,4.0,5.0
Selective_regression-path_duration_mean_clinical_simple,250.0,100.0,50.0,100.0,17.4472116713692,1.0,5.0,6.0
Selective_regression-path_duration_std_medical_simple,250.0,100.0,50.0,100.0,17.06176282190873,1.0,6.0,7.0
Minimum_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,16.71872040954414,1.0,7.0,8.0
Minimum_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,15.05708420367032,1.0,8.0,9.0
Selective_regression-path_duration_max_medical_simple,250.0,100.0,50.0,100.0,14.800177069565638,1.0,9.0,10.0
Average_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,14.407831125159948,1.0,10.0,11.0
Average_duration_of_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,13.872997113236078,1.0,11.0,12.0
Duration_of_first_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,13.338528152745761,1.0,12.0,13.0
Average_whole-fixation_eye_openness_max_clinical_simple,250.0,100.0,50.0,100.0,13.111969249023698,1.0,13.0,14.0
Duration_of_first_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,13.082807514772671,1.0,14.0,15.0
Selective_regression-path_duration_std_medical_original,250.0,100.0,50.0,100.0,12.85906786582466,1.0,15.0,16.0
Maximum_duration_of_Visit_std_medical_simple,250.0,100.0,50.0,100.0,12.85447257141775,1.0,16.0,17.0
Maximum_duration_of_Visit_std_clinical_simple,250.0,100.0,50.0,100.0,12.570555011216005,1.0,17.0,18.0
Average_whole-fixation_eye_openness_std_clinical_simple,250.0,100.0,50.0,100.0,12.41110563242351,1.0,18.0,19.0
Selective_regression-path_duration_mean_medical_simple,250.0,100.0,50.0,100.0,12.184477636695949,1.0,19.0,20.0
Maximum_duration_of_Visit_mean_clinical_simple,250.0,100.0,50.0,100.0,11.90291347613565,1.0,20.0,21.0
Average_duration_of_Visit_std_medical_simple,250.0,100.0,50.0,100.0,11.669092686585566,1.0,21.0,22.0
Selective_regression-path_duration_max_clinical_simple,250.0,100.0,50.0,100.0,11.57340737457524,1.0,22.0,23.0
Duration_of_first_Visit_max_clinical_simple,250.0,100.0,50.0,100.0,11.4484820278471,1.0,23.0,24.0
Selective_regression-path_duration_std_clinical_original,250.0,100.0,50.0,100.0,11.303065345446642,1.0,25.0,26.0
Minimum_duration_of_Visit_std_medical_simple,250.0,100.0,50.0,100.0,10.631305860531704,1.0,27.0,28.0
Average_duration_of_Visit_mean_medical_simple,250.0,100.0,50.0,100.0,10.561045524093602,1.0,28.0,29.0
Duration_of_first_Visit_std_medical_simple,250.0,100.0,50.0,100.0,10.478514011110338,1.0,29.0,30.0
Maximum_duration_of_Visit_max_medical_simple,250.0,100.0,50.0,100.0,10.472404505363976,1.0,30.0,31.0
Average_whole-fixation_eye_openness_mean_clinical_simple,249.0,99.6,49.8,99.6,11.412816881299907,29.0,24.0,53.0
Average_whole-fixation_eye_openness_max_medical_simple,249.0,99.6,49.8,99.6,11.015735333589092,29.0,26.0,55.0
Selective_regression-path_duration_max_clinical_original,249.0,99.6,49.8,99.6,10.335920026273914,29.0,31.0,60.0
Maximum_duration_of_Visit_mean_medical_simple,249.0,99.6,49.8,99.6,10.298785644803454,29.0,32.0,61.0
Minimum_duration_of_Visit_mean_medical_simple,249.0,99.6,49.8,99.6,10.228667902163377,29.0,33.0,62.0
Duration_of_first_Visit_mean_medical_simple,249.0,99.6,49.8,99.6,9.925645981166548,29.0,34.0,63.0
Selective_regression-path_duration_mean_clinical_original,245.0,98.0,49.0,98.0,9.553686153765456,35.0,35.0,70.0
Selective_regression-path_duration_mean_medical_original,244.0,97.6,48.8,97.6,9.422943353998134,36.0,36.0,72.0
Average_whole-fixation_eye_openness_std_medical_simple,236.0,94.39999999999999,47.2,94.4,9.25671365560345,37.0,37.0,74.0
Maximum_duration_of_Visit_max_clinical_simple,235.0,94.0,47.0,94.0,9.133770450230957,39.0,38.0,77.0
Average_duration_of_Visit_max_medical_simple,236.0,94.39999999999999,47.2,94.4,9.033018323570788,37.0,40.0,77.0
First-pass_duration_std_clinical_simple,234.0,93.60000000000001,46.8,93.6,9.092276721640353,40.0,39.0,79.0
Minimum_duration_of_Visit_max_medical_simple,214.0,85.6,42.8,85.6,8.683510516433579,41.0,41.0,82.0
Total_duration_of_Visit_std_medical_simple,213.0,85.2,42.6,85.2,8.596642905145936,42.0,42.0,84.0
Average_whole-fixation_eye_openness_std_medical_original,206.0,82.39999999999999,41.2,82.4,8.47412781936869,43.0,43.0,86.0
Average_whole-fixation_eye_openness_mean_medical_simple,203.0,81.2,40.6,81.2,8.332906451567133,46.0,44.0,90.0
First-pass_duration_mean_clinical_simple,204.0,81.6,40.8,81.6,8.03081241006202,44.0,46.0,90.0
Time_to_first_Visit_mean_clinical_simple,204.0,81.6,40.8,81.6,7.942728171591126,44.0,47.0,91.0
Duration_of_first_Visit_max_medical_simple,201.0,80.4,40.2,80.4,8.123452643805592,48.0,45.0,93.0
Average_duration_of_Visit_max_medical_original,203.0,81.2,40.6,81.2,7.282913341543295,46.0,51.0,97.0
Minimum_duration_of_Visit_max_medical_original,200.0,80.0,40.0,80.0,7.925807621634574,49.0,48.0,97.0
Time_to_first_Visit_std_clinical_simple,195.0,78.0,39.0,78.0,7.3338030929281945,50.0,50.0,100.0
Average_whole-fixation_eye_openness_mean_medical_original,194.0,77.60000000000001,38.8,77.6,7.76247933594284,51.0,49.0,100.0
First-pass_first_fixation_duration_mean_clinical_simple,174.0,69.6,34.8,69.6,6.960718490905519,54.0,52.0,106.0
Total_duration_of_Visit_std_clinical_simple,185.0,74.0,46.25,92.5,6.687869424247157,52.0,54.0,106.0
Time_to_first_Visit_mean_medical_simple,175.0,70.0,43.75,87.5,6.575808419777817,53.0,55.0,108.0
Average_whole-fixation_eye_openness_max_medical_original,163.0,65.2,32.6,65.2,6.924193646660504,56.0,53.0,109.0
Time_to_first_Visit_std_medical_simple,167.0,66.8,41.75,83.5,6.5510767200509745,55.0,56.0,111.0
Total_duration_of_Visit_mean_medical_simple,139.0,55.60000000000001,34.75,69.5,6.439524014275106,57.0,57.0,114.0
Total_duration_of_Visit_max_medical_simple,137.0,54.800000000000004,34.25,68.5,6.387290750190831,58.0,58.0,116.0
Minimum_duration_of_Visit_std_clinical_original,122.0,48.8,30.5,61.0,6.369881671684118,59.0,59.0,118.0
Maximum_duration_of_fixations_max_medical_simple,122.0,48.8,24.4,48.8,6.30309901936008,59.0,61.0,120.0
Number_of_Visits_max_medical_simple,107.0,42.8,21.4,42.8,6.352077758710527,61.0,60.0,121.0
Minimum_duration_of_Visit_mean_clinical_original,86.0,34.4,21.5,43.0,6.188666538939256,64.0,62.0,126.0
Maximum_duration_of_whole_fixations_max_medical_simple,93.0,37.2,18.6,37.2,6.158713556129803,62.0,64.0,126.0
Total_duration_of_Visit_max_clinical_simple,90.0,36.0,22.5,45.0,6.138465726628268,63.0,65.0,128.0
Average_duration_of_Visit_std_clinical_original,80.0,32.0,20.0,40.0,6.160427138395869,66.0,63.0,129.0
First-pass_duration_max_clinical_simple,80.0,32.0,20.0,40.0,5.983311479917727,66.0,66.0,132.0
Maximum_duration_of_Visit_min_clinical_simple,82.0,32.800000000000004,20.5,41.0,5.940965553178388,65.0,68.0,133.0
Total_duration_of_Visit_mean_clinical_simple,68.0,27.200000000000003,17.0,34.0,5.959863599001735,70.0,67.0,137.0
Maximum_duration_of_Visit_max_medical_original,77.0,30.8,19.25,38.5,5.9372639838440895,68.0,69.0,137.0
Average_duration_of_Visit_min_clinical_simple,72.0,28.799999999999997,18.0,36.0,5.917842252367868,69.0,70.0,139.0
Maximum_duration_of_Visit_max_clinical_original,57.0,22.8,14.25,28.499999999999996,5.665789867672407,71.0,71.0,142.0
First-pass_first_fixation_duration_max_medical_original,56.0,22.400000000000002,14.0,28.000000000000004,5.586039416881789,72.0,72.0,144.0
First-pass_regression_mean_clinical_simple,50.0,20.0,10.0,20.0,5.421431573537044,73.0,73.0,146.0
Number_of_Visits_mean_medical_simple,49.0,19.6,9.8,19.6,5.34544922660927,74.0,74.0,148.0
Average_duration_of_Visit_mean_clinical_original,47.0,18.8,11.75,23.5,5.263093148228534,75.0,75.0,150.0
Average_duration_of_Visit_std_medical_original,39.0,15.6,9.75,19.5,5.17716903453429,76.0,76.0,152.0
Average_duration_of_Visit_max_clinical_original,27.0,10.8,27.0,54.0,5.048188601089389,78.0,77.0,155.0
Time_to_first_Visit_max_medical_simple,29.0,11.600000000000001,7.25,14.499999999999998,5.017120596755712,77.0,78.0,155.0
Minimum_duration_of_Visit_max_clinical_original,24.0,9.6,24.0,48.0,5.002245187010479,80.0,79.0,159.0
First-pass_first_fixation_duration_std_clinical_simple,25.0,10.0,6.25,12.5,4.9808231841243416,79.0,80.0,159.0
Minimum_duration_of_Visit_std_medical_original,17.0,6.800000000000001,17.0,34.0,4.941975327144542,83.0,81.0,164.0
Maximum_duration_of_whole_fixations_std_clinical_simple,21.0,8.4,5.25,10.5,4.770116430309171,81.0,83.0,164.0
Maximum_duration_of_Visit_std_clinical_original,16.0,6.4,16.0,32.0,4.9296807856872,84.0,82.0,166.0
Average_whole-fixation_pupil_diameter_max_medical_original,16.0,6.4,16.0,32.0,4.762013951759752,84.0,84.0,168.0
Peak_velocity_of_exit_saccade_min_clinical_simple,19.0,7.6,4.75,9.5,4.6979224337054974,82.0,87.0,169.0
Maximum_duration_of_fixations_std_clinical_simple,16.0,6.4,16.0,32.0,4.731945788520598,84.0,85.0,169.0
Time_to_first_Visit_max_medical_original,9.0,3.5999999999999996,2.25,4.5,4.721230606852828,88.0,86.0,174.0
Number_of_Visits_std_medical_simple,12.0,4.8,3.0,6.0,4.685391508009528,87.0,88.0,175.0
First-pass_duration_max_medical_original,6.0,2.4,6.0,12.0,4.591568946194033,92.0,90.0,182.0
First-pass_regression_mean_medical_original,8.0,3.2,8.0,16.0,4.295673556868668,89.0,97.0,186.0
First-pass_duration_std_medical_simple,5.0,2.0,5.0,10.0,4.493526862866774,94.0,93.0,187.0
Maximum_duration_of_Visit_std_medical_original,3.0,1.2,3.0,6.0,4.647925710102582,99.0,89.0,188.0
Duration_of_first_Visit_mean_clinical_original,3.0,1.2,3.0,6.0,4.549247135799025,99.0,91.0,190.0
Maximum_duration_of_fixations_std_medical_simple,4.0,1.6,4.0,8.0,4.472924772621788,96.0,94.0,190.0
