Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Number_of_fixations_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_mean_content,247.0,98.8,49.4,98.8,1.024,25.0,25.0,50.0
word_frequency_screen_max_content,244.0,97.6,48.8,97.6,1.048,26.0,26.0,52.0
total_lemma_count_screen_max_content,241.0,96.39999999999999,48.2,96.4,1.072,27.0,27.0,54.0
word_frequency_screen_min_content,241.0,96.39999999999999,48.2,96.4,1.072,27.0,27.0,54.0
Maximum_duration_of_fixations_max_content,232.0,92.80000000000001,46.4,92.8,1.072,32.0,27.0,59.0
Average_pupil_diameter_max_content,232.0,92.80000000000001,46.4,92.8,1.072,32.0,27.0,59.0
Average_duration_of_whole_fixations_std_content,235.0,94.0,47.0,94.0,1.0959999999999999,29.0,31.0,60.0
Average_duration_of_whole_fixations_min_content,235.0,94.0,47.0,94.0,1.1199999999999999,29.0,32.0,61.0
Average_duration_of_whole_fixations_max_content,235.0,94.0,47.0,94.0,1.1199999999999999,29.0,32.0,61.0
total_lemma_count_text_max_content,229.0,91.60000000000001,45.8,91.6,1.1199999999999999,34.0,32.0,66.0
Minimum_duration_of_whole_fixations_mean_content,229.0,91.60000000000001,45.8,91.6,1.168,34.0,35.0,69.0
Minimum_duration_of_whole_fixations_max_content,193.0,77.2,38.6,77.2,1.528,36.0,36.0,72.0
Minimum_duration_of_whole_fixations_std_content,136.0,54.400000000000006,27.2,54.400000000000006,1.9120000000000001,41.0,38.0,79.0
total_lemma_count_text_mean_content,136.0,54.400000000000006,27.2,54.400000000000006,1.9120000000000001,41.0,38.0,79.0
Maximum_duration_of_fixations_min_content,118.0,47.199999999999996,23.6,47.2,1.672,45.0,37.0,82.0
total_word_count_text_max_content,127.0,50.8,25.4,50.8,1.984,43.0,40.0,83.0
word_frequency_screen_std_content,127.0,50.8,25.4,50.8,1.984,43.0,40.0,83.0
Maximum_duration_of_fixations_std_content,118.0,47.199999999999996,23.6,47.2,2.2,45.0,44.0,89.0
word_frequency_screen_mean_content,109.0,43.6,21.8,43.6,2.128,51.0,42.0,93.0
Maximum_duration_of_fixations_mean_content,118.0,47.199999999999996,23.6,47.2,2.728,45.0,50.0,95.0
total_lemma_count_text_std_content,112.0,44.800000000000004,22.4,44.8,2.536,49.0,48.0,97.0
total_word_count_text_min_content,103.0,41.199999999999996,20.6,41.2,2.1759999999999997,55.0,43.0,98.0
Time_to_exit_saccade_min_content,180.0,72.0,36.0,72.0,3.332,38.0,62.0,100.0
Minimum_duration_of_whole_fixations_min_content,100.0,40.0,50.0,100.0,2.272,56.0,45.0,101.0
Time_to_first_whole_fixation_min_content,118.0,47.199999999999996,23.6,47.2,3.1119999999999997,45.0,57.0,102.0
Maximum_duration_of_whole_fixations_std_content,106.0,42.4,21.2,42.4,2.608,53.0,49.0,102.0
Maximum_duration_of_whole_fixations_mean_content,100.0,40.0,50.0,100.0,2.284,56.0,46.0,102.0
total_word_count_text_std_content,100.0,40.0,50.0,100.0,2.368,56.0,47.0,103.0
total_word_count_screen_std_content,109.0,43.6,21.8,43.6,2.932,51.0,56.0,107.0
total_word_count_text_mean_content,100.0,40.0,50.0,100.0,2.788,56.0,51.0,107.0
Maximum_duration_of_whole_fixations_min_content,100.0,40.0,50.0,100.0,2.788,56.0,51.0,107.0
Duration_of_first_whole_fixation_std_content,112.0,44.800000000000004,22.4,44.8,3.196,49.0,59.0,108.0
total_word_count_screen_max_content,100.0,40.0,50.0,100.0,2.8,56.0,53.0,109.0
Maximum_duration_of_whole_fixations_max_content,100.0,40.0,50.0,100.0,2.8,56.0,53.0,109.0
Number_of_whole_fixations_mean_content,100.0,40.0,50.0,100.0,2.848,56.0,55.0,111.0
total_lemma_count_text_min_content,106.0,42.4,21.2,42.4,3.2439999999999998,53.0,60.0,113.0
