Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_max_content,250.0,100.0,50.0,100.0,18.95954108621616,1.0,1.0,2.0
Selective_regression-path_duration_std_content,250.0,100.0,50.0,100.0,18.133884877647294,1.0,2.0,3.0
Average_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.770097099267986,1.0,3.0,4.0
Minimum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.636969686601148,1.0,4.0,5.0
Selective_regression-path_duration_mean_content,250.0,100.0,50.0,100.0,13.92828501487925,1.0,5.0,6.0
Maximum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,13.820525795252692,1.0,6.0,7.0
Duration_of_first_Visit_max_content,250.0,100.0,50.0,100.0,12.289564525511569,1.0,7.0,8.0
Average_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,11.66931646093365,1.0,8.0,9.0
Minimum_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,11.444821897982123,1.0,9.0,10.0
Maximum_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,9.743062381381984,1.0,10.0,11.0
Minimum_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,8.953173093143086,1.0,11.0,12.0
Average_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,8.820101607286352,1.0,12.0,13.0
Duration_of_first_Visit_std_content,250.0,100.0,50.0,100.0,8.74665081805711,1.0,13.0,14.0
Average_whole-fixation_eye_openness_mean_content,250.0,100.0,50.0,100.0,8.620460802276217,1.0,14.0,15.0
Average_whole-fixation_eye_openness_std_content,250.0,100.0,50.0,100.0,8.463588882068164,1.0,15.0,16.0
First-pass_duration_max_content,250.0,100.0,50.0,100.0,8.113123964863679,1.0,16.0,17.0
Duration_of_first_Visit_mean_content,250.0,100.0,50.0,100.0,7.992759406297857,1.0,17.0,18.0
Maximum_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,7.972462056064029,1.0,18.0,19.0
Average_whole-fixation_eye_openness_max_content,250.0,100.0,50.0,100.0,6.564138994101647,1.0,19.0,20.0
Time_to_first_Visit_std_content,250.0,100.0,50.0,100.0,5.966790178237877,1.0,20.0,21.0
Time_to_first_Visit_mean_content,250.0,100.0,50.0,100.0,5.668671987057868,1.0,21.0,22.0
Time_to_first_Visit_max_content,250.0,100.0,50.0,100.0,5.664382720830185,1.0,22.0,23.0
Total_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,5.558024598722494,1.0,23.0,24.0
First-pass_duration_std_content,250.0,100.0,50.0,100.0,5.450729537201121,1.0,24.0,25.0
Number_of_Visits_max_content,250.0,100.0,50.0,100.0,5.374788988514166,1.0,25.0,26.0
Total_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,5.131820909155078,1.0,26.0,27.0
Total_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,4.942176306451678,1.0,27.0,28.0
First-pass_first_fixation_duration_max_content,250.0,100.0,50.0,100.0,4.385186237920673,1.0,28.0,29.0
Maximum_duration_of_whole_fixations_std_content,250.0,100.0,50.0,100.0,4.100436159647776,1.0,29.0,30.0
Maximum_duration_of_fixations_std_content,250.0,100.0,50.0,100.0,3.999701096407891,1.0,30.0,31.0
First-pass_duration_mean_content,250.0,100.0,50.0,100.0,3.823944680568006,1.0,31.0,32.0
Number_of_Visits_mean_content,246.0,98.4,49.2,98.4,3.5089512896027926,32.0,32.0,64.0
First-pass_first_fixation_duration_mean_content,246.0,98.4,49.2,98.4,3.4395413538939743,32.0,33.0,65.0
