Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Maximum_duration_of_whole_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Minimum_duration_of_whole_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Minimum_duration_of_whole_fixations_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Maximum_duration_of_whole_fixations_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Minimum_duration_of_whole_fixations_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Maximum_duration_of_whole_fixations_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Maximum_duration_of_whole_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Minimum_duration_of_whole_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_whole_fixation_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_whole_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_whole_fixation_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_whole_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_content,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_whole_fixations_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_whole_fixation_std_medical,247.0,98.8,49.4,98.8,1.012,27.0,27.0,54.0
total_lemma_count_text_max_content,244.0,97.6,48.8,97.6,1.024,28.0,28.0,56.0
Duration_of_first_whole_fixation_max_medical,244.0,97.6,48.8,97.6,1.036,28.0,29.0,57.0
Time_to_first_whole_fixation_max_medical,241.0,96.39999999999999,48.2,96.4,1.036,30.0,29.0,59.0
Average_whole-fixation_pupil_diameter_mean_medical,238.0,95.19999999999999,47.6,95.2,1.0959999999999999,31.0,32.0,63.0
Duration_of_first_whole_fixation_std_medical,232.0,92.80000000000001,46.4,92.8,1.072,32.0,31.0,63.0
Duration_of_first_whole_fixation_mean_medical,223.0,89.2,44.6,89.2,1.108,34.0,33.0,67.0
