Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_max_content,250.0,100.0,50.0,100.0,18.95954108621616,1.0,1.0,2.0
Selective_regression-path_duration_std_medical,250.0,100.0,50.0,100.0,18.255618672999525,1.0,2.0,3.0
Selective_regression-path_duration_std_content,250.0,100.0,50.0,100.0,18.133884877647294,1.0,3.0,4.0
Selective_regression-path_duration_max_medical,250.0,100.0,50.0,100.0,17.49678483530188,1.0,4.0,5.0
Average_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.770097099267986,1.0,5.0,6.0
Minimum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,16.636969686601148,1.0,6.0,7.0
Selective_regression-path_duration_mean_medical,250.0,100.0,50.0,100.0,16.022374629290486,1.0,7.0,8.0
Average_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.963714008785942,1.0,8.0,9.0
Selective_regression-path_duration_mean_content,250.0,100.0,50.0,100.0,13.92828501487925,1.0,9.0,10.0
Maximum_duration_of_Visit_max_content,250.0,100.0,50.0,100.0,13.820525795252692,1.0,10.0,11.0
Minimum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.211370167859943,1.0,11.0,12.0
Duration_of_first_Visit_max_content,250.0,100.0,50.0,100.0,12.289564525511569,1.0,12.0,13.0
Average_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,11.66931646093365,1.0,13.0,14.0
Minimum_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,11.444821897982123,1.0,14.0,15.0
Maximum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,11.275424770307984,1.0,15.0,16.0
Minimum_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,10.509108817286805,1.0,16.0,17.0
Average_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,10.409358374892632,1.0,17.0,18.0
Maximum_duration_of_Visit_std_content,250.0,100.0,50.0,100.0,9.743062381381984,1.0,18.0,19.0
Duration_of_first_Visit_max_medical,250.0,100.0,50.0,100.0,9.2534020888578,1.0,19.0,20.0
Minimum_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,9.02192840163858,1.0,20.0,21.0
Minimum_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,8.953173093143086,1.0,21.0,22.0
Average_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,8.820101607286352,1.0,22.0,23.0
Duration_of_first_Visit_std_content,250.0,100.0,50.0,100.0,8.74665081805711,1.0,23.0,24.0
Average_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,8.518815483335736,1.0,25.0,26.0
Maximum_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,8.171705275045246,1.0,27.0,28.0
First-pass_duration_max_content,250.0,100.0,50.0,100.0,8.113123964863679,1.0,28.0,29.0
Duration_of_first_Visit_mean_content,250.0,100.0,50.0,100.0,7.992759406297857,1.0,29.0,30.0
Maximum_duration_of_Visit_mean_content,250.0,100.0,50.0,100.0,7.972462056064029,1.0,30.0,31.0
First-pass_duration_max_medical,250.0,100.0,50.0,100.0,7.709697091226164,1.0,31.0,32.0
Duration_of_first_Visit_std_medical,250.0,100.0,50.0,100.0,7.485189075621529,1.0,32.0,33.0
Duration_of_first_Visit_mean_medical,250.0,100.0,50.0,100.0,7.370730669820202,1.0,33.0,34.0
Maximum_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,7.265152543537544,1.0,34.0,35.0
Average_whole-fixation_eye_openness_mean_content,248.0,99.2,49.6,99.2,8.620460802276217,33.0,24.0,57.0
Average_whole-fixation_eye_openness_std_content,248.0,99.2,49.6,99.2,8.463588882068164,33.0,26.0,59.0
Average_whole-fixation_eye_openness_std_medical,246.0,98.4,49.2,98.4,7.173216591689138,36.0,35.0,71.0
First-pass_first_fixation_duration_std_medical,247.0,98.8,49.4,98.8,6.819277258638675,35.0,37.0,72.0
First-pass_first_fixation_duration_mean_medical,245.0,98.0,49.0,98.0,6.849869936258915,37.0,36.0,73.0
Average_whole-fixation_eye_openness_max_content,237.0,94.8,47.4,94.8,6.564138994101647,38.0,38.0,76.0
Duration_of_first_whole_fixation_std_medical,232.0,92.80000000000001,46.4,92.8,6.210250892737911,39.0,39.0,78.0
Average_whole-fixation_eye_openness_mean_medical,224.0,89.60000000000001,44.8,89.6,6.183231831784687,41.0,40.0,81.0
Time_to_first_Visit_std_content,225.0,90.0,45.0,90.0,5.966790178237877,40.0,41.0,81.0
Time_to_first_Visit_max_medical,205.0,82.0,41.0,82.0,5.713735873908738,42.0,42.0,84.0
First-pass_duration_std_medical,205.0,82.0,41.0,82.0,5.513330305571449,42.0,46.0,88.0
Time_to_first_Visit_mean_content,203.0,81.2,40.6,81.2,5.668671987057868,45.0,43.0,88.0
Total_duration_of_Visit_max_content,204.0,81.6,40.8,81.6,5.558024598722494,44.0,45.0,89.0
Time_to_first_Visit_max_content,202.0,80.80000000000001,40.4,80.8,5.664382720830185,47.0,44.0,91.0
First-pass_duration_std_content,203.0,81.2,40.6,81.2,5.450729537201121,45.0,47.0,92.0
Number_of_Visits_max_content,194.0,77.60000000000001,38.8,77.6,5.374788988514166,51.0,48.0,99.0
Time_to_first_Visit_mean_medical,196.0,78.4,39.2,78.4,5.370772013028256,50.0,49.0,99.0
First-pass_duration_mean_medical,197.0,78.8,39.4,78.8,5.23563803549211,49.0,51.0,100.0
Time_to_first_Visit_std_medical,192.0,76.8,38.4,76.8,5.270996521444484,53.0,50.0,103.0
Maximum_duration_of_whole_fixations_std_medical,200.0,80.0,50.0,100.0,4.910980472656527,48.0,55.0,103.0
Total_duration_of_Visit_mean_content,192.0,76.8,38.4,76.8,5.131820909155078,53.0,52.0,105.0
Duration_of_first_fixation_std_medical,194.0,77.60000000000001,48.5,97.0,4.894041655009152,51.0,56.0,107.0
Average_whole-fixation_eye_openness_max_medical,183.0,73.2,36.6,73.2,5.04582211183519,57.0,53.0,110.0
Total_duration_of_Visit_std_content,189.0,75.6,37.8,75.6,4.942176306451678,56.0,54.0,110.0
Maximum_duration_of_fixations_std_medical,191.0,76.4,47.75,95.5,4.777401580171424,55.0,57.0,112.0
First-pass_regression_mean_medical,161.0,64.4,32.2,64.4,4.766994382936896,58.0,58.0,116.0
First-pass_first_fixation_duration_max_content,136.0,54.400000000000006,34.0,68.0,4.385186237920673,59.0,59.0,118.0
Duration_of_first_whole_fixation_mean_medical,98.0,39.2,24.5,49.0,4.188183054239524,60.0,60.0,120.0
Maximum_duration_of_whole_fixations_std_content,98.0,39.2,24.5,49.0,4.100436159647776,60.0,62.0,122.0
Total_duration_of_Visit_max_medical,82.0,32.800000000000004,16.4,32.8,4.151423899167862,62.0,61.0,123.0
Duration_of_first_fixation_mean_medical,77.0,30.8,19.25,38.5,4.0919417790808765,63.0,63.0,126.0
Total_duration_of_Visit_std_medical,72.0,28.799999999999997,18.0,36.0,4.018687608429585,65.0,64.0,129.0
First-pass_regression_std_medical,74.0,29.599999999999998,18.5,37.0,3.983730266175472,64.0,66.0,130.0
Maximum_duration_of_fixations_std_content,71.0,28.4,17.75,35.5,3.999701096407891,66.0,65.0,131.0
First-pass_first_fixation_duration_max_medical,71.0,28.4,17.75,35.5,3.9113862472733785,66.0,67.0,133.0
First-pass_duration_mean_content,58.0,23.200000000000003,14.5,28.999999999999996,3.823944680568006,68.0,69.0,137.0
Total_duration_of_Visit_mean_medical,55.0,22.0,13.75,27.500000000000004,3.827812981302474,69.0,68.0,137.0
Average_duration_of_whole_fixations_mean_medical,54.0,21.6,13.5,27.0,3.7726975798427604,70.0,70.0,140.0
Duration_of_first_whole_fixation_max_medical,49.0,19.6,12.25,24.5,3.693322636120171,71.0,71.0,142.0
Average_duration_of_fixations_mean_medical,47.0,18.8,11.75,23.5,3.5703970832632472,72.0,72.0,144.0
Number_of_Visits_mean_content,44.0,17.599999999999998,11.0,22.0,3.5089512896027926,73.0,74.0,147.0
Duration_of_first_fixation_max_medical,43.0,17.2,10.75,21.5,3.5344179226745736,74.0,73.0,147.0
Time_to_first_Visit_min_medical,42.0,16.8,10.5,21.0,3.3915407273816287,75.0,78.0,153.0
Time_to_first_fixation_min_medical,40.0,16.0,10.0,20.0,3.3915407273816287,76.0,78.0,154.0
First-pass_regression_mean_content,34.0,13.600000000000001,8.5,17.0,3.4192786419961854,78.0,76.0,154.0
First-pass_first_fixation_duration_mean_content,31.0,12.4,7.75,15.5,3.4395413538939743,80.0,75.0,155.0
Maximum_duration_of_whole_fixations_mean_medical,32.0,12.8,32.0,64.0,3.414328920465649,79.0,77.0,156.0
Minimum_duration_of_fixations_min_content,38.0,15.2,9.5,19.0,3.2740500272760777,77.0,81.0,158.0
Maximum_duration_of_fixations_mean_medical,26.0,10.4,26.0,52.0,3.2966126632012696,81.0,80.0,161.0
Maximum_duration_of_whole_fixations_max_medical,12.0,4.8,12.0,24.0,3.013178469594722,83.0,83.0,166.0
Maximum_duration_of_fixations_max_medical,11.0,4.3999999999999995,11.0,22.0,3.013178469594722,86.0,83.0,169.0
Time_to_entry_saccade_min_content,15.0,6.0,3.75,7.5,2.91298126233574,82.0,87.0,169.0
First-pass_regression_std_content,12.0,4.8,12.0,24.0,2.9662368941858235,83.0,86.0,169.0
First-pass_first_fixation_duration_std_content,9.0,3.5999999999999996,9.0,18.0,3.078600687179527,89.0,82.0,171.0
Average_duration_of_whole_fixations_std_medical,10.0,4.0,10.0,20.0,3.0100270159617257,87.0,85.0,172.0
Peak_velocity_of_entry_saccade_min_medical,12.0,4.8,12.0,24.0,2.8529184064089974,83.0,89.0,172.0
Average_whole-fixation_pupil_diameter_max_medical,10.0,4.0,10.0,20.0,2.7675714130813294,87.0,92.0,179.0
Number_of_Visits_max_medical,9.0,3.5999999999999996,2.25,4.5,2.850811228762386,89.0,90.0,179.0
Duration_of_first_whole_fixation_mean_content,5.0,2.0,5.0,10.0,2.886835757972074,92.0,88.0,180.0
Maximum_duration_of_fixations_max_content,5.0,2.0,1.25,2.5,2.7219093472057976,92.0,94.0,186.0
Total_duration_of_whole_fixations_max_content,5.0,2.0,1.25,2.5,2.717293575104853,92.0,95.0,187.0
Maximum_duration_of_whole_fixations_max_content,5.0,2.0,1.25,2.5,2.711076675324152,92.0,96.0,188.0
Duration_of_first_fixation_mean_content,4.0,1.6,4.0,8.0,2.8176613828222368,98.0,91.0,189.0
Average_pupil_diameter_max_medical,7.0,2.8000000000000003,7.0,14.000000000000002,2.6920646653008493,91.0,98.0,189.0
Total_duration_of_fixations_max_content,5.0,2.0,1.25,2.5,2.679842687180582,92.0,99.0,191.0
Average_duration_of_whole_fixations_mean_content,3.0,1.2,3.0,6.0,2.753530725142086,101.0,93.0,194.0
Average_pupil_diameter_min_medical,5.0,2.0,5.0,10.0,2.5427207592482937,92.0,104.0,196.0
Maximum_duration_of_whole_fixations_mean_content,1.0,0.4,1.0,2.0,2.7093952650332382,103.0,97.0,200.0
Time_to_exit_saccade_min_content,4.0,1.6,4.0,8.0,2.475747752101585,98.0,105.0,203.0
Average_duration_of_fixations_std_medical,1.0,0.4,1.0,2.0,2.6073327071404537,103.0,102.0,205.0
Number_of_Visits_mean_medical,4.0,1.6,1.0,2.0,2.356675962872348,98.0,108.0,206.0
Duration_of_first_whole_fixation_std_content,1.0,0.4,1.0,2.0,2.5615172071702705,103.0,103.0,206.0
Average_whole-fixation_pupil_diameter_min_medical,2.0,0.8,2.0,4.0,2.4057123117809285,102.0,106.0,208.0
Minimum_duration_of_fixations_max_medical,1.0,0.4,1.0,2.0,2.3299756003802186,103.0,109.0,212.0
Average_duration_of_fixations_mean_content,0.0,0.0,0.0,0.0,2.6317620700446387,114.0,100.0,214.0
Maximum_duration_of_fixations_mean_content,0.0,0.0,0.0,0.0,2.60890846455846,114.0,101.0,215.0
Minimum_duration_of_whole_fixations_mean_medical,1.0,0.4,1.0,2.0,2.1459976797852285,103.0,113.0,216.0
Total_duration_of_fixations_max_medical,1.0,0.4,1.0,2.0,2.0682446751983026,103.0,115.0,218.0
Minimum_duration_of_whole_fixations_std_medical,0.0,0.0,0.0,0.0,2.399950476970445,114.0,107.0,221.0
Average_whole-fixation_pupil_diameter_mean_medical,1.0,0.4,1.0,2.0,1.993364964615313,103.0,118.0,221.0
Total_duration_of_whole_fixations_max_medical,1.0,0.4,1.0,2.0,1.9927564593832892,103.0,119.0,222.0
Duration_of_first_Visit_min_medical,0.0,0.0,0.0,0.0,2.2535583049060746,114.0,110.0,224.0
Duration_of_first_fixation_std_content,0.0,0.0,0.0,0.0,2.1738686389508355,114.0,111.0,225.0
Minimum_duration_of_fixations_std_medical,0.0,0.0,0.0,0.0,2.1597709076463683,114.0,112.0,226.0
Average_pupil_diameter_min_content,1.0,0.4,1.0,2.0,1.8900452368001297,103.0,124.0,227.0
Average_duration_of_Visit_min_medical,0.0,0.0,0.0,0.0,2.091403196151084,114.0,114.0,228.0
Number_of_Visits_std_content,1.0,0.4,1.0,2.0,1.8034852960620384,103.0,126.0,229.0
Average_duration_of_fixations_max_content,0.0,0.0,0.0,0.0,2.0282872684029885,114.0,116.0,230.0
Average_pupil_diameter_max_content,0.0,0.0,0.0,0.0,2.014967080874951,114.0,117.0,231.0
Average_whole-fixation_pupil_diameter_mean_content,0.0,0.0,0.0,0.0,1.985456652669485,114.0,120.0,234.0
Average_pupil_diameter_mean_content,0.0,0.0,0.0,0.0,1.978925438080316,114.0,121.0,235.0
Average_pupil_diameter_mean_medical,0.0,0.0,0.0,0.0,1.973899947158771,114.0,122.0,236.0
Minimum_duration_of_fixations_mean_medical,0.0,0.0,0.0,0.0,1.9391639858277823,114.0,123.0,237.0
Minimum_duration_of_whole_fixations_max_medical,0.0,0.0,0.0,0.0,1.8488065968249363,114.0,125.0,239.0
Time_to_first_fixation_min_content,0.0,0.0,0.0,0.0,1.7716686674669861,114.0,127.0,241.0
Sentence_id_current_min_medical,0.0,0.0,0.0,0.0,1.7716686674669861,114.0,127.0,241.0
Time_to_first_Visit_min_content,0.0,0.0,0.0,0.0,1.7716686674669861,114.0,127.0,241.0
word_id_text_min_medical,0.0,0.0,0.0,0.0,1.771668667466986,114.0,130.0,244.0
Average_duration_of_fixations_max_medical,0.0,0.0,0.0,0.0,1.7657368809563923,114.0,131.0,245.0
Time_to_first_fixation_max_content,0.0,0.0,0.0,0.0,1.7388160352144175,114.0,132.0,246.0
Average_duration_of_whole_fixations_std_content,0.0,0.0,0.0,0.0,1.7318389578190878,114.0,133.0,247.0
Average_whole-fixation_pupil_diameter_min_content,0.0,0.0,0.0,0.0,1.7266816473204787,114.0,134.0,248.0
Minimum_duration_of_fixations_max_content,0.0,0.0,0.0,0.0,1.7155851209743076,114.0,135.0,249.0
Minimum_duration_of_whole_fixations_mean_content,0.0,0.0,0.0,0.0,1.6730549360839002,114.0,136.0,250.0
Average_duration_of_whole_fixations_max_medical,0.0,0.0,0.0,0.0,1.6441399309821094,114.0,137.0,251.0
Average_duration_of_whole_fixations_max_content,0.0,0.0,0.0,0.0,1.6400566287354477,114.0,138.0,252.0
Average_duration_of_fixations_std_content,0.0,0.0,0.0,0.0,1.616637912621482,114.0,139.0,253.0
Average_whole-fixation_pupil_diameter_max_content,0.0,0.0,0.0,0.0,1.6163472675556512,114.0,140.0,254.0
Minimum_duration_of_fixations_min_medical,0.0,0.0,0.0,0.0,1.6034761482058566,114.0,141.0,255.0
word_frequency_screen_min_medical,0.0,0.0,0.0,0.0,1.5809531309328078,114.0,142.0,256.0
word_frequency_screen_min_content,0.0,0.0,0.0,0.0,1.5809531309328078,114.0,142.0,256.0
Minimum_duration_of_fixations_mean_content,0.0,0.0,0.0,0.0,1.5697536491494883,114.0,144.0,258.0
Number_of_saccades_in_AOI_std_content,0.0,0.0,0.0,0.0,1.5646564701228107,114.0,145.0,259.0
Peak_velocity_of_exit_saccade_min_content,0.0,0.0,0.0,0.0,1.5520302931714218,114.0,146.0,260.0
total_word_count_screen_max_medical,0.0,0.0,0.0,0.0,1.5283905115733676,114.0,147.0,261.0
