Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Number_of_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_min_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_min_medical,247.0,98.8,49.4,98.8,1.012,21.0,21.0,42.0
Total_duration_of_whole_fixations_std_medical,247.0,98.8,49.4,98.8,1.012,21.0,21.0,42.0
total_lemma_count_screen_mean_medical,247.0,98.8,49.4,98.8,1.024,21.0,23.0,44.0
Total_duration_of_whole_fixations_mean_medical,244.0,97.6,48.8,97.6,1.024,24.0,23.0,47.0
total_lemma_count_screen_max_medical,244.0,97.6,48.8,97.6,1.036,24.0,25.0,49.0
total_lemma_count_screen_min_medical,244.0,97.6,48.8,97.6,1.048,24.0,26.0,50.0
total_lemma_count_screen_std_medical,244.0,97.6,48.8,97.6,1.048,24.0,26.0,50.0
Average_pupil_diameter_max_medical,238.0,95.19999999999999,47.6,95.2,1.048,28.0,26.0,54.0
Average_duration_of_whole_fixations_std_medical,238.0,95.19999999999999,47.6,95.2,1.06,28.0,29.0,57.0
Minimum_duration_of_whole_fixations_mean_medical,238.0,95.19999999999999,47.6,95.2,1.0959999999999999,28.0,30.0,58.0
Average_duration_of_whole_fixations_max_medical,238.0,95.19999999999999,47.6,95.2,1.0959999999999999,28.0,30.0,58.0
Minimum_duration_of_whole_fixations_std_medical,226.0,90.4,45.2,90.4,1.192,34.0,33.0,67.0
total_lemma_count_text_max_medical,232.0,92.80000000000001,46.4,92.8,1.2280000000000002,32.0,35.0,67.0
Minimum_duration_of_whole_fixations_min_medical,229.0,91.60000000000001,45.8,91.6,1.216,33.0,34.0,67.0
Average_duration_of_whole_fixations_min_medical,217.0,86.8,43.4,86.8,1.1800000000000002,36.0,32.0,68.0
word_frequency_screen_min_medical,220.0,88.0,44.0,88.0,1.2399999999999998,35.0,36.0,71.0
total_lemma_count_text_mean_medical,148.0,59.199999999999996,29.6,59.20000000000001,1.432,41.0,37.0,78.0
total_lemma_count_text_std_medical,136.0,54.400000000000006,27.2,54.400000000000006,1.9120000000000001,42.0,39.0,81.0
Maximum_duration_of_fixations_max_medical,127.0,50.8,25.4,50.8,1.492,43.0,38.0,81.0
word_frequency_screen_std_medical,118.0,47.199999999999996,23.6,47.2,2.056,44.0,41.0,85.0
Time_to_exit_saccade_min_medical,210.0,84.0,42.0,84.0,2.304,38.0,49.0,87.0
Maximum_duration_of_fixations_min_medical,112.0,44.800000000000004,22.4,44.8,2.044,47.0,40.0,87.0
Selective_regression-path_duration_max_medical,215.0,86.0,43.0,86.0,2.7359999999999998,37.0,52.0,89.0
word_frequency_screen_mean_medical,109.0,43.6,21.8,43.6,2.128,50.0,42.0,92.0
total_word_count_text_min_medical,106.0,42.4,21.2,42.4,2.152,51.0,43.0,94.0
total_word_count_text_max_medical,106.0,42.4,21.2,42.4,2.152,51.0,43.0,94.0
Maximum_duration_of_whole_fixations_mean_medical,106.0,42.4,21.2,42.4,2.2,51.0,45.0,96.0
total_word_count_text_std_medical,106.0,42.4,21.2,42.4,2.224,51.0,46.0,97.0
Maximum_duration_of_fixations_std_medical,112.0,44.800000000000004,22.4,44.8,2.596,47.0,50.0,97.0
Peak_velocity_of_entry_saccade_mean_medical,190.0,76.0,38.0,76.0,3.096,39.0,61.0,100.0
total_lemma_count_text_min_medical,118.0,47.199999999999996,23.6,47.2,2.908,44.0,58.0,102.0
total_word_count_text_mean_medical,106.0,42.4,21.2,42.4,2.668,51.0,51.0,102.0
Minimum_duration_of_whole_fixations_max_medical,100.0,40.0,50.0,100.0,2.248,56.0,47.0,103.0
