Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_medical,250.0,100.0,50.0,100.0,18.255618672999525,1.0,1.0,2.0
Selective_regression-path_duration_max_medical,250.0,100.0,50.0,100.0,17.49678483530188,1.0,2.0,3.0
Selective_regression-path_duration_mean_medical,250.0,100.0,50.0,100.0,16.022374629290486,1.0,3.0,4.0
Average_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.963714008785942,1.0,4.0,5.0
Minimum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,13.211370167859943,1.0,5.0,6.0
Maximum_duration_of_Visit_max_medical,250.0,100.0,50.0,100.0,11.275424770307984,1.0,6.0,7.0
Minimum_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,10.509108817286805,1.0,7.0,8.0
Average_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,10.409358374892632,1.0,8.0,9.0
Duration_of_first_Visit_max_medical,250.0,100.0,50.0,100.0,9.2534020888578,1.0,9.0,10.0
Minimum_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,9.02192840163858,1.0,10.0,11.0
Average_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,8.518815483335736,1.0,11.0,12.0
Maximum_duration_of_Visit_std_medical,250.0,100.0,50.0,100.0,8.171705275045246,1.0,12.0,13.0
First-pass_duration_max_medical,250.0,100.0,50.0,100.0,7.709697091226164,1.0,13.0,14.0
Duration_of_first_Visit_std_medical,250.0,100.0,50.0,100.0,7.485189075621529,1.0,14.0,15.0
Duration_of_first_Visit_mean_medical,250.0,100.0,50.0,100.0,7.370730669820202,1.0,15.0,16.0
Maximum_duration_of_Visit_mean_medical,250.0,100.0,50.0,100.0,7.265152543537544,1.0,16.0,17.0
Average_whole-fixation_eye_openness_std_medical,250.0,100.0,50.0,100.0,7.173216591689138,1.0,17.0,18.0
First-pass_first_fixation_duration_mean_medical,250.0,100.0,50.0,100.0,6.849869936258915,1.0,18.0,19.0
First-pass_first_fixation_duration_std_medical,250.0,100.0,50.0,100.0,6.819277258638675,1.0,19.0,20.0
Duration_of_first_whole_fixation_std_medical,250.0,100.0,50.0,100.0,6.210250892737911,1.0,20.0,21.0
Average_whole-fixation_eye_openness_mean_medical,250.0,100.0,50.0,100.0,6.183231831784687,1.0,21.0,22.0
