Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
word_frequency_screen_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Duration_of_first_fixation_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_text_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_duration_of_whole_fixations_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Selective_regression-path_duration_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_min_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Time_to_first_fixation_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Average_pupil_diameter_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_std_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_mean_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Number_of_fixations_max_non_medical,250.0,100.0,50.0,100.0,1.0,1.0,1.0,2.0
Total_duration_of_whole_fixations_max_non_medical,247.0,98.8,49.4,98.8,1.012,29.0,29.0,58.0
Average_duration_of_whole_fixations_mean_non_medical,247.0,98.8,49.4,98.8,1.012,29.0,29.0,58.0
Total_duration_of_whole_fixations_std_non_medical,247.0,98.8,49.4,98.8,1.012,29.0,29.0,58.0
total_lemma_count_screen_max_non_medical,247.0,98.8,49.4,98.8,1.012,29.0,29.0,58.0
Minimum_duration_of_whole_fixations_std_non_medical,247.0,98.8,49.4,98.8,1.024,29.0,33.0,62.0
total_lemma_count_text_mean_non_medical,244.0,97.6,48.8,97.6,1.036,35.0,34.0,69.0
Minimum_duration_of_whole_fixations_mean_non_medical,238.0,95.19999999999999,47.6,95.2,1.048,36.0,35.0,71.0
Time_to_entry_saccade_min_non_medical,245.0,98.0,49.0,98.0,1.168,34.0,38.0,72.0
Maximum_duration_of_fixations_max_non_medical,235.0,94.0,47.0,94.0,1.06,37.0,36.0,73.0
Average_duration_of_whole_fixations_max_non_medical,229.0,91.60000000000001,45.8,91.6,1.0959999999999999,38.0,37.0,75.0
Minimum_duration_of_whole_fixations_max_non_medical,226.0,90.4,45.2,90.4,1.192,39.0,39.0,78.0
Average_duration_of_whole_fixations_min_non_medical,118.0,47.199999999999996,23.6,47.2,1.528,41.0,40.0,81.0
Minimum_duration_of_whole_fixations_min_non_medical,118.0,47.199999999999996,23.6,47.2,2.056,41.0,43.0,84.0
total_lemma_count_text_std_non_medical,115.0,46.0,23.0,46.0,1.576,43.0,41.0,84.0
word_frequency_screen_std_non_medical,115.0,46.0,23.0,46.0,2.0799999999999996,43.0,44.0,87.0
total_lemma_count_text_min_non_medical,115.0,46.0,23.0,46.0,2.164,43.0,45.0,88.0
Maximum_duration_of_fixations_min_non_medical,103.0,41.199999999999996,20.6,41.2,1.6600000000000001,46.0,42.0,88.0
word_frequency_screen_mean_non_medical,103.0,41.199999999999996,20.6,41.2,2.1759999999999997,46.0,46.0,92.0
First-pass_duration_std_non_medical,220.0,88.0,44.0,88.0,2.228,40.0,52.0,92.0
total_word_count_text_max_non_medical,100.0,40.0,50.0,100.0,2.2,52.0,47.0,99.0
total_word_count_text_std_non_medical,100.0,40.0,50.0,100.0,2.2,52.0,47.0,99.0
total_word_count_text_min_non_medical,100.0,40.0,50.0,100.0,2.2,52.0,47.0,99.0
Maximum_duration_of_fixations_std_non_medical,103.0,41.199999999999996,20.6,41.2,2.248,46.0,53.0,99.0
Maximum_duration_of_whole_fixations_max_non_medical,103.0,41.199999999999996,20.6,41.2,2.7640000000000002,46.0,55.0,101.0
Maximum_duration_of_whole_fixations_std_non_medical,100.0,40.0,50.0,100.0,2.212,52.0,50.0,102.0
Maximum_duration_of_whole_fixations_mean_non_medical,100.0,40.0,50.0,100.0,2.212,52.0,50.0,102.0
Maximum_duration_of_whole_fixations_min_non_medical,100.0,40.0,50.0,100.0,2.728,52.0,54.0,106.0
Maximum_duration_of_fixations_mean_non_medical,103.0,41.199999999999996,20.6,41.2,2.836,46.0,61.0,107.0
total_word_count_text_mean_non_medical,100.0,40.0,50.0,100.0,2.776,52.0,56.0,108.0
Number_of_whole_fixations_std_non_medical,100.0,40.0,50.0,100.0,2.8,52.0,57.0,109.0
Number_of_whole_fixations_mean_non_medical,100.0,40.0,50.0,100.0,2.8,52.0,57.0,109.0
total_word_count_screen_max_non_medical,100.0,40.0,50.0,100.0,2.8240000000000003,52.0,59.0,111.0
Average_whole-fixation_pupil_diameter_std_non_medical,100.0,40.0,50.0,100.0,2.8240000000000003,52.0,59.0,111.0
Average_whole-fixation_pupil_diameter_mean_non_medical,100.0,40.0,50.0,100.0,2.896,52.0,62.0,114.0
Number_of_whole_fixations_max_non_medical,100.0,40.0,50.0,100.0,3.3160000000000003,52.0,64.0,116.0
Time_to_first_whole_fixation_mean_non_medical,100.0,40.0,50.0,100.0,3.364,52.0,65.0,117.0
Time_to_first_whole_fixation_std_non_medical,100.0,40.0,50.0,100.0,3.364,52.0,65.0,117.0
Duration_of_first_whole_fixation_max_non_medical,100.0,40.0,50.0,100.0,3.376,52.0,67.0,119.0
Time_to_first_whole_fixation_min_non_medical,100.0,40.0,50.0,100.0,3.376,52.0,67.0,119.0
Total_duration_of_Visit_max_non_medical,103.0,41.199999999999996,20.6,41.2,3.9400000000000004,46.0,75.0,121.0
Duration_of_first_whole_fixation_min_non_medical,100.0,40.0,50.0,100.0,3.3880000000000003,52.0,69.0,121.0
Duration_of_first_whole_fixation_mean_non_medical,100.0,40.0,50.0,100.0,3.3880000000000003,52.0,69.0,121.0
Duration_of_first_whole_fixation_std_non_medical,100.0,40.0,50.0,100.0,3.3880000000000003,52.0,69.0,121.0
Average_whole-fixation_pupil_diameter_max_non_medical,100.0,40.0,50.0,100.0,3.868,52.0,74.0,126.0
total_word_count_screen_min_non_medical,100.0,40.0,50.0,100.0,3.9400000000000004,52.0,75.0,127.0
Total_duration_of_Visit_mean_non_medical,100.0,40.0,50.0,100.0,3.9880000000000004,52.0,77.0,129.0
Total_duration_of_Visit_std_non_medical,100.0,40.0,50.0,100.0,4.0,52.0,78.0,130.0
Average_duration_of_Visit_std_non_medical,100.0,40.0,50.0,100.0,4.0,52.0,78.0,130.0
Average_whole-fixation_pupil_diameter_min_non_medical,98.0,39.2,49.0,98.0,2.896,77.0,62.0,139.0
Time_to_first_whole_fixation_max_non_medical,96.0,38.4,48.0,96.0,3.4159999999999995,79.0,72.0,151.0
Minimum_duration_of_fixations_max_non_medical,91.0,36.4,18.2,36.4,3.472,80.0,73.0,153.0
Average_duration_of_Visit_mean_non_medical,98.0,39.2,49.0,98.0,4.068,77.0,80.0,157.0
total_word_count_screen_std_non_medical,6.0,2.4,3.0,6.0,4.3759999999999994,83.0,81.0,164.0
Average_duration_of_Visit_min_non_medical,16.0,6.4,8.0,16.0,5.176,81.0,84.0,165.0
Minimum_duration_of_fixations_min_non_medical,2.0,0.8,1.0,2.0,4.54,86.0,83.0,169.0
total_word_count_screen_mean_non_medical,0.0,0.0,0.0,0.0,4.4,88.0,82.0,170.0
word_count_text_max_non_medical,2.0,0.8,1.0,2.0,5.311999999999999,86.0,85.0,171.0
word_count_text_std_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
Average_duration_of_Visit_max_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
word_count_text_mean_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
Minimum_duration_of_Visit_max_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
Minimum_duration_of_Visit_min_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
Minimum_duration_of_Visit_std_non_medical,0.0,0.0,0.0,0.0,5.4,88.0,86.0,174.0
Maximum_duration_of_Visit_mean_non_medical,0.0,0.0,0.0,0.0,5.42,88.0,92.0,180.0
Minimum_duration_of_fixations_std_non_medical,0.0,0.0,0.0,0.0,5.54,88.0,93.0,181.0
word_count_screen_max_non_medical,0.0,0.0,0.0,0.0,6.32,88.0,94.0,182.0
word_count_screen_std_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
Maximum_duration_of_Visit_max_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
Maximum_duration_of_Visit_min_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
Maximum_duration_of_Visit_std_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
Number_of_Visits_mean_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
Number_of_Visits_std_non_medical,0.0,0.0,0.0,0.0,6.4,88.0,95.0,183.0
