Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_max_non_medical,250.0,100.0,50.0,100.0,16.450085466713595,1.0,1.0,2.0
Selective_regression-path_duration_std_non_medical,250.0,100.0,50.0,100.0,15.899332738731271,1.0,2.0,3.0
Maximum_duration_of_Visit_max_non_medical,250.0,100.0,50.0,100.0,12.525402184761218,1.0,3.0,4.0
Selective_regression-path_duration_mean_non_medical,250.0,100.0,50.0,100.0,11.199548031731265,1.0,4.0,5.0
Average_whole-fixation_eye_openness_max_non_medical,250.0,100.0,50.0,100.0,11.019859759876176,1.0,5.0,6.0
Maximum_duration_of_Visit_std_non_medical,250.0,100.0,50.0,100.0,10.33659067451761,1.0,6.0,7.0
Average_whole-fixation_eye_openness_std_non_medical,250.0,100.0,50.0,100.0,10.168414756588916,1.0,7.0,8.0
Duration_of_first_Visit_max_non_medical,250.0,100.0,50.0,100.0,9.674623939686676,1.0,8.0,9.0
Average_duration_of_whole_fixations_min_non_medical,250.0,100.0,50.0,100.0,9.615625375704576,1.0,9.0,10.0
Average_duration_of_Visit_max_non_medical,250.0,100.0,50.0,100.0,9.509996394644624,1.0,10.0,11.0
Average_whole-fixation_eye_openness_mean_non_medical,250.0,100.0,50.0,100.0,9.40189922651919,1.0,11.0,12.0
Average_duration_of_Visit_std_non_medical,250.0,100.0,50.0,100.0,9.194684808727144,1.0,12.0,13.0
Minimum_duration_of_Visit_max_non_medical,250.0,100.0,50.0,100.0,8.815617689364727,1.0,13.0,14.0
Duration_of_first_Visit_std_non_medical,250.0,100.0,50.0,100.0,8.527232935863198,1.0,14.0,15.0
Minimum_duration_of_Visit_std_non_medical,250.0,100.0,50.0,100.0,8.036194988294993,1.0,15.0,16.0
Average_duration_of_Visit_mean_non_medical,250.0,100.0,50.0,100.0,8.013940865395112,1.0,16.0,17.0
Maximum_duration_of_Visit_mean_non_medical,250.0,100.0,50.0,100.0,7.930604130755976,1.0,17.0,18.0
Minimum_duration_of_Visit_mean_non_medical,250.0,100.0,50.0,100.0,7.651115080556605,1.0,18.0,19.0
Duration_of_first_Visit_mean_non_medical,250.0,100.0,50.0,100.0,7.633918680272048,1.0,19.0,20.0
Total_duration_of_Visit_std_non_medical,250.0,100.0,50.0,100.0,6.360741902913344,1.0,20.0,21.0
Time_to_first_Visit_std_non_medical,250.0,100.0,50.0,100.0,6.059788725273223,1.0,21.0,22.0
Time_to_first_Visit_mean_non_medical,250.0,100.0,50.0,100.0,5.768997699201183,1.0,22.0,23.0
Total_duration_of_Visit_mean_non_medical,250.0,100.0,50.0,100.0,5.23579371507895,1.0,23.0,24.0
Time_to_first_Visit_max_non_medical,250.0,100.0,50.0,100.0,5.1490535351677735,1.0,24.0,25.0
Total_duration_of_Visit_max_non_medical,250.0,100.0,50.0,100.0,5.136207037643609,1.0,25.0,26.0
Average_duration_of_whole_fixations_max_non_medical,250.0,100.0,50.0,100.0,4.414861198000754,1.0,26.0,27.0
Average_duration_of_fixations_max_non_medical,250.0,100.0,50.0,100.0,3.825037270678872,1.0,28.0,29.0
Maximum_duration_of_whole_fixations_std_non_medical,250.0,100.0,50.0,100.0,3.8207203425449405,1.0,29.0,30.0
Maximum_duration_of_fixations_std_non_medical,250.0,100.0,50.0,100.0,3.6971101900377583,1.0,31.0,32.0
Maximum_duration_of_fixations_max_non_medical,250.0,100.0,50.0,100.0,3.654832204761776,1.0,32.0,33.0
Maximum_duration_of_whole_fixations_max_non_medical,250.0,100.0,50.0,100.0,3.645595825368629,1.0,33.0,34.0
Peak_velocity_of_entry_saccade_min_non_medical,250.0,100.0,50.0,100.0,3.6341535222788663,1.0,34.0,35.0
First-pass_first_fixation_duration_max_non_medical,250.0,100.0,50.0,100.0,3.622040133250253,1.0,35.0,36.0
First-pass_duration_std_non_medical,250.0,100.0,50.0,100.0,3.4743921118530126,1.0,36.0,37.0
First-pass_duration_max_non_medical,250.0,100.0,50.0,100.0,3.4278321946287504,1.0,37.0,38.0
Time_to_entry_saccade_min_non_medical,249.0,99.6,49.8,99.6,4.20888069010192,36.0,27.0,63.0
Time_to_exit_saccade_min_non_medical,248.0,99.2,49.6,99.2,3.702175787690648,38.0,30.0,68.0
Minimum_duration_of_whole_fixations_max_non_medical,249.0,99.6,49.8,99.6,3.2722729928556236,36.0,39.0,75.0
First-pass_regression_mean_non_medical,247.0,98.8,49.4,98.8,3.3304913277784323,39.0,38.0,77.0
Minimum_duration_of_fixations_max_non_medical,234.0,93.60000000000001,46.8,93.6,2.768508059142702,40.0,40.0,80.0
