Base_Feature,Total_Appearances,Component_version_simple,Component_type_clinical,Component_type_medical,Component_version_original
Selective_regression-path_duration_std,4,2,2,2,2
id.phrase.in.brackets_std,4,2,2,2,2
Regression-path_duration_mean,4,2,2,2,2
Sentence_id_current_std,4,2,2,2,2
Time_to_exit_saccade_std,4,2,2,2,2
Total_duration_of_whole_fixations_mean,4,2,2,2,2
word_count_screen_min,4,2,2,2,2
word_id_screen_min,4,2,2,2,2
word_count_text_min,4,2,2,2,2
First-pass_regression_max,4,2,2,2,2
tag.id_max,4,2,2,2,2
left_dependents_mean,4,2,2,2,2
word_id_screen_mean,4,2,2,2,2
Time_to_first_whole_fixation_max,4,2,2,2,2
Time_to_exit_saccade_max,4,2,2,2,2
word_frequency_screen_std,4,2,2,2,2
total_lemma_count_screen_max,4,2,2,2,2
total_lemma_count_screen_mean,4,2,2,2,2
id.phrase.in.brackets_max,4,2,2,2,2
Average_whole-fixation_pupil_diameter_std,4,2,2,2,2
Time_to_first_fixation_max,4,2,2,2,2
Average_pupil_diameter_std,4,2,2,2,2
word_frequency_text_mean,4,2,2,2,2
word_count_screen_mean,4,2,2,2,2
total_word_count_screen_max,4,2,2,2,2
word_id_screen_max,4,2,2,2,2
Average_pupil_diameter_min,4,2,2,2,2
word_id_text_mean,4,2,2,2,2
id.line_std,4,2,2,2,2
word_id_text_std,4,2,2,2,2
word_id_text_max,4,2,2,2,2
total_word_count_text_max,4,2,2,2,2
total_word_count_text_mean,4,2,2,2,2
total_word_count_text_min,4,2,2,2,2
word_frequency_screen_mean,4,2,2,2,2
Peak_velocity_of_exit_saccade_mean,4,2,2,2,2
AOI_length_mean,4,2,2,2,2
AOI_length_std,4,2,2,2,2
total_lemma_count_text_mean,4,2,2,2,2
total_lemma_count_text_max,4,2,2,2,2
total_lemma_count_text_min,4,2,2,2,2
Time_to_entry_saccade_std,4,2,2,2,2
Average_whole-fixation_pupil_diameter_min,4,2,2,2,2
Sentence_id_current_max,4,2,2,2,2
Total_duration_of_fixations_mean,4,2,2,2,2
word_id_screen_std,4,2,2,2,2
total_word_count_screen_mean,4,2,2,2,2
Minimum_duration_of_Visit_std,4,2,2,2,2
Maximum_duration_of_whole_fixations_min,4,2,2,2,2
word_count_text_max,4,2,2,2,2
Peak_velocity_of_entry_saccade_max,4,2,2,2,2
Duration_of_first_whole_fixation_min,4,2,2,2,2
Peak_velocity_of_exit_saccade_std,4,2,2,2,2
