Base_Feature,Total_Appearances,Component_subset_medical
Selective_regression-path_duration_max_non,1,1
Average_whole-fixation_pupil_diameter_std_non,1,1
Average_pupil_diameter_std_non,1,1
total_lemma_count_screen_mean_non,1,1
total_word_count_screen_mean_non,1,1
Average_whole-fixation_eye_openness_min_non,1,1
id.line_min_non,1,1
Average_whole-fixation_pupil_diameter_max_non,1,1
left_dependents_std_non,1,1
left_dependents_max_non,1,1
Average_pupil_diameter_max_non,1,1
total_word_count_screen_std_non,1,1
total_lemma_count_text_max_non,1,1
word_id_screen_mean_non,1,1
word_frequency_text_min_non,1,1
Peak_velocity_of_exit_saccade_min_non,1,1
total_word_count_text_max_non,1,1
Peak_velocity_of_exit_saccade_mean_non,1,1
left_dependents_mean_non,1,1
right_dependents_mean_non,1,1
word_frequency_screen_mean_non,1,1
id.line_mean_non,1,1
word_id_screen_std_non,1,1
word_count_text_max_non,1,1
word_frequency_screen_max_non,1,1
Regression-path_duration_std_non,1,1
Duration_of_first_whole_fixation_max_non,1,1
Duration_of_first_fixation_max_non,1,1
total_word_count_screen_min_non,1,1
Average_duration_of_fixations_min_non,1,1
Time_to_first_whole_fixation_min_non,1,1
Minimum_duration_of_whole_fixations_std_non,1,1
word_count_text_std_non,1,1
Maximum_duration_of_whole_fixations_min_non,1,1
Number_of_Visits_mean_non,1,1
Minimum_duration_of_fixations_std_non,1,1
AOI_length_mean_non,1,1
Duration_of_first_whole_fixation_min_non,1,1
word_count_text_mean_non,1,1
total_lemma_count_text_std_non,1,1
Regression-path_duration_max_non,1,1
total_lemma_count_screen_min_non,1,1
total_word_count_text_std_non,1,1
Peak_velocity_of_entry_saccade_std_non,1,1
Minimum_duration_of_fixations_min_non,1,1
AOI_length_std_non,1,1
Maximum_duration_of_fixations_min_non,1,1
Number_of_Visits_std_non,1,1
Number_of_saccades_in_AOI_std_non,1,1
Number_of_whole_fixations_max_non,1,1
Number_of_fixations_max_non,1,1
Number_of_fixations_std_non,1,1
Number_of_whole_fixations_std_non,1,1
Number_of_saccades_in_AOI_max_non,1,1
right_dependents_max_non,1,1
Peak_velocity_of_entry_saccade_max_non,1,1
word_id_text_std_non,1,1
word_id_text_mean_non,1,1
word_frequency_text_mean_non,1,1
id.line_std_non,1,1
Duration_of_first_fixation_min_non,1,1
id.phrase.in.brackets_std_non,1,1
word_frequency_screen_std_non,1,1
word_count_screen_std_non,1,1
Sentence_id_current_mean_non,1,1
word_count_screen_mean_non,1,1
word_frequency_text_std_non,1,1
Number_of_Visits_max_non,1,1
tag.id_mean_non,1,1
id.line_max_non,1,1
