Feature,Stability_Count,Mean_Rank_or_Score,Stability_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_clinical_simple,50.0,20.218552622944586,31.0,1.0,32.0
Selective_regression-path_duration_max_content,50.0,18.95954108621616,31.0,2.0,33.0
Minimum_duration_of_Visit_std_clinical_simple,50.0,18.54720500099574,31.0,3.0,34.0
Selective_regression-path_duration_std_medical,50.0,18.255618672999525,31.0,4.0,35.0
Selective_regression-path_duration_std_content,50.0,18.133884877647294,31.0,5.0,36.0
Selective_regression-path_duration_max_medical_original,50.0,18.00153632060918,31.0,6.0,37.0
Average_duration_of_Visit_std_clinical_simple,50.0,17.52953314889498,31.0,7.0,38.0
Selective_regression-path_duration_max_medical,50.0,17.49678483530188,31.0,8.0,39.0
Selective_regression-path_duration_mean_clinical_simple,50.0,17.4472116713692,31.0,9.0,40.0
Selective_regression-path_duration_std_medical_simple,50.0,17.06176282190873,31.0,10.0,41.0
Average_duration_of_Visit_max_content,50.0,16.770097099267986,31.0,11.0,42.0
Minimum_duration_of_Visit_mean_clinical_simple,50.0,16.71872040954414,31.0,12.0,43.0
Minimum_duration_of_Visit_max_content,50.0,16.636969686601148,31.0,13.0,44.0
Selective_regression-path_duration_max_non_medical,50.0,16.450085466713595,31.0,14.0,45.0
Selective_regression-path_duration_mean_medical,50.0,16.022374629290486,31.0,15.0,46.0
Selective_regression-path_duration_std_non_medical,50.0,15.899332738731271,31.0,16.0,47.0
Minimum_duration_of_Visit_max_clinical_simple,50.0,15.05708420367032,31.0,17.0,48.0
Selective_regression-path_duration_max_medical_simple,50.0,14.800177069565637,31.0,18.0,49.0
Average_duration_of_Visit_mean_clinical_simple,50.0,14.407831125159946,31.0,19.0,50.0
Average_duration_of_Visit_max_medical,50.0,13.963714008785942,31.0,20.0,51.0
Selective_regression-path_duration_mean_content,50.0,13.928285014879252,31.0,21.0,52.0
Average_duration_of_Visit_max_clinical_simple,50.0,13.872997113236078,31.0,22.0,53.0
Maximum_duration_of_Visit_max_content,50.0,13.82052579525269,31.0,23.0,54.0
Duration_of_first_Visit_mean_clinical_simple,50.0,13.33852815274576,31.0,24.0,55.0
Minimum_duration_of_Visit_max_medical,50.0,13.211370167859943,31.0,25.0,56.0
Maximum_duration_of_Visit_max_non_medical,50.0,12.525402184761218,31.0,31.0,62.0
Selective_regression-path_duration_mean_non_medical,50.0,11.199548031731265,31.0,44.0,75.0
Average_whole-fixation_eye_openness_max_non_medical,50.0,11.019859759876176,31.0,45.0,76.0
Maximum_duration_of_Visit_std_non_medical,50.0,10.33659067451761,31.0,53.0,84.0
Average_whole-fixation_eye_openness_std_non_medical,50.0,10.168414756588916,31.0,57.0,88.0
Average_whole-fixation_eye_openness_max_clinical_simple,49.93333333333333,13.1119692490237,64.5,26.0,90.5
Duration_of_first_Visit_max_non_medical,50.0,9.674623939686676,31.0,60.0,91.0
Duration_of_first_Visit_std_clinical_simple,49.93333333333333,13.082807514772671,64.5,27.0,91.5
Average_duration_of_whole_fixations_min_non_medical,50.0,9.615625375704576,31.0,61.0,92.0
