Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
total_lemma_count_screen_std_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_min_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_mean_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_min_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_max_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
total_lemma_count_screen_mean_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_text_std_content,750.0,42.857142857142854,50.0,100.0,1.0,1.0,1.0,2.0
word_frequency_screen_max_content,744.0,42.51428571428571,49.6,99.2,1.016,8.0,40.0,48.0
word_frequency_screen_min_content,732.0,41.82857142857143,48.8,97.6,1.048,9.0,43.0,52.0
total_lemma_count_text_max_content,700.0,40.0,46.666666666666664,93.33333333333333,1.1466666666666667,10.0,47.0,57.0
total_lemma_count_screen_max_content,633.0,36.17142857142857,42.2,84.4,1.168,12.0,48.0,60.0
Average_pupil_diameter_mean_medical_original,663.0,37.885714285714286,44.2,88.4,1.324,11.0,51.0,62.0
Average_pupil_diameter_std_medical_original,588.0,33.6,49.0,98.0,1.652,13.0,56.0,69.0
Average_pupil_diameter_min_clinical_original,575.0,32.857142857142854,47.916666666666664,95.83333333333333,1.6093333333333333,18.0,54.0,72.0
Average_pupil_diameter_std_medical_simple,588.0,33.6,49.0,98.0,1.72,13.0,60.0,73.0
Average_pupil_diameter_mean_medical_simple,585.0,33.42857142857143,48.75,97.5,1.6520000000000001,16.0,57.0,73.0
Average_pupil_diameter_std_clinical_original,586.0,33.48571428571429,48.833333333333336,97.66666666666667,1.6613333333333336,15.0,59.0,74.0
total_lemma_count_text_mean_content,510.0,29.142857142857142,34.0,68.0,1.62,20.0,55.0,75.0
Average_pupil_diameter_std_clinical_simple,580.0,33.14285714285714,48.333333333333336,96.66666666666667,1.724,17.0,61.0,78.0
Average_pupil_diameter_min_clinical_simple,527.0,30.114285714285714,43.916666666666664,87.83333333333333,2.030666666666667,19.0,65.0,84.0
Average_pupil_diameter_mean_clinical_simple,483.0,27.6,40.25,80.5,1.9959999999999998,41.0,64.0,105.0
word_frequency_screen_std_content,474.0,27.085714285714285,31.6,63.2,1.736,45.0,62.0,107.0
total_lemma_count_text_std_content,465.0,26.571428571428573,31.0,62.0,2.04,47.0,66.0,113.0
Average_pupil_diameter_mean_clinical_original,475.0,27.142857142857142,39.583333333333336,79.16666666666667,2.1813333333333333,44.0,73.0,117.0
word_frequency_screen_mean_content,426.0,24.342857142857145,28.4,56.8,1.864,56.0,63.0,119.0
Duration_of_first_fixation_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Selective_regression-path_duration_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Time_to_first_fixation_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Duration_of_first_fixation_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
total_lemma_count_text_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Time_to_first_fixation_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_text_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
total_lemma_count_screen_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_pupil_diameter_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_text_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_text_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_text_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_pupil_diameter_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_screen_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_duration_of_whole_fixations_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_pupil_diameter_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Duration_of_first_fixation_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Time_to_first_fixation_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Time_to_first_fixation_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Number_of_fixations_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_pupil_diameter_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Number_of_fixations_std_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
total_lemma_count_screen_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Total_duration_of_whole_fixations_mean_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
total_lemma_count_screen_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Number_of_fixations_max_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
word_frequency_screen_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Duration_of_first_fixation_min_non_medical,250.0,14.285714285714285,50.0,100.0,1.0,123.0,1.0,124.0
Average_pupil_diameter_min_medical_simple,446.0,25.485714285714284,37.166666666666664,74.33333333333333,2.241333333333333,49.0,80.0,129.0
Average_pupil_diameter_max_clinical_original,443.0,25.314285714285717,36.916666666666664,73.83333333333333,2.2693333333333334,50.0,82.0,132.0
Average_pupil_diameter_min_medical_original,437.0,24.97142857142857,48.55555555555556,97.11111111111111,2.3373333333333335,51.0,84.0,135.0
total_lemma_count_text_min_content,435.0,24.857142857142858,29.0,57.99999999999999,2.544,52.0,87.0,139.0
Duration_of_first_fixation_max_medical_simple,432.0,24.685714285714287,28.8,57.60000000000001,2.3560000000000003,55.0,85.0,140.0
Average_pupil_diameter_max_clinical_simple,433.0,24.742857142857144,48.111111111111114,96.22222222222223,2.3973333333333335,54.0,86.0,140.0
Duration_of_first_fixation_max_medical_original,407.0,23.257142857142856,33.916666666666664,67.83333333333333,2.5959999999999996,58.0,88.0,146.0
Average_pupil_diameter_max_medical_original,425.0,24.285714285714285,47.22222222222222,94.44444444444444,2.6626666666666665,57.0,90.0,147.0
Duration_of_first_fixation_max_clinical_simple,388.0,22.17142857142857,32.333333333333336,64.66666666666667,2.7453333333333334,63.0,93.0,156.0
Average_pupil_diameter_max_medical_simple,381.0,21.771428571428572,25.4,50.8,2.7266666666666666,65.0,91.0,156.0
total_word_count_text_max_content,339.0,19.371428571428574,22.6,45.2,2.096,94.0,69.0,163.0
Duration_of_first_fixation_max_clinical_original,385.0,22.0,32.083333333333336,64.16666666666667,3.012,64.0,107.0,171.0
total_word_count_text_min_content,312.0,17.82857142857143,20.8,41.6,2.1679999999999997,104.0,71.0,175.0
total_word_count_text_std_content,300.0,17.142857142857142,50.0,100.0,2.3040000000000003,106.0,83.0,189.0
Duration_of_first_fixation_std_clinical_simple,487.0,27.82857142857143,32.46666666666667,64.93333333333334,5.172,38.0,153.0,191.0
Total_duration_of_whole_fixations_mean_medical_original,347.0,19.82857142857143,49.57142857142857,99.14285714285714,2.982666666666667,88.0,106.0,194.0
total_word_count_text_mean_content,300.0,17.142857142857142,50.0,100.0,2.6319999999999997,106.0,89.0,195.0
Total_duration_of_whole_fixations_mean_clinical_simple,330.0,18.857142857142858,36.666666666666664,73.33333333333333,2.7946666666666666,99.0,97.0,196.0
Total_duration_of_whole_fixations_mean_medical_simple,344.0,19.657142857142855,49.142857142857146,98.28571428571429,3.033333333333333,90.0,108.0,198.0
Total_duration_of_whole_fixations_mean_clinical_original,331.0,18.914285714285715,36.77777777777778,73.55555555555556,2.825333333333333,98.0,102.0,200.0
Duration_of_first_fixation_min_medical_simple,357.0,20.4,23.8,47.6,3.5506666666666664,73.0,128.0,201.0
Duration_of_first_fixation_std_clinical_original,490.0,28.000000000000004,32.666666666666664,65.33333333333333,5.506666666666666,32.0,170.0,202.0
total_word_count_screen_max_content,300.0,17.142857142857142,50.0,100.0,2.7800000000000002,106.0,96.0,202.0
Total_duration_of_whole_fixations_std_clinical_original,340.0,19.428571428571427,37.77777777777778,75.55555555555556,3.3106666666666666,93.0,110.0,203.0
Duration_of_first_fixation_min_medical_original,355.0,20.285714285714285,29.583333333333332,59.166666666666664,3.852,75.0,129.0,204.0
Duration_of_first_fixation_mean_medical_simple,490.0,28.000000000000004,32.666666666666664,65.33333333333333,5.833333333333333,32.0,173.0,205.0
Duration_of_first_fixation_min_clinical_simple,358.0,20.457142857142856,23.866666666666667,47.733333333333334,4.058666666666666,70.0,137.0,207.0
Duration_of_first_fixation_mean_medical_original,499.0,28.514285714285712,33.266666666666666,66.53333333333333,6.126666666666667,28.0,179.0,207.0
Total_duration_of_whole_fixations_std_clinical_simple,327.0,18.685714285714287,36.333333333333336,72.66666666666667,3.3160000000000003,100.0,111.0,211.0
Duration_of_first_fixation_std_medical_original,391.0,22.34285714285714,26.066666666666666,52.13333333333333,5.005333333333334,62.0,152.0,214.0
total_word_count_screen_min_content,300.0,17.142857142857142,50.0,100.0,3.3600000000000003,106.0,113.0,219.0
Duration_of_first_fixation_min_clinical_original,355.0,20.285714285714285,29.583333333333332,59.166666666666664,4.384,75.0,145.0,220.0
Duration_of_first_fixation_std_medical_simple,358.0,20.457142857142856,23.866666666666667,47.733333333333334,4.706666666666667,70.0,150.0,220.0
Total_duration_of_whole_fixations_max_clinical_original,314.0,17.942857142857143,44.857142857142854,89.71428571428571,3.3773333333333335,103.0,118.0,221.0
Total_duration_of_whole_fixations_max_clinical_simple,317.0,18.114285714285714,45.285714285714285,90.57142857142857,3.498666666666667,102.0,126.0,228.0
total_lemma_count_screen_max_non_medical,247.0,14.114285714285716,49.4,98.8,1.012,193.0,36.0,229.0
Total_duration_of_whole_fixations_std_non_medical,247.0,14.114285714285716,49.4,98.8,1.012,193.0,36.0,229.0
Total_duration_of_whole_fixations_max_non_medical,247.0,14.114285714285716,49.4,98.8,1.012,193.0,36.0,229.0
Average_duration_of_whole_fixations_mean_non_medical,247.0,14.114285714285716,49.4,98.8,1.012,193.0,36.0,229.0
Minimum_duration_of_whole_fixations_std_non_medical,247.0,14.114285714285716,49.4,98.8,1.024,193.0,41.0,234.0
Total_duration_of_whole_fixations_max_medical_original,289.0,16.514285714285716,28.9,57.8,3.509333333333333,110.0,127.0,237.0
Total_duration_of_whole_fixations_std_medical_simple,259.0,14.799999999999999,21.583333333333332,43.166666666666664,3.3946666666666667,116.0,122.0,238.0
total_lemma_count_text_mean_non_medical,244.0,13.942857142857143,48.8,97.6,1.036,204.0,42.0,246.0
Minimum_duration_of_whole_fixations_mean_non_medical,238.0,13.600000000000001,47.6,95.2,1.048,206.0,43.0,249.0
Time_to_entry_saccade_min_non_medical,245.0,14.000000000000002,49.0,98.0,1.168,202.0,48.0,250.0
Duration_of_first_fixation_mean_clinical_simple,400.0,22.857142857142858,26.666666666666668,53.333333333333336,6.62,60.0,194.0,254.0
Maximum_duration_of_fixations_max_non_medical,235.0,13.428571428571429,47.0,94.0,1.06,210.0,45.0,255.0
Average_duration_of_whole_fixations_max_non_medical,229.0,13.085714285714287,45.8,91.6,1.0959999999999999,218.0,46.0,264.0
Duration_of_first_fixation_mean_clinical_original,358.0,20.457142857142856,23.866666666666667,47.733333333333334,7.1066666666666665,70.0,198.0,268.0
Minimum_duration_of_whole_fixations_max_non_medical,226.0,12.914285714285715,45.2,90.4,1.192,222.0,50.0,272.0
Time_to_first_fixation_max_medical_original,352.0,20.114285714285714,23.466666666666665,46.93333333333333,8.128,78.0,219.0,297.0
Time_to_first_fixation_max_medical_simple,349.0,19.942857142857143,23.266666666666666,46.53333333333333,7.617333333333334,87.0,216.0,303.0
First-pass_duration_std_non_medical,220.0,12.571428571428573,44.0,88.0,2.228,224.0,79.0,303.0
Average_duration_of_whole_fixations_min_non_medical,118.0,6.742857142857144,23.6,47.2,1.528,265.0,52.0,317.0
Time_to_exit_saccade_min_content,375.0,21.428571428571427,25.0,50.0,10.066666666666666,66.0,259.0,325.0
total_lemma_count_text_std_non_medical,115.0,6.571428571428571,23.0,46.0,1.576,273.0,53.0,326.0
Total_duration_of_whole_fixations_std_medical_original,238.0,13.600000000000001,34.0,68.0,3.4133333333333336,206.0,123.0,329.0
total_word_count_screen_std_content,228.0,13.028571428571428,19.0,38.0,3.272,220.0,109.0,329.0
Minimum_duration_of_whole_fixations_min_non_medical,118.0,6.742857142857144,23.6,47.2,2.056,265.0,67.0,332.0
word_frequency_screen_std_non_medical,115.0,6.571428571428571,23.0,46.0,2.0799999999999996,273.0,68.0,341.0
total_lemma_count_text_min_non_medical,115.0,6.571428571428571,23.0,46.0,2.164,273.0,70.0,343.0
Time_to_first_fixation_max_clinical_simple,289.0,16.514285714285716,19.266666666666666,38.53333333333333,8.726666666666667,110.0,235.0,345.0
Maximum_duration_of_fixations_min_non_medical,103.0,5.885714285714286,20.6,41.2,1.6600000000000001,288.0,58.0,346.0
Time_to_first_fixation_max_clinical_original,261.0,14.914285714285713,17.4,34.8,9.358666666666666,115.0,242.0,357.0
Average_duration_of_whole_fixations_mean_medical_original,221.0,12.628571428571428,22.1,44.2,4.046666666666666,223.0,136.0,359.0
word_frequency_screen_mean_non_medical,103.0,5.885714285714286,20.6,41.2,2.1759999999999997,288.0,72.0,360.0
Maximum_duration_of_fixations_std_non_medical,103.0,5.885714285714286,20.6,41.2,2.248,288.0,81.0,369.0
total_word_count_text_max_non_medical,100.0,5.714285714285714,50.0,100.0,2.2,298.0,74.0,372.0
total_word_count_text_min_non_medical,100.0,5.714285714285714,50.0,100.0,2.2,298.0,74.0,372.0
total_word_count_text_std_non_medical,100.0,5.714285714285714,50.0,100.0,2.2,298.0,74.0,372.0
Average_duration_of_whole_fixations_mean_clinical_original,203.0,11.600000000000001,29.0,57.99999999999999,4.226666666666667,234.0,140.0,374.0
Total_duration_of_whole_fixations_max_medical_simple,202.0,11.542857142857143,28.857142857142858,57.714285714285715,4.164,235.0,139.0,374.0
Maximum_duration_of_whole_fixations_mean_non_medical,100.0,5.714285714285714,50.0,100.0,2.212,298.0,77.0,375.0
Maximum_duration_of_whole_fixations_std_non_medical,100.0,5.714285714285714,50.0,100.0,2.212,298.0,77.0,375.0
Time_to_first_fixation_min_medical_simple,255.0,14.571428571428571,17.0,34.0,9.982666666666667,119.0,258.0,377.0
Average_duration_of_whole_fixations_mean_clinical_simple,200.0,11.428571428571429,50.0,100.0,4.278666666666667,236.0,142.0,378.0
Maximum_duration_of_whole_fixations_max_non_medical,103.0,5.885714285714286,20.6,41.2,2.7640000000000002,288.0,94.0,382.0
Average_duration_of_whole_fixations_mean_medical_simple,196.0,11.200000000000001,49.0,98.0,4.3693333333333335,244.0,143.0,387.0
Maximum_duration_of_whole_fixations_min_non_medical,100.0,5.714285714285714,50.0,100.0,2.728,298.0,92.0,390.0
Average_duration_of_whole_fixations_std_clinical_simple,197.0,11.257142857142858,28.142857142857142,56.285714285714285,4.517333333333334,243.0,147.0,390.0
Maximum_duration_of_fixations_mean_non_medical,103.0,5.885714285714286,20.6,41.2,2.836,288.0,103.0,391.0
total_word_count_text_mean_non_medical,100.0,5.714285714285714,50.0,100.0,2.776,298.0,95.0,393.0
total_word_count_screen_mean_content,158.0,9.028571428571428,26.333333333333332,52.666666666666664,4.228,253.0,141.0,394.0
Average_duration_of_whole_fixations_std_clinical_original,188.0,10.742857142857144,47.0,94.0,4.546666666666667,246.0,149.0,395.0
Time_to_first_fixation_min_medical_original,258.0,14.742857142857144,17.2,34.4,10.618666666666666,117.0,278.0,395.0
Number_of_whole_fixations_mean_non_medical,100.0,5.714285714285714,50.0,100.0,2.8,298.0,98.0,396.0
Number_of_whole_fixations_std_non_medical,100.0,5.714285714285714,50.0,100.0,2.8,298.0,98.0,396.0
total_word_count_screen_max_non_medical,100.0,5.714285714285714,50.0,100.0,2.8240000000000003,298.0,100.0,398.0
Average_whole-fixation_pupil_diameter_std_non_medical,100.0,5.714285714285714,50.0,100.0,2.8240000000000003,298.0,100.0,398.0
Average_duration_of_whole_fixations_std_medical_original,184.0,10.514285714285714,46.0,92.0,4.8133333333333335,248.0,151.0,399.0
Average_whole-fixation_pupil_diameter_mean_non_medical,100.0,5.714285714285714,50.0,100.0,2.896,298.0,104.0,402.0
Time_to_first_fixation_min_clinical_simple,258.0,14.742857142857144,17.2,34.4,11.258666666666667,117.0,288.0,405.0
Average_duration_of_whole_fixations_std_medical_simple,156.0,8.914285714285715,39.0,78.0,5.181333333333333,254.0,155.0,409.0
Number_of_whole_fixations_max_non_medical,100.0,5.714285714285714,50.0,100.0,3.3160000000000003,298.0,111.0,409.0
Time_to_first_whole_fixation_mean_non_medical,100.0,5.714285714285714,50.0,100.0,3.364,298.0,114.0,412.0
Time_to_first_whole_fixation_std_non_medical,100.0,5.714285714285714,50.0,100.0,3.364,298.0,114.0,412.0
Time_to_first_whole_fixation_min_non_medical,100.0,5.714285714285714,50.0,100.0,3.376,298.0,116.0,414.0
Duration_of_first_whole_fixation_max_non_medical,100.0,5.714285714285714,50.0,100.0,3.376,298.0,116.0,414.0
Duration_of_first_whole_fixation_mean_non_medical,100.0,5.714285714285714,50.0,100.0,3.3880000000000003,298.0,119.0,417.0
Duration_of_first_whole_fixation_std_non_medical,100.0,5.714285714285714,50.0,100.0,3.3880000000000003,298.0,119.0,417.0
Duration_of_first_whole_fixation_min_non_medical,100.0,5.714285714285714,50.0,100.0,3.3880000000000003,298.0,119.0,417.0
Total_duration_of_Visit_max_non_medical,103.0,5.885714285714286,20.6,41.2,3.9400000000000004,288.0,131.0,419.0
Time_to_first_fixation_min_clinical_original,251.0,14.342857142857143,16.733333333333334,33.46666666666667,12.06,122.0,305.0,427.0
Average_whole-fixation_pupil_diameter_max_non_medical,100.0,5.714285714285714,50.0,100.0,3.868,298.0,130.0,428.0
total_word_count_screen_min_non_medical,100.0,5.714285714285714,50.0,100.0,3.9400000000000004,298.0,131.0,429.0
Total_duration_of_Visit_mean_non_medical,100.0,5.714285714285714,50.0,100.0,3.9880000000000004,298.0,133.0,431.0
