Feature,Total_Stability_Count,Overall_Usage_Percentage,Conditional_Mean_Count,Conditional_Usage_Percentage,Mean_Rank_or_Score,Usage_Rank,Internal_Rank,Global_Score
Selective_regression-path_duration_std_medical,1000.0,57.14285714285714,50.0,100.0,18.255618672999525,1.0,4.0,5.0
Selective_regression-path_duration_max_medical,1000.0,57.14285714285714,50.0,100.0,17.49678483530188,1.0,8.0,9.0
Selective_regression-path_duration_std_clinical_simple,750.0,42.857142857142854,50.0,100.0,20.218552622944586,12.0,1.0,13.0
Selective_regression-path_duration_max_content,750.0,42.857142857142854,50.0,100.0,18.95954108621616,12.0,2.0,14.0
Minimum_duration_of_Visit_std_clinical_simple,750.0,42.857142857142854,50.0,100.0,18.54720500099574,12.0,3.0,15.0
Selective_regression-path_duration_mean_medical,1000.0,57.14285714285714,50.0,100.0,16.022374629290486,1.0,15.0,16.0
Selective_regression-path_duration_std_content,750.0,42.857142857142854,50.0,100.0,18.133884877647294,12.0,5.0,17.0
Selective_regression-path_duration_max_medical_original,750.0,42.857142857142854,50.0,100.0,18.00153632060918,12.0,6.0,18.0
Average_duration_of_Visit_std_clinical_simple,750.0,42.857142857142854,50.0,100.0,17.52953314889498,12.0,7.0,19.0
Selective_regression-path_duration_mean_clinical_simple,750.0,42.857142857142854,50.0,100.0,17.4472116713692,12.0,9.0,21.0
Average_duration_of_Visit_max_medical,1000.0,57.14285714285714,50.0,100.0,13.963714008785942,1.0,20.0,21.0
Selective_regression-path_duration_std_medical_simple,750.0,42.857142857142854,50.0,100.0,17.06176282190873,12.0,10.0,22.0
Average_duration_of_Visit_max_content,750.0,42.857142857142854,50.0,100.0,16.770097099267986,12.0,11.0,23.0
Minimum_duration_of_Visit_mean_clinical_simple,750.0,42.857142857142854,50.0,100.0,16.71872040954414,12.0,12.0,24.0
Minimum_duration_of_Visit_max_content,750.0,42.857142857142854,50.0,100.0,16.636969686601148,12.0,13.0,25.0
Minimum_duration_of_Visit_max_medical,1000.0,57.14285714285714,50.0,100.0,13.211370167859943,1.0,25.0,26.0
Minimum_duration_of_Visit_max_clinical_simple,750.0,42.857142857142854,50.0,100.0,15.05708420367032,12.0,17.0,29.0
Selective_regression-path_duration_max_medical_simple,750.0,42.857142857142854,50.0,100.0,14.800177069565637,12.0,18.0,30.0
Average_duration_of_Visit_mean_clinical_simple,750.0,42.857142857142854,50.0,100.0,14.407831125159946,12.0,19.0,31.0
Selective_regression-path_duration_mean_content,750.0,42.857142857142854,50.0,100.0,13.928285014879252,12.0,21.0,33.0
Average_duration_of_Visit_max_clinical_simple,750.0,42.857142857142854,50.0,100.0,13.872997113236078,12.0,22.0,34.0
Maximum_duration_of_Visit_max_content,750.0,42.857142857142854,50.0,100.0,13.82052579525269,12.0,23.0,35.0
Duration_of_first_Visit_mean_clinical_simple,750.0,42.857142857142854,50.0,100.0,13.33852815274576,12.0,24.0,36.0
Maximum_duration_of_Visit_max_medical,982.0,56.114285714285714,49.1,98.2,11.275424770307984,6.0,43.0,49.0
Minimum_duration_of_Visit_std_medical,950.0,54.285714285714285,47.5,95.0,10.509108817286805,7.0,49.0,56.0
Average_whole-fixation_eye_openness_max_clinical_simple,749.0,42.8,49.93333333333333,99.86666666666666,13.1119692490237,30.0,26.0,56.0
Duration_of_first_Visit_std_clinical_simple,749.0,42.8,49.93333333333333,99.86666666666666,13.082807514772671,30.0,27.0,57.0
Selective_regression-path_duration_std_medical_original,749.0,42.8,49.93333333333333,99.86666666666666,12.85906786582466,30.0,28.0,58.0
Maximum_duration_of_Visit_std_medical_simple,749.0,42.8,49.93333333333333,99.86666666666666,12.854472571417752,30.0,29.0,59.0
Average_duration_of_Visit_std_medical,944.0,53.94285714285715,47.2,94.4,10.409358374892632,8.0,52.0,60.0
Duration_of_first_Visit_max_content,749.0,42.8,49.93333333333333,99.86666666666666,12.289564525511569,30.0,33.0,63.0
Average_duration_of_Visit_std_content,749.0,42.8,49.93333333333333,99.86666666666666,11.66931646093365,30.0,36.0,66.0
Maximum_duration_of_Visit_std_clinical_simple,748.0,42.74285714285714,49.86666666666667,99.73333333333333,12.570555011216005,36.0,30.0,66.0
Maximum_duration_of_Visit_mean_clinical_simple,747.0,42.68571428571429,49.8,99.6,11.90291347613565,37.0,35.0,72.0
Average_whole-fixation_eye_openness_std_clinical_simple,744.0,42.51428571428571,49.6,99.2,12.41110563242351,41.0,32.0,73.0
Selective_regression-path_duration_mean_medical_simple,745.0,42.57142857142857,49.666666666666664,99.33333333333333,12.184477636695949,40.0,34.0,74.0
Average_duration_of_Visit_std_medical_simple,747.0,42.68571428571429,49.8,99.6,11.669092686585566,37.0,37.0,74.0
Duration_of_first_Visit_max_medical,857.0,48.97142857142857,42.85,85.7,9.2534020888578,9.0,67.0,76.0
Minimum_duration_of_Visit_std_content,746.0,42.628571428571426,49.733333333333334,99.46666666666667,11.444821897982122,39.0,40.0,79.0
Selective_regression-path_duration_max_clinical_simple,738.0,42.17142857142857,49.2,98.4,11.573407374575238,42.0,38.0,80.0
Duration_of_first_Visit_max_clinical_simple,735.0,42.0,49.0,98.0,11.4484820278471,43.0,39.0,82.0
Minimum_duration_of_Visit_mean_medical,846.0,48.34285714285714,47.0,94.0,9.02192840163858,10.0,72.0,82.0
Average_whole-fixation_eye_openness_mean_clinical_simple,729.0,41.65714285714286,48.6,97.2,11.412816881299907,44.0,41.0,85.0
Selective_regression-path_duration_std_clinical_original,727.0,41.542857142857144,48.46666666666667,96.93333333333334,11.303065345446642,45.0,42.0,87.0
