,Mean_Rank_or_Score,Std_Rank_or_Score
Time_to_first_fixation_mean_medical_original,1.0,0.0
Time_to_first_fixation_std_clinical_original,1.0,0.0
Time_to_first_fixation_mean_medical_simple,1.0,0.0
Time_to_first_fixation_mean_clinical_simple,1.0,0.0
total_lemma_count_text_mean_clinical_simple,1.0,0.0
total_lemma_count_text_mean_medical_original,1.0,0.0
Time_to_first_fixation_std_clinical_simple,1.0,0.0
total_lemma_count_text_std_medical_original,1.0,0.0
total_lemma_count_text_mean_medical_simple,1.0,0.0
total_lemma_count_text_min_clinical_original,1.0,0.0
Time_to_first_fixation_mean_clinical_original,1.0,0.0
Number_of_fixations_max_medical_simple,1.0,0.0
total_lemma_count_text_std_medical_simple,1.0,0.0
Time_to_first_fixation_std_medical_original,1.0,0.0
total_lemma_count_text_min_clinical_simple,1.02,0.14142135623730945
total_lemma_count_text_min_medical_original,1.04,0.2828427124746189
Time_to_first_fixation_min_clinical_original,1.06,0.2398979374820953
total_lemma_count_text_min_medical_simple,1.06,0.42426406871192873
Duration_of_first_fixation_mean_medical_original,1.08,0.3958973274443149
Time_to_first_fixation_std_medical_simple,1.08,0.2740475156178698
Time_to_first_fixation_min_clinical_simple,1.08,0.2740475156178698
total_lemma_count_text_mean_clinical_original,1.08,0.2740475156178698
Time_to_first_fixation_min_medical_original,1.08,0.2740475156178698
Time_to_first_fixation_min_medical_simple,1.1,0.303045763365663
Time_to_first_fixation_max_medical_original,1.16,0.5480950312357397
Time_to_first_fixation_max_medical_simple,1.18,0.5602477586036447
Time_to_first_fixation_max_clinical_simple,1.18,0.5602477586036447
Time_to_first_fixation_max_clinical_original,1.18,0.5602477586036447
total_lemma_count_screen_max_medical_simple,1.2,0.4040610178208843
Duration_of_first_fixation_mean_clinical_original,1.2,0.6060915267313262
Number_of_fixations_max_medical_original,1.24,0.4314191105869002
Duration_of_first_fixation_std_clinical_simple,1.24,0.7439552323595165
Duration_of_first_fixation_std_clinical_original,1.28,0.8580947095817837
Duration_of_first_fixation_mean_medical_simple,1.28,0.8580947095817837
Duration_of_first_fixation_mean_clinical_simple,1.28,0.8580947095817837
total_lemma_count_screen_max_medical_original,1.9,0.3030457633656633
total_lemma_count_screen_max_clinical_simple,1.98,0.14142135623730945
total_lemma_count_text_max_clinical_original,2.02,2.1236280084721413
