,Mean_Rank_or_Score,Std_Rank_or_Score
Selective_regression-path_duration_std_clinical_simple,20.218552622944582,1.6221563207809804
Minimum_duration_of_Visit_std_clinical_simple,18.54720500099574,1.1352078914493353
Selective_regression-path_duration_max_medical_original,18.00153632060918,1.457339400986399
Average_duration_of_Visit_std_clinical_simple,17.52953314889498,1.106985791973489
Selective_regression-path_duration_mean_clinical_simple,17.4472116713692,1.5041631699585705
Selective_regression-path_duration_std_medical_simple,17.06176282190873,1.4541274350374305
Minimum_duration_of_Visit_mean_clinical_simple,16.71872040954414,0.962381845483955
Minimum_duration_of_Visit_max_clinical_simple,15.05708420367032,0.8767083056985948
Selective_regression-path_duration_max_medical_simple,14.800177069565635,1.122331748616106
Average_duration_of_Visit_mean_clinical_simple,14.407831125159946,0.9141602086002272
Average_duration_of_Visit_max_clinical_simple,13.872997113236078,0.836434645528071
Duration_of_first_Visit_mean_clinical_simple,13.33852815274576,0.9207788498905773
Average_whole-fixation_eye_openness_max_clinical_simple,13.1119692490237,1.2960876814362632
Duration_of_first_Visit_std_clinical_simple,13.082807514772671,1.0189100409265854
Selective_regression-path_duration_std_medical_original,12.859067865824661,1.2640295034076796
Maximum_duration_of_Visit_std_medical_simple,12.854472571417752,0.9684381126205879
Maximum_duration_of_Visit_std_clinical_simple,12.570555011216005,0.9882186988269378
Average_whole-fixation_eye_openness_std_clinical_simple,12.41110563242351,1.5707615363232308
Selective_regression-path_duration_mean_medical_simple,12.184477636695949,1.2925178534265294
Maximum_duration_of_Visit_mean_clinical_simple,11.90291347613565,0.8738546239492855
Average_duration_of_Visit_std_medical_simple,11.669092686585566,0.9207485887754686
Selective_regression-path_duration_max_clinical_simple,11.57340737457524,1.2022036327186079
Duration_of_first_Visit_max_clinical_simple,11.448482027847101,0.9059734801099183
Average_whole-fixation_eye_openness_mean_clinical_simple,11.412816881299907,1.385981236154459
Selective_regression-path_duration_std_clinical_original,11.303065345446642,1.059653657851294
Average_whole-fixation_eye_openness_max_medical_simple,11.015735333589092,1.2349723651368278
Minimum_duration_of_Visit_std_medical_simple,10.631305860531704,0.8869610893276527
Average_duration_of_Visit_mean_medical_simple,10.561045524093602,0.8509681688887132
Duration_of_first_Visit_std_medical_simple,10.478514011110338,0.8705598360648805
Maximum_duration_of_Visit_max_medical_simple,10.472404505363977,0.8150888307617767
Selective_regression-path_duration_max_clinical_original,10.335920026273914,0.8939670766441062
Maximum_duration_of_Visit_mean_medical_simple,10.298785644803454,0.8492612945916963
Minimum_duration_of_Visit_mean_medical_simple,10.228667902163375,0.8425597272810168
Duration_of_first_Visit_mean_medical_simple,9.925645981166548,0.8374176204093162
Selective_regression-path_duration_mean_clinical_original,9.553686153765456,1.0427991015195317
Selective_regression-path_duration_mean_medical_original,9.422943353998134,1.0875449592195272
Average_whole-fixation_eye_openness_std_medical_simple,9.25671365560345,1.335133863119689
Maximum_duration_of_Visit_max_clinical_simple,9.133770450230955,0.8653712436737008
First-pass_duration_std_clinical_simple,9.092276721640353,0.7470089564071623
Average_duration_of_Visit_max_medical_simple,9.033018323570788,0.7495105227503168
Minimum_duration_of_Visit_max_medical_simple,8.683510516433579,0.7336928460320626
Total_duration_of_Visit_std_medical_simple,8.596642905145936,0.7986483461096329
Average_whole-fixation_eye_openness_std_medical_original,8.47412781936869,1.4524772332271103
Average_whole-fixation_eye_openness_mean_medical_simple,8.332906451567133,1.2818711323545016
Duration_of_first_Visit_max_medical_simple,8.123452643805592,0.7000032652393912
First-pass_duration_mean_clinical_simple,8.03081241006202,0.7654756015608929
Time_to_first_Visit_mean_clinical_simple,7.942728171591127,0.8129153259763731
Minimum_duration_of_Visit_max_medical_original,7.925807621634575,0.9887651411797193
Average_whole-fixation_eye_openness_mean_medical_original,7.76247933594284,1.2844556525457362
Time_to_first_Visit_std_clinical_simple,7.333803092928194,0.803407286599659
Average_duration_of_Visit_max_medical_original,7.282913341543295,0.9292389414901904
First-pass_first_fixation_duration_mean_clinical_simple,6.96071849090552,0.770206959146585
Average_whole-fixation_eye_openness_max_medical_original,6.924193646660504,1.163469715460606
Total_duration_of_Visit_std_clinical_simple,6.6878694242471575,0.7688658513195717
Time_to_first_Visit_mean_medical_simple,6.575808419777817,0.7443574689259855
Time_to_first_Visit_std_medical_simple,6.551076720050975,0.7627173428574239
Total_duration_of_Visit_mean_medical_simple,6.439524014275107,0.7326561277633734
Total_duration_of_Visit_max_medical_simple,6.387290750190831,0.6663763231967771
Minimum_duration_of_Visit_std_clinical_original,6.369881671684118,0.7143554573291183
Number_of_Visits_max_medical_simple,6.352077758710527,0.856922277193749
Maximum_duration_of_fixations_max_medical_simple,6.30309901936008,0.6533648933296169
Minimum_duration_of_Visit_mean_clinical_original,6.1886665389392554,0.8122227414758482
Average_duration_of_Visit_std_clinical_original,6.160427138395869,0.6985511040920285
Maximum_duration_of_whole_fixations_max_medical_simple,6.158713556129803,0.64419352449751
Total_duration_of_Visit_max_clinical_simple,6.138465726628268,0.7821826586288212
First-pass_duration_max_clinical_simple,5.983311479917727,0.5787771283329195
Total_duration_of_Visit_mean_clinical_simple,5.959863599001735,0.6907785572617631
Maximum_duration_of_Visit_min_clinical_simple,5.940965553178388,0.7358395866089888
Maximum_duration_of_Visit_max_medical_original,5.9372639838440895,0.7821735059246465
Average_duration_of_Visit_min_clinical_simple,5.917842252367868,0.7355349202062706
Maximum_duration_of_Visit_max_clinical_original,5.665789867672407,0.6650457498067325
First-pass_first_fixation_duration_max_medical_original,5.586039416881789,0.6791545911270167
First-pass_regression_mean_clinical_simple,5.421431573537044,0.9864186043594046
Number_of_Visits_mean_medical_simple,5.34544922660927,0.7821239950333199
Average_duration_of_Visit_mean_clinical_original,5.263093148228534,0.7265678203091891
Average_duration_of_Visit_std_medical_original,5.17716903453429,0.6751837896824479
Average_duration_of_Visit_max_clinical_original,5.048188601089389,0.6467784003579086
Time_to_first_Visit_max_medical_simple,5.017120596755712,0.6611333134941865
Minimum_duration_of_Visit_max_clinical_original,5.0022451870104785,0.6474068769442476
First-pass_first_fixation_duration_std_clinical_simple,4.9808231841243416,0.5611216229425454
Minimum_duration_of_Visit_std_medical_original,4.941975327144542,0.6499352481665178
Maximum_duration_of_Visit_std_clinical_original,4.9296807856872,0.6288448677204668
Maximum_duration_of_whole_fixations_std_clinical_simple,4.770116430309171,0.5509016094976279
Average_whole-fixation_pupil_diameter_max_medical_original,4.7620139517597515,0.5008152786648123
Maximum_duration_of_fixations_std_clinical_simple,4.731945788520598,0.5480555174855813
Time_to_first_Visit_max_medical_original,4.721230606852828,0.7254710924245134
Peak_velocity_of_exit_saccade_min_clinical_simple,4.6979224337054974,0.5440163426937448
Number_of_Visits_std_medical_simple,4.685391508009528,0.7188557700346262
Maximum_duration_of_Visit_std_medical_original,4.647925710102582,0.6762552405300183
First-pass_duration_max_medical_original,4.591568946194033,0.5542430524624415
Duration_of_first_Visit_mean_clinical_original,4.549247135799025,0.6642646117897031
Duration_of_first_Visit_std_clinical_original,4.518638499983677,0.5771378645042605
First-pass_duration_std_medical_simple,4.493526862866774,0.5075544606617239
Maximum_duration_of_fixations_std_medical_simple,4.472924772621788,0.47807478647752033
Maximum_duration_of_whole_fixations_std_medical_simple,4.384235425234539,0.4747562325760421
Duration_of_first_Visit_max_medical_original,4.368087159795521,0.662176165752298
First-pass_regression_mean_medical_original,4.295673556868668,0.6518644092460928
Average_duration_of_Visit_mean_medical_original,4.265936821801326,0.6593346858709123
Average_whole-fixation_eye_openness_mean_clinical_original,4.247379806580468,1.268850361945448
Maximum_duration_of_Visit_mean_medical_original,4.201189026512304,0.6459779403158153
Peak_velocity_of_exit_saccade_min_medical_simple,4.163690688557722,0.43931903386391274
Time_to_first_Visit_max_clinical_simple,4.159766630264204,0.6324857478591105
Average_whole-fixation_eye_openness_std_clinical_original,4.116612745837597,1.1262426227694298
Duration_of_first_Visit_min_clinical_simple,4.076705126176542,0.6312189280515187
Maximum_duration_of_Visit_mean_clinical_original,4.0410686086107495,0.6178471544663505
Minimum_duration_of_Visit_mean_medical_original,3.9841094460080604,0.6334579326023992
Duration_of_first_whole_fixation_mean_clinical_simple,3.961676476970136,0.4127084086350273
Duration_of_first_Visit_std_medical_original,3.9554042950036377,0.5829428602264923
Time_to_first_Visit_std_medical_original,3.9459637561728687,0.6426599764514656
Duration_of_first_Visit_mean_medical_original,3.917770812946839,0.6256461649475316
Number_of_saccades_in_AOI_std_clinical_simple,3.8298682686100203,0.46507466362350597
Average_duration_of_fixations_mean_clinical_simple,3.824571988107482,0.3975311782017167
Peak_velocity_of_entry_saccade_min_medical_simple,3.810858355427353,0.4680758880293728
Average_duration_of_whole_fixations_mean_clinical_simple,3.800918388709033,0.39604838787717256
id.phrase.in.brackets_min_medical_original,3.782199493085721,0.3596095691909415
Duration_of_first_fixation_mean_clinical_simple,3.766192154743952,0.41162136408011657
Maximum_duration_of_fixations_mean_clinical_simple,3.7417335110793473,0.41775992660809375
Peak_velocity_of_entry_saccade_min_clinical_simple,3.715583752346447,0.49925794690790043
tag.id_min_medical_original,3.7152333122954593,0.4054649038464544
Maximum_duration_of_whole_fixations_mean_clinical_simple,3.7127226678991376,0.41917038502971377
Total_duration_of_whole_fixations_max_clinical_simple,3.695228427005384,0.5422670678001347
Duration_of_first_whole_fixation_std_clinical_simple,3.602312621760334,0.4860060701942704
Total_duration_of_fixations_max_clinical_simple,3.6004046095537436,0.5418628814021524
First-pass_duration_std_clinical_original,3.5743650430758747,0.5049019377994627
Duration_of_first_Visit_max_clinical_original,3.5376921636156116,0.513268140921649
Average_duration_of_whole_fixations_max_medical_original,3.4885262781527557,0.5283499558152666
Time_to_exit_saccade_min_medical_original,3.476849859080393,0.6379222359408272
Minimum_duration_of_fixations_mean_clinical_simple,3.4436593958681083,0.41978430493964625
Minimum_duration_of_whole_fixations_mean_clinical_simple,3.4091759154372085,0.4164816466702418
Time_to_first_Visit_mean_medical_original,3.405131235462017,0.5697382672672853
First-pass_duration_mean_clinical_original,3.2688324722381648,0.514508510108662
Number_of_saccades_in_AOI_std_medical_simple,3.203761956648799,0.40942319970913765
