,Mean_Rank_or_Score,Std_Rank_or_Score
Duration_of_first_fixation_max_medical_original,1.0,0.0
Duration_of_first_fixation_std_clinical_original,1.0,0.0
Duration_of_first_fixation_std_clinical_simple,1.0,0.0
Duration_of_first_fixation_std_medical_original,1.0,0.0
Duration_of_first_fixation_std_medical_simple,1.0,0.0
Duration_of_first_fixation_min_clinical_original,1.0,0.0
Duration_of_first_fixation_min_clinical_simple,1.0,0.0
Duration_of_first_fixation_min_medical_original,1.0,0.0
Duration_of_first_fixation_min_medical_simple,1.0,0.0
Duration_of_first_fixation_mean_medical_simple,1.0,0.0
word_frequency_screen_max_medical,1.0,0.0
Duration_of_first_fixation_max_medical_simple,1.0,0.0
word_frequency_text_std_medical,1.0,0.0
word_frequency_text_min_medical,1.0,0.0
word_frequency_text_max_medical,1.0,0.0
total_lemma_count_screen_mean_medical,1.0,0.0
total_lemma_count_screen_std_medical,1.0,0.0
total_lemma_count_screen_min_medical,1.0,0.0
Average_pupil_diameter_mean_clinical_original,1.0,0.0
word_frequency_text_mean_medical,1.0,0.0
Duration_of_first_fixation_mean_medical_original,1.0,0.0
Duration_of_first_fixation_max_clinical_original,1.02,0.14142135623730934
Duration_of_first_fixation_max_clinical_simple,1.04,0.1979486637221575
Average_pupil_diameter_mean_clinical_simple,1.04,0.2828427124746187
Average_pupil_diameter_mean_medical_original,1.04,0.28284271247461873
total_lemma_count_text_max_medical,1.04,0.2828427124746189
total_lemma_count_screen_max_medical,1.08,0.39589732744431494
Average_pupil_diameter_mean_medical_simple,1.08,0.39589732744431505
Average_pupil_diameter_std_clinical_original,1.12,0.4797958749641906
Average_pupil_diameter_std_clinical_simple,1.12,0.4797958749641906
Average_pupil_diameter_std_medical_original,1.14,0.5717856027482718
Average_pupil_diameter_std_medical_simple,1.18,0.719693812446285
word_frequency_screen_min_medical,1.28,0.7010196655077308
Average_pupil_diameter_min_clinical_original,1.3,0.8390957231764814
total_lemma_count_text_mean_medical,1.48,1.787028088127073
Duration_of_first_fixation_mean_clinical_simple,1.6,0.4948716593053936
Average_pupil_diameter_min_clinical_simple,1.86,1.0881551510024026
total_word_count_text_max_medical,2.04,1.009344099008897
Duration_of_first_fixation_mean_clinical_original,2.48,0.7068181072487415
total_lemma_count_text_std_medical,2.52,1.0544366906997682
word_frequency_screen_std_medical,2.64,0.7761758689832071
word_frequency_screen_mean_medical,2.76,0.6565214453186321
Average_pupil_diameter_min_medical_simple,2.96,0.6047431568147634
total_word_count_text_min_medical,3.02,0.14142135623730942
Average_pupil_diameter_min_medical_original,3.06,0.2398979374820953
Average_pupil_diameter_max_clinical_original,3.1,0.6776309271789387
Time_to_first_fixation_max_medical_simple,3.42,0.8592830423898608
Average_pupil_diameter_max_clinical_simple,3.46,0.6131218209678555
total_word_count_text_std_medical,3.58,0.4985693819032897
Average_pupil_diameter_max_medical_simple,3.88,0.7730142433410669
total_word_count_text_mean_medical,3.92,0.2740475156178698
total_lemma_count_text_min_medical,3.94,1.1322724125962491
total_word_count_screen_max_medical,3.98,0.1414213562373094
Total_duration_of_whole_fixations_mean_clinical_simple,4.0,0.989743318610787
Average_pupil_diameter_max_medical_original,4.04,0.28284271247461884
total_word_count_screen_min_medical,4.06,0.42426406871192845
Total_duration_of_whole_fixations_mean_clinical_original,4.14,0.4045657788144653
Time_to_first_fixation_max_medical_original,4.36,1.0451052090383932
Average_duration_of_whole_fixations_mean_medical_original,4.6,1.4427864197660114
Total_duration_of_whole_fixations_max_medical_original,4.9,0.9741558354989898
Total_duration_of_whole_fixations_max_clinical_original,4.94,0.3136356914300021
Total_duration_of_whole_fixations_std_medical_simple,4.94,0.23989793748209526
Total_duration_of_whole_fixations_max_clinical_simple,4.98,0.377424137532083
Total_duration_of_whole_fixations_std_medical_original,4.98,0.5146823867043381
Total_duration_of_whole_fixations_std_clinical_original,4.98,0.14142135623730948
Total_duration_of_whole_fixations_mean_medical_simple,5.0,0.0
Total_duration_of_whole_fixations_mean_medical_original,5.0,0.0
Total_duration_of_whole_fixations_std_clinical_simple,5.04,0.2828427124746187
Time_to_first_fixation_max_clinical_simple,5.3,1.2494896917525644
total_word_count_screen_std_medical,5.72,0.7010196655077306
Average_duration_of_whole_fixations_mean_medical_simple,5.86,0.7561988724494887
Total_duration_of_whole_fixations_max_medical_simple,5.92,0.6951728606055104
Average_duration_of_whole_fixations_std_clinical_simple,5.96,0.7548482750641661
Average_duration_of_whole_fixations_mean_clinical_simple,6.0,0.0
Average_duration_of_whole_fixations_mean_clinical_original,6.0,0.0
Average_duration_of_whole_fixations_std_medical_original,6.16,0.3703280399090204
Average_duration_of_whole_fixations_std_clinical_original,6.2,0.63887656499994
Time_to_first_fixation_max_clinical_original,6.24,1.4646863563401482
Average_duration_of_whole_fixations_std_medical_simple,6.4,0.4948716593053934
total_word_count_screen_mean_medical,6.78,0.41845195759648035
word_count_text_max_medical,6.92,0.2740475156178698
word_count_text_std_medical,6.94,0.23989793748209529
word_count_text_mean_medical,7.0,0.20203050891044214
