,Mean_Rank_or_Score,Std_Rank_or_Score
total_lemma_count_text_max_medical,1.0,0.0
Average_pupil_diameter_mean_medical_original,1.0,0.0
Average_pupil_diameter_mean_clinical_simple,1.0,0.0
Average_pupil_diameter_mean_clinical_original,1.0,0.0
Duration_of_first_fixation_max_medical_simple,1.0,0.0
Duration_of_first_fixation_max_clinical_simple,1.0,0.0
Duration_of_first_fixation_max_clinical_original,1.0,0.0
Duration_of_first_fixation_min_medical_simple,1.0,0.0
Duration_of_first_fixation_min_medical_original,1.0,0.0
Average_pupil_diameter_mean_medical_simple,1.0,0.0
Duration_of_first_fixation_min_clinical_simple,1.0,0.0
Duration_of_first_fixation_std_medical_simple,1.0,0.0
Duration_of_first_fixation_std_medical_original,1.0,0.0
Duration_of_first_fixation_std_clinical_simple,1.0,0.0
Duration_of_first_fixation_std_clinical_original,1.0,0.0
Duration_of_first_fixation_mean_medical_simple,1.0,0.0
Duration_of_first_fixation_mean_medical_original,1.0,0.0
Duration_of_first_fixation_mean_clinical_simple,1.0,0.0
Duration_of_first_fixation_mean_clinical_original,1.0,0.0
Duration_of_first_fixation_min_clinical_original,1.0,0.0
Time_to_first_fixation_max_medical_simple,1.0,0.0
Average_pupil_diameter_std_clinical_original,1.0,0.0
Average_pupil_diameter_std_medical_original,1.0,0.0
Average_duration_of_whole_fixations_mean_medical_original,1.0,0.0
Average_duration_of_whole_fixations_mean_clinical_simple,1.0,0.0
Average_duration_of_whole_fixations_mean_clinical_original,1.0,0.0
Total_duration_of_whole_fixations_max_clinical_simple,1.0,0.0
Total_duration_of_whole_fixations_max_clinical_original,1.0,0.0
Total_duration_of_whole_fixations_std_medical_simple,1.0,0.0
Total_duration_of_whole_fixations_std_clinical_original,1.0,0.0
Total_duration_of_whole_fixations_mean_medical_simple,1.0,0.0
Average_pupil_diameter_std_clinical_simple,1.0,0.0
Total_duration_of_whole_fixations_mean_medical_original,1.0,0.0
Average_pupil_diameter_max_medical_original,1.0,0.0
Average_pupil_diameter_max_clinical_simple,1.0,0.0
