,Mean_Rank_or_Score,Std_Rank_or_Score
word_frequency_screen_max_content,1.0,0.0
total_lemma_count_screen_max_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
total_lemma_count_screen_std_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
word_frequency_text_std_content,1.0,0.0
word_frequency_text_mean_content,1.0,0.0
Average_pupil_diameter_std_medical_simple,1.04,0.2828427124746187
Average_pupil_diameter_std_clinical_original,1.04,0.2828427124746187
Average_pupil_diameter_std_clinical_simple,1.04,0.2828427124746187
total_lemma_count_text_mean_content,1.04,0.2828427124746188
Average_pupil_diameter_std_medical_original,1.06,0.42426406871192907
Average_pupil_diameter_min_clinical_original,1.06,0.42426406871192907
Average_pupil_diameter_min_clinical_simple,1.06,0.42426406871192907
Average_pupil_diameter_min_medical_original,1.06,0.42426406871192907
Average_pupil_diameter_mean_medical_simple,1.08,0.34046786536608553
Average_pupil_diameter_min_medical_simple,1.08,0.5656854249492373
Average_pupil_diameter_max_clinical_original,1.08,0.5656854249492373
Average_pupil_diameter_max_clinical_simple,1.08,0.5656854249492373
Average_pupil_diameter_max_medical_original,1.08,0.5656854249492373
Total_duration_of_whole_fixations_mean_medical_original,1.08,0.5656854249492373
Total_duration_of_whole_fixations_mean_medical_simple,1.1,0.5802884574739976
total_lemma_count_text_std_content,1.1,0.3642156795423416
Average_pupil_diameter_max_medical_simple,1.1,0.5802884574739969
word_frequency_screen_min_content,1.12,0.4797958749641905
Total_duration_of_whole_fixations_std_clinical_original,1.14,0.5349041493385449
Average_pupil_diameter_mean_medical_original,1.16,0.46773444410699755
Total_duration_of_whole_fixations_mean_clinical_simple,1.18,0.6288960200872891
Total_duration_of_whole_fixations_mean_clinical_original,1.22,0.7637180802642096
Total_duration_of_whole_fixations_std_clinical_simple,1.32,0.9987747595970605
total_lemma_count_text_min_content,1.36,0.9424241429983229
total_lemma_count_text_max_content,1.44,1.3874069191061702
Total_duration_of_whole_fixations_max_clinical_original,1.48,0.8861749953869048
Total_duration_of_whole_fixations_max_clinical_simple,1.48,0.9310954706743046
Total_duration_of_whole_fixations_std_medical_simple,1.78,0.7637180802642091
Total_duration_of_whole_fixations_std_medical_original,1.9,0.7626484465736653
Total_duration_of_whole_fixations_max_medical_original,2.0,1.4285714285714286
word_frequency_screen_std_content,2.76,0.6565214453186321
Average_pupil_diameter_mean_clinical_simple,2.84,1.2512850537404676
total_word_count_text_max_content,2.96,0.2828427124746188
word_frequency_screen_mean_content,2.96,0.2828427124746188
total_word_count_text_min_content,2.96,0.2828427124746188
Total_duration_of_whole_fixations_max_medical_simple,3.12,0.6892764618179891
Average_duration_of_whole_fixations_mean_clinical_original,3.2,0.6388765649999399
total_word_count_text_std_content,3.24,0.4314191105869001
Average_duration_of_whole_fixations_mean_clinical_simple,3.26,0.44308749769345207
Average_duration_of_whole_fixations_mean_medical_original,3.3,0.8630747123996129
Average_pupil_diameter_mean_clinical_original,3.58,1.6173800936536036
Average_duration_of_whole_fixations_mean_medical_simple,3.78,1.0358866851590465
total_word_count_text_mean_content,3.9,0.303045763365663
total_word_count_screen_max_content,3.94,0.23989793748209526
Average_duration_of_whole_fixations_std_clinical_original,4.12,0.38544964466377285
Average_duration_of_whole_fixations_std_clinical_simple,4.28,0.49651849134236486
Average_duration_of_whole_fixations_std_medical_original,4.36,0.5252793231671493
Duration_of_first_fixation_max_medical_simple,4.4,1.9272482233188637
Average_duration_of_whole_fixations_std_medical_simple,4.6,0.6388765649999398
Minimum_duration_of_whole_fixations_mean_clinical_simple,4.8,1.142857142857143
Minimum_duration_of_whole_fixations_mean_medical_original,4.98,1.7898808534055437
Average_duration_of_whole_fixations_max_medical_simple,5.0,0.9258200997725514
Average_duration_of_whole_fixations_max_medical_original,5.0,0.45175395145262565
Average_duration_of_whole_fixations_min_clinical_simple,5.02,0.3187987657774485
Average_duration_of_whole_fixations_min_medical_original,5.06,0.3136356914300019
Average_duration_of_whole_fixations_max_clinical_original,5.06,0.4242640687119282
Minimum_duration_of_whole_fixations_mean_clinical_original,5.08,0.7782764841072131
Average_duration_of_whole_fixations_min_medical_simple,5.08,0.34046786536608553
Average_duration_of_whole_fixations_min_clinical_original,5.12,0.7182745765700866
Minimum_duration_of_whole_fixations_mean_medical_simple,5.18,1.1008345628176284
Average_duration_of_whole_fixations_max_clinical_simple,5.2,1.3401187885209807
total_word_count_screen_std_content,5.22,1.282376620154301
total_word_count_screen_min_content,5.28,0.9697464427701225
Duration_of_first_fixation_max_medical_original,5.38,2.174903235004412
Minimum_duration_of_whole_fixations_max_clinical_original,5.76,2.8824592674609346
total_word_count_screen_mean_content,5.82,0.8734169352933017
Minimum_duration_of_whole_fixations_std_clinical_simple,6.06,0.31363569143000164
Minimum_duration_of_whole_fixations_std_clinical_original,6.1,0.5050762722761052
Minimum_duration_of_whole_fixations_std_medical_original,6.14,0.6064281507654612
Duration_of_first_fixation_max_clinical_simple,6.28,2.4331050121192876
Minimum_duration_of_whole_fixations_min_clinical_original,6.28,0.5728553615932407
Minimum_duration_of_whole_fixations_min_clinical_simple,6.42,0.6091144458665095
Minimum_duration_of_whole_fixations_std_medical_simple,6.58,1.310709419998753
Minimum_duration_of_whole_fixations_min_medical_original,6.8,0.8329931278350428
word_count_text_max_content,6.92,0.2740475156178699
word_count_text_mean_content,7.0,0.0
word_count_text_std_content,7.0,0.0
Minimum_duration_of_whole_fixations_min_medical_simple,7.06,0.6824326235712107
Minimum_duration_of_whole_fixations_max_clinical_simple,7.1,0.3642156795423416
Duration_of_first_fixation_max_clinical_original,7.14,2.740549624600504
Minimum_duration_of_whole_fixations_max_medical_simple,7.22,1.4183923063433046
Minimum_duration_of_whole_fixations_max_medical_original,7.26,0.4869731585445519
Maximum_duration_of_whole_fixations_mean_medical_original,7.86,1.0499757042864544
Maximum_duration_of_whole_fixations_mean_clinical_original,7.88,0.5584234367340591
word_count_screen_max_content,7.88,0.328260722659316
word_count_screen_std_content,8.0,0.0
Maximum_duration_of_whole_fixations_mean_clinical_simple,8.02,1.0971205354872153
Maximum_duration_of_whole_fixations_mean_medical_simple,8.08,0.39589732744431505
Maximum_duration_of_whole_fixations_std_clinical_original,8.22,0.4646701704940171
Maximum_duration_of_whole_fixations_std_clinical_simple,8.24,0.5174505793221384
word_count_screen_mean_content,8.28,0.4535573676110728
Duration_of_first_fixation_min_medical_simple,8.86,2.0604140657763375
Maximum_duration_of_whole_fixations_std_medical_simple,8.9,0.5050762722761052
Maximum_duration_of_whole_fixations_std_medical_original,8.94,1.132272412596249
id.line_max_content,8.96,0.1979486637221574
id.line_min_content,8.98,0.14142135623730948
Maximum_duration_of_whole_fixations_min_clinical_original,9.0,0.40406101782088427
Maximum_duration_of_whole_fixations_min_clinical_simple,9.1,0.3642156795423416
Maximum_duration_of_whole_fixations_min_medical_original,9.16,0.42185208743523983
Maximum_duration_of_whole_fixations_min_medical_simple,9.36,1.1738650619528064
Maximum_duration_of_whole_fixations_max_clinical_original,9.42,0.5379477252503635
id.line_std_content,9.7,0.5439837932759932
Maximum_duration_of_whole_fixations_max_clinical_simple,9.86,0.45220547975269776
id.line_mean_content,9.96,0.19794866372215733
Maximum_duration_of_whole_fixations_max_medical_original,9.98,0.3187987657774485
Duration_of_first_fixation_min_medical_original,10.02,1.8237660071894073
right_dependents_max_content,10.06,0.2398979374820952
Maximum_duration_of_whole_fixations_max_medical_simple,10.08,0.4444671196029719
Number_of_whole_fixations_mean_clinical_simple,10.18,0.5225526045191959
Number_of_whole_fixations_mean_clinical_original,10.34,1.4085743262792567
Number_of_whole_fixations_mean_medical_original,10.42,0.6091144458665095
Peak_velocity_of_exit_saccade_mean_content,10.8,10.309496315810694
right_dependents_std_content,10.86,0.3505098327538657
Number_of_whole_fixations_mean_medical_simple,10.9,0.46291004988627554
Number_of_whole_fixations_std_clinical_original,10.96,0.5329930887479322
right_dependents_mean_content,11.0,0.0
Duration_of_first_fixation_min_clinical_simple,11.0,1.927248223318863
Number_of_whole_fixations_std_clinical_simple,11.2,1.1605769149479968
Number_of_whole_fixations_std_medical_simple,11.24,0.6246631745450132
Number_of_whole_fixations_std_medical_original,11.24,0.9806287029560297
Number_of_whole_fixations_max_clinical_original,11.44,0.8609439527611064
left_dependents_max_content,11.84,0.37032803990902047
Number_of_whole_fixations_max_clinical_simple,11.84,1.0173996465579913
left_dependents_std_content,11.96,0.19794866372215733
left_dependents_mean_content,12.0,0.0
Sentence_id_current_max_content,12.0,0.0
Sentence_id_current_std_content,12.0,0.0
tag.id_max_content,12.0,0.0
Duration_of_first_fixation_min_clinical_original,12.0,2.0101781827814698
Sentence_id_current_mean_content,12.0,0.0
tag.id_std_content,12.08,0.27404751561786966
id.phrase.in.brackets_max_content,12.36,0.48487322138506134
id.phrase.in.brackets_std_content,12.54,0.8134080483135291
tag.id_mean_content,12.64,0.48487322138506134
Number_of_whole_fixations_max_medical_original,12.86,1.2455635557564166
Duration_of_first_fixation_std_medical_simple,12.98,2.1236280084721413
Number_of_whole_fixations_max_medical_simple,13.0,0.3499271061118826
Time_to_first_whole_fixation_mean_clinical_original,13.08,0.2740475156178698
id.phrase.in.brackets_mean_content,13.16,0.37032803990902047
Time_to_first_whole_fixation_mean_clinical_simple,13.18,0.43752550946038704
AOI_length_max_content,13.24,0.43141911058689997
Time_to_first_whole_fixation_mean_medical_original,13.28,0.496518491342365
AOI_length_min_content,13.88,0.32826072265931633
Time_to_first_whole_fixation_mean_medical_simple,13.94,1.1141025490482992
Duration_of_first_fixation_std_medical_original,13.96,2.2402623753043054
Time_to_first_whole_fixation_std_medical_original,13.96,0.637597531554897
AOI_length_std_content,14.0,0.0
Time_to_first_whole_fixation_std_clinical_original,14.02,0.2466096643090295
Time_to_first_whole_fixation_std_clinical_simple,14.04,0.19794866372215716
AOI_length_mean_content,14.1,0.4164965639175213
Time_to_first_whole_fixation_std_medical_simple,14.2,0.45175395145262554
Time_to_first_whole_fixation_min_clinical_original,14.5,1.1994896874104761
word_id_text_max_content,14.86,0.35050983275386577
Time_to_first_whole_fixation_min_clinical_simple,14.9,0.4164965639175213
Duration_of_first_fixation_std_clinical_simple,14.94,2.3596090994147363
word_id_text_std_content,14.98,0.14142135623730945
Time_to_first_whole_fixation_min_medical_simple,14.98,0.5886685079439006
word_id_text_mean_content,15.0,0.0
Time_to_first_whole_fixation_min_medical_original,15.0,0.40406101782088427
word_id_screen_max_content,15.02,0.14142135623730942
word_id_screen_std_content,15.3,0.46291004988627565
Time_to_first_whole_fixation_max_clinical_original,15.32,0.471212071499161
Duration_of_first_fixation_std_clinical_original,15.92,2.481276827336594
Time_to_first_whole_fixation_max_medical_original,15.94,0.2398979374820952
word_id_screen_mean_content,15.94,0.2398979374820952
Time_to_first_whole_fixation_max_medical_simple,16.0,0.2857142857142857
Time_to_first_whole_fixation_max_clinical_simple,16.0,1.0690449676496976
Duration_of_first_whole_fixation_mean_clinical_original,16.04,0.19794866372215716
Duration_of_first_whole_fixation_mean_clinical_simple,16.08,0.2740475156178697
Average_whole-fixation_eye_openness_max_content,16.12,0.32826072265931583
