,Mean_Rank_or_Score,Std_Rank_or_Score
Average_pupil_diameter_std_medical_simple,1.0,0.0
Average_pupil_diameter_min_clinical_simple,1.0,0.0
Average_pupil_diameter_min_medical_original,1.0,0.0
Average_pupil_diameter_min_medical_simple,1.0,0.0
Average_pupil_diameter_max_clinical_original,1.0,0.0
Average_pupil_diameter_max_clinical_simple,1.0,0.0
Average_pupil_diameter_max_medical_original,1.0,0.0
Average_pupil_diameter_max_medical_simple,1.0,0.0
Total_duration_of_whole_fixations_mean_clinical_simple,1.0,0.0
Total_duration_of_whole_fixations_mean_medical_original,1.0,0.0
Total_duration_of_whole_fixations_mean_medical_simple,1.0,0.0
Total_duration_of_whole_fixations_std_clinical_original,1.0,0.0
Total_duration_of_whole_fixations_std_medical_original,1.0,0.0
Total_duration_of_whole_fixations_std_medical_simple,1.0,0.0
Total_duration_of_whole_fixations_max_clinical_original,1.0,0.0
Total_duration_of_whole_fixations_max_clinical_simple,1.0,0.0
Total_duration_of_whole_fixations_max_medical_simple,1.0,0.0
Average_duration_of_whole_fixations_mean_clinical_original,1.0,0.0
Average_duration_of_whole_fixations_mean_clinical_simple,1.0,0.0
Average_duration_of_whole_fixations_mean_medical_original,1.0,0.0
Average_duration_of_whole_fixations_std_clinical_original,1.0,0.0
Average_duration_of_whole_fixations_std_clinical_simple,1.0,0.0
Average_duration_of_whole_fixations_std_medical_original,1.0,0.0
Average_pupil_diameter_std_medical_original,1.0,0.0
Average_pupil_diameter_min_clinical_original,1.0,0.0
Average_pupil_diameter_mean_clinical_original,1.0,0.0
total_lemma_count_text_min_content,1.0,0.0
Average_pupil_diameter_mean_medical_original,1.0,0.0
total_lemma_count_text_std_content,1.0,0.0
total_lemma_count_text_mean_content,1.0,0.0
total_lemma_count_screen_max_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
total_lemma_count_screen_std_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
Average_pupil_diameter_mean_clinical_simple,1.0,0.0
word_frequency_text_mean_content,1.0,0.0
