,Mean_Rank_or_Score,Std_Rank_or_Score
Selective_regression-path_duration_max_content,18.95954108621616,1.4537213824669124
Selective_regression-path_duration_std_content,18.133884877647294,1.5565626456796406
Average_duration_of_Visit_max_content,16.770097099267986,1.0685468565680143
Minimum_duration_of_Visit_max_content,16.636969686601148,1.0640012969336987
Selective_regression-path_duration_mean_content,13.92828501487925,1.4286735411532048
Maximum_duration_of_Visit_max_content,13.820525795252692,0.9632400235191778
Duration_of_first_Visit_max_content,12.289564525511567,0.9231083193185441
Average_duration_of_Visit_std_content,11.66931646093365,0.8786661415878161
Minimum_duration_of_Visit_std_content,11.444821897982123,0.8747128517424009
Maximum_duration_of_Visit_std_content,9.743062381381984,0.860915437249602
Minimum_duration_of_Visit_mean_content,8.953173093143086,0.7289322311396625
Average_duration_of_Visit_mean_content,8.820101607286352,0.7172958430272773
Duration_of_first_Visit_std_content,8.74665081805711,0.765802300962261
Average_whole-fixation_eye_openness_mean_content,8.620460802276217,1.4065368779728407
Average_whole-fixation_eye_openness_std_content,8.463588882068164,1.5644082635119465
First-pass_duration_max_content,8.113123964863679,0.6639002885146728
Duration_of_first_Visit_mean_content,7.992759406297857,0.694335131887322
Maximum_duration_of_Visit_mean_content,7.972462056064029,0.7056802632824433
Average_whole-fixation_eye_openness_max_content,6.564138994101647,1.0729705388092987
Time_to_first_Visit_std_content,5.966790178237877,0.7196695223092282
Time_to_first_Visit_mean_content,5.668671987057868,0.6771424400693061
Time_to_first_Visit_max_content,5.664382720830185,0.680620684009201
Total_duration_of_Visit_max_content,5.558024598722494,0.8064913694432283
First-pass_duration_std_content,5.450729537201121,0.5351572129103185
Number_of_Visits_max_content,5.374788988514166,0.9031738038680008
Total_duration_of_Visit_mean_content,5.131820909155078,0.6537732392613198
Total_duration_of_Visit_std_content,4.942176306451678,0.75906673433359
First-pass_first_fixation_duration_max_content,4.385186237920673,0.48513995727347864
Maximum_duration_of_whole_fixations_std_content,4.100436159647776,0.4632029749837812
Maximum_duration_of_fixations_std_content,3.999701096407891,0.45779716510838325
First-pass_duration_mean_content,3.823944680568006,0.5894443136243955
Number_of_Visits_mean_content,3.5089512896027935,0.6607552962194669
First-pass_first_fixation_duration_mean_content,3.4395413538939743,0.5501771738899798
First-pass_regression_mean_content,3.419278641996186,0.5896776525508786
Minimum_duration_of_fixations_min_content,3.2740500272760777,0.5926829289546546
First-pass_first_fixation_duration_std_content,3.078600687179527,0.4213481186792779
First-pass_regression_std_content,2.9662368941858235,0.5288700044176314
Time_to_entry_saccade_min_content,2.9129812623357396,0.4877965777028519
Duration_of_first_whole_fixation_mean_content,2.886835757972074,0.4363899552928541
Duration_of_first_fixation_mean_content,2.8176613828222368,0.4255827679436281
Average_duration_of_whole_fixations_mean_content,2.753530725142086,0.41453306753270375
Maximum_duration_of_fixations_max_content,2.7219093472057976,0.4692024637313977
Total_duration_of_whole_fixations_max_content,2.717293575104853,0.5251761760531958
Maximum_duration_of_whole_fixations_max_content,2.711076675324152,0.46812014507160926
Maximum_duration_of_whole_fixations_mean_content,2.7093952650332382,0.3867923377633078
Total_duration_of_fixations_max_content,2.679842687180582,0.5170836852840137
Average_duration_of_fixations_mean_content,2.6317620700446387,0.4023556316169621
Maximum_duration_of_fixations_mean_content,2.60890846455846,0.37483316947244455
Duration_of_first_whole_fixation_std_content,2.5615172071702705,0.389535201695423
Time_to_exit_saccade_min_content,2.475747752101585,0.4919971295609691
Duration_of_first_fixation_std_content,2.1738686389508355,0.36052393038793806
Average_duration_of_fixations_max_content,2.0282872684029885,0.3564839001242649
Average_pupil_diameter_max_content,2.014967080874951,0.4278619981057928
Average_whole-fixation_pupil_diameter_mean_content,1.985456652669485,0.4608214605478969
Average_pupil_diameter_mean_content,1.9789254380803158,0.46004706458454864
Average_pupil_diameter_min_content,1.8900452368001297,0.49884885697478365
Number_of_Visits_std_content,1.8034852960620384,0.5028188540045625
Time_to_first_fixation_min_content,1.7716686674669864,0.2680602263662654
Time_to_first_Visit_min_content,1.7716686674669864,0.2680602263662654
Time_to_first_fixation_max_content,1.7388160352144175,0.3469737240526248
Average_duration_of_whole_fixations_std_content,1.7318389578190878,0.3343859419237551
Average_whole-fixation_pupil_diameter_min_content,1.7266816473204787,0.47291474002434086
Minimum_duration_of_fixations_max_content,1.7155851209743076,0.3303632136085566
Minimum_duration_of_whole_fixations_mean_content,1.6730549360839004,0.3643950640894309
Average_duration_of_whole_fixations_max_content,1.6400566287354474,0.317301887414834
Average_duration_of_fixations_std_content,1.616637912621482,0.3257802215497536
Average_whole-fixation_pupil_diameter_max_content,1.6163472675556512,0.37674531351977686
word_frequency_screen_min_content,1.5809531309328078,0.3592685933882015
Minimum_duration_of_fixations_mean_content,1.5697536491494883,0.3521092012072876
Number_of_saccades_in_AOI_std_content,1.5646564701228107,0.34845163606024027
Peak_velocity_of_exit_saccade_min_content,1.5520302931714218,0.2855543625042846
total_word_count_screen_max_content,1.5283905115733676,0.3562416504107029
Time_to_first_fixation_std_content,1.520344335018604,0.35066073914217677
Total_duration_of_whole_fixations_std_content,1.490719987957949,0.39567676526348433
Total_duration_of_fixations_std_content,1.4581309888961074,0.3942509410233494
word_id_screen_max_content,1.4524798536806396,0.3413641766592584
Time_to_first_whole_fixation_max_content,1.4203810737981115,0.31063005695460993
Total_duration_of_whole_fixations_mean_content,1.4185052311101407,0.31839911525677905
Time_to_first_whole_fixation_std_content,1.408505839975318,0.3368683027680464
Total_duration_of_fixations_mean_content,1.407817591182677,0.3167870520833312
Time_to_first_fixation_mean_content,1.3673659680909385,0.3170334414167737
Maximum_duration_of_fixations_min_content,1.3666031328557608,0.22867155675593623
Time_to_first_whole_fixation_mean_content,1.361175382818186,0.31738562142608
Number_of_saccades_in_AOI_mean_content,1.3555091979784473,0.2622683945751705
Minimum_duration_of_whole_fixations_max_content,1.3532954063507827,0.29056860389880473
Time_to_exit_saccade_std_content,1.3135328773744064,0.32705360475849826
Time_to_entry_saccade_std_content,1.2273338037872883,0.31915098172777395
Average_duration_of_fixations_min_content,1.2210330900357924,0.21681586487423768
Peak_velocity_of_entry_saccade_min_content,1.192707862199541,0.4386830932425801
Minimum_duration_of_Visit_min_content,1.1396571260859127,0.333833694769298
Number_of_saccades_in_AOI_max_content,1.1395078037936406,0.3479366158529081
Time_to_exit_saccade_mean_content,1.12001201424999,0.28174938042669173
Minimum_duration_of_whole_fixations_std_content,1.1034426809105105,0.2748624289623311
Time_to_entry_saccade_mean_content,1.099154487032488,0.2814006445027411
total_lemma_count_screen_max_content,1.09766323311532,0.31835847396607914
Minimum_duration_of_fixations_std_content,1.086779319490961,0.2730724952804067
total_lemma_count_text_min_content,1.065389537848261,0.2643566583414325
Average_duration_of_Visit_min_content,0.9989929276933731,0.2961195233970376
Regression-path_duration_mean_content,0.941906177253078,0.26257336426175015
Maximum_duration_of_Visit_min_content,0.9039019772030842,0.27967561484208114
Time_to_entry_saccade_max_content,0.8776842092646276,0.27605430021913385
Minimum_duration_of_whole_fixations_min_content,0.869508422998158,0.25923161208503764
AOI_length_min_content,0.8130408754827306,0.27751044747718817
word_count_screen_max_content,0.8130408754827291,0.27751044747718817
total_word_count_text_min_content,0.763018212275383,0.226811376421017
Duration_of_first_whole_fixation_max_content,0.7159845690123082,0.31754833289636714
Time_to_exit_saccade_max_content,0.7141494031727675,0.23314919579759066
total_word_count_screen_min_content,0.6107260045504839,0.2338047019876923
Duration_of_first_fixation_min_content,0.48619247432943097,0.2181648470144032
Number_of_fixations_mean_content,0.41222739842974204,0.188289526862894
AOI_length_std_content,0.40758654145915196,0.12195984133978825
Number_of_whole_fixations_mean_content,0.40520840573072886,0.1839533831869092
total_lemma_count_screen_min_content,0.38650186535378916,0.17797239265181786
AOI_length_max_content,0.3778971050453408,0.19082466320542232
Duration_of_first_fixation_max_content,0.3431107775137985,0.2325935473513366
total_lemma_count_text_std_content,0.3061536669204512,0.15903862969438037
right_dependents_max_content,0.2903180862543657,0.13140589650578607
total_word_count_text_std_content,0.2629711499770857,0.14566621689375361
total_word_count_screen_std_content,0.23212915480879398,0.19671011838275232
id.line_mean_content,0.2292061944256269,0.1348780899271689
left_dependents_max_content,0.2233446562235145,0.1450109393438704
Number_of_whole_fixations_max_content,0.22047200495205796,0.1809506795198655
id.line_min_content,0.20326167557904085,0.13301433686266423
word_id_screen_std_content,0.202712592565922,0.16338593958077327
tag.id_mean_content,0.1982341173690629,0.13851375072289884
Number_of_fixations_max_content,0.18081368793393576,0.1620494020645153
Average_pupil_diameter_std_content,0.17823491102514594,0.11622350053934348
Time_to_first_whole_fixation_min_content,0.17757966712134035,0.12564269865347233
left_dependents_std_content,0.1746627502763526,0.13670825699508865
total_lemma_count_text_max_content,0.17311212722059022,0.11741952419408482
tag.id_std_content,0.16950329378265028,0.12284351832449439
word_frequency_text_min_content,0.16506939035000326,0.11445773393332091
total_word_count_text_max_content,0.1628735878308202,0.11359961841246888
Average_whole-fixation_pupil_diameter_std_content,0.16085752660753663,0.11021133030105117
tag.id_max_content,0.16025582783961134,0.056767758223753746
Number_of_whole_fixations_std_content,0.15051210347997634,0.14488155092463004
word_count_screen_std_content,0.14792558999128505,0.10699222559966488
Number_of_fixations_std_content,0.1449836527169384,0.1444888012491659
total_lemma_count_screen_std_content,0.14035023482774475,0.1954807335151172
Peak_velocity_of_exit_saccade_std_content,0.13209464945897242,0.09569937886536864
Regression-path_duration_std_content,0.1307097231146488,0.13187601895200823
right_dependents_std_content,0.12532043935388734,0.11220576148964877
word_count_text_mean_content,0.11557739473383333,0.07977751123242625
