,Mean_Rank_or_Score,Std_Rank_or_Score
Number_of_fixations_max_content,1.0,0.0
Duration_of_first_fixation_std_content,1.0,0.0
Duration_of_first_fixation_mean_content,1.0,0.0
Time_to_first_fixation_max_content,1.0,0.0
Time_to_first_fixation_min_content,1.0,0.0
Time_to_first_fixation_std_content,1.0,0.0
Time_to_first_fixation_mean_content,1.0,0.0
Number_of_fixations_std_content,1.0,0.0
Number_of_fixations_mean_content,1.0,0.0
Average_pupil_diameter_min_content,1.0,0.0
Total_duration_of_whole_fixations_mean_content,1.0,0.0
Duration_of_first_fixation_min_content,1.0,0.0
Total_duration_of_whole_fixations_std_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
Average_pupil_diameter_mean_content,1.0,0.0
word_frequency_text_mean_content,1.0,0.0
word_frequency_text_std_content,1.0,0.0
total_lemma_count_screen_std_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
Average_pupil_diameter_std_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
Total_duration_of_whole_fixations_max_content,1.0,0.0
Duration_of_first_fixation_max_content,1.0,0.0
Average_duration_of_whole_fixations_mean_content,1.04,0.2828427124746188
word_frequency_screen_max_content,1.08,0.39589732744431494
Maximum_duration_of_fixations_max_content,1.12,0.328260722659316
total_lemma_count_screen_max_content,1.12,0.47979587496419057
word_frequency_screen_min_content,1.12,0.4797958749641906
Average_pupil_diameter_max_content,1.12,0.32826072265931605
Average_duration_of_whole_fixations_std_content,1.16,0.5095015571464864
Average_duration_of_whole_fixations_max_content,1.2,0.6060915267313264
Average_duration_of_whole_fixations_min_content,1.2,0.606091526731326
total_lemma_count_text_max_content,1.2,0.5345224838248485
Minimum_duration_of_whole_fixations_mean_content,1.28,0.7010196655077309
Minimum_duration_of_whole_fixations_max_content,1.88,1.171776951680564
Maximum_duration_of_fixations_min_content,2.12,0.5938459911664721
Minimum_duration_of_whole_fixations_std_content,2.52,0.8628382211738005
total_lemma_count_text_mean_content,2.52,0.8628382211738004
total_word_count_text_max_content,2.64,0.7761758689832072
word_frequency_screen_std_content,2.64,0.7761758689832071
word_frequency_screen_mean_content,2.88,0.47979587496419057
total_word_count_text_min_content,2.96,0.2828427124746188
Maximum_duration_of_fixations_std_content,3.0,0.8571428571428572
Minimum_duration_of_whole_fixations_min_content,3.12,0.32826072265931605
Maximum_duration_of_whole_fixations_mean_content,3.14,0.3505098327538654
total_word_count_text_std_content,3.28,0.45355736761107285
total_lemma_count_text_std_content,3.56,0.8609439527611061
Maximum_duration_of_whole_fixations_std_content,3.68,0.6833291853200798
Time_to_exit_saccade_min_content,3.78,4.505280348702859
Maximum_duration_of_fixations_mean_content,3.88,1.1542291358128083
total_word_count_text_mean_content,3.98,0.14142135623730942
Maximum_duration_of_whole_fixations_min_content,3.98,0.14142135623730945
Maximum_duration_of_whole_fixations_max_content,4.0,0.5345224838248488
total_word_count_screen_max_content,4.0,0.0
Number_of_whole_fixations_mean_content,4.08,0.3958973274443149
total_word_count_screen_std_content,4.22,1.1480240344493968
Time_to_first_whole_fixation_min_content,4.52,1.3130428906372642
Duration_of_first_whole_fixation_min_content,4.54,0.8621283582636924
Peak_velocity_of_entry_saccade_min_content,4.58,5.525783719463303
Duration_of_first_whole_fixation_std_content,4.66,1.0993504575754853
Selective_regression-path_duration_max_content,4.72,6.344015338273146
total_lemma_count_text_min_content,4.74,0.8762163557254656
Minimum_duration_of_fixations_max_content,4.76,1.4646863563401473
Number_of_whole_fixations_std_content,4.76,0.43141911058690013
Peak_velocity_of_exit_saccade_min_content,4.86,5.7285892411550625
Duration_of_first_whole_fixation_mean_content,4.96,0.19794866372215747
Time_to_first_whole_fixation_max_content,5.0,0.0
