,Mean_Rank_or_Score,Std_Rank_or_Score
total_lemma_count_text_max_content,1.0,0.0
Duration_of_first_whole_fixation_std_content,1.0,0.0
Duration_of_first_whole_fixation_mean_content,1.0,0.0
Time_to_first_whole_fixation_max_content,1.0,0.0
Time_to_first_whole_fixation_min_content,1.0,0.0
Time_to_first_whole_fixation_mean_content,1.0,0.0
Number_of_whole_fixations_max_content,1.0,0.0
Duration_of_first_whole_fixation_max_content,1.0,0.0
Number_of_whole_fixations_std_content,1.0,0.0
Maximum_duration_of_whole_fixations_max_content,1.0,0.0
Maximum_duration_of_whole_fixations_min_content,1.0,0.0
Maximum_duration_of_whole_fixations_std_content,1.0,0.0
Maximum_duration_of_whole_fixations_mean_content,1.0,0.0
Minimum_duration_of_whole_fixations_max_content,1.0,0.0
Minimum_duration_of_whole_fixations_min_content,1.0,0.0
Number_of_whole_fixations_mean_content,1.0,0.0
Average_whole-fixation_pupil_diameter_mean_content,1.0,0.0
Average_whole-fixation_pupil_diameter_std_content,1.0,0.0
Average_whole-fixation_pupil_diameter_min_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
word_frequency_text_std_content,1.0,0.0
word_frequency_text_mean_content,1.0,0.0
word_frequency_screen_max_content,1.0,0.0
word_frequency_screen_min_content,1.0,0.0
word_frequency_screen_std_content,1.0,0.0
word_frequency_screen_mean_content,1.0,0.0
total_word_count_text_max_content,1.0,0.0
total_word_count_text_min_content,1.0,0.0
total_word_count_text_std_content,1.0,0.0
total_word_count_text_mean_content,1.0,0.0
total_word_count_screen_max_content,1.0,0.0
Total_duration_of_Visit_mean_content,1.0,0.0
Average_whole-fixation_pupil_diameter_max_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
Minimum_duration_of_whole_fixations_mean_content,1.0,0.0
Minimum_duration_of_whole_fixations_std_content,1.0,0.0
Average_duration_of_whole_fixations_min_content,1.0,0.0
Number_of_fixations_max_content,1.0,0.0
Number_of_fixations_std_content,1.0,0.0
Number_of_fixations_mean_content,1.0,0.0
Maximum_duration_of_fixations_max_content,1.0,0.0
Maximum_duration_of_fixations_min_content,1.0,0.0
Maximum_duration_of_fixations_std_content,1.0,0.0
Average_duration_of_whole_fixations_max_content,1.0,0.0
Maximum_duration_of_fixations_mean_content,1.0,0.0
total_word_count_screen_std_content,1.0,0.0
total_lemma_count_screen_std_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
total_lemma_count_screen_max_content,1.0,0.0
total_lemma_count_text_mean_content,1.0,0.0
total_lemma_count_text_std_content,1.0,0.0
total_word_count_screen_min_content,1.0,0.0
Time_to_first_fixation_std_content,1.0,0.0
Time_to_first_fixation_mean_content,1.0,0.0
Time_to_first_fixation_min_content,1.0,0.0
Average_duration_of_whole_fixations_std_content,1.0,0.0
Average_duration_of_whole_fixations_mean_content,1.0,0.0
Total_duration_of_whole_fixations_max_content,1.0,0.0
Total_duration_of_whole_fixations_std_content,1.0,0.0
Total_duration_of_whole_fixations_mean_content,1.0,0.0
Average_pupil_diameter_max_content,1.0,0.0
Average_pupil_diameter_min_content,1.0,0.0
total_lemma_count_text_min_content,1.0,0.0
Average_pupil_diameter_mean_content,1.0,0.0
Duration_of_first_fixation_max_content,1.0,0.0
Duration_of_first_fixation_min_content,1.0,0.0
Duration_of_first_fixation_std_content,1.0,0.0
Duration_of_first_fixation_mean_content,1.0,0.0
Time_to_first_fixation_max_content,1.0,0.0
Average_pupil_diameter_std_content,1.0,0.0
Time_to_first_whole_fixation_std_content,1.12,0.32826072265931605
Duration_of_first_whole_fixation_min_content,1.16,0.5480950312357395
Minimum_duration_of_fixations_max_content,1.24,0.43141911058690025
Average_duration_of_Visit_std_content,1.32,0.7406560798180409
total_word_count_screen_mean_content,1.36,0.776175868983207
Minimum_duration_of_fixations_min_content,2.12,0.5938459911664721
Total_duration_of_Visit_std_content,2.2,0.9897433186107872
Total_duration_of_Visit_max_content,2.24,0.980628702956029
Average_duration_of_Visit_mean_content,2.36,0.9424241429983221
Time_to_exit_saccade_min_content,2.66,2.6924687101435447
Average_duration_of_Visit_min_content,2.68,0.740656079818041
word_count_text_max_content,2.88,0.4797958749641905
word_count_text_std_content,3.0,0.0
Minimum_duration_of_Visit_mean_content,3.02,0.14142135623730942
Minimum_duration_of_Visit_std_content,3.02,0.14142135623730945
word_count_text_mean_content,3.02,0.14142135623730945
Minimum_duration_of_fixations_std_content,3.32,0.47121207149916117
Peak_velocity_of_entry_saccade_min_content,3.38,3.6750121476961524
Peak_velocity_of_exit_saccade_min_content,3.58,3.865546401169158
Minimum_duration_of_Visit_max_content,3.58,0.9278018789216868
Minimum_duration_of_Visit_min_content,3.66,0.47851812069840666
Selective_regression-path_duration_max_content,3.68,4.573392435309587
Maximum_duration_of_Visit_max_content,3.7,0.8630747123996126
word_count_screen_max_content,3.88,0.3282607226593161
Maximum_duration_of_Visit_std_content,3.96,0.1979486637221575
word_count_screen_std_content,3.98,0.14142135623730948
Maximum_duration_of_Visit_mean_content,3.98,0.14142135623730942
Number_of_Visits_mean_content,4.0,0.4948716593053935
Maximum_duration_of_Visit_min_content,4.0,0.0
Minimum_duration_of_fixations_mean_content,4.32,0.47121207149916094
Number_of_Visits_std_content,4.7,0.4629100498862757
word_count_screen_mean_content,4.7,0.4629100498862757
Number_of_Visits_max_content,4.82,0.38808793449160367
Average_duration_of_Visit_max_content,4.86,1.6661087501561647
Time_to_first_Visit_mean_content,4.9,0.7354021529276433
id.line_max_content,4.98,0.14142135623730948
id.line_min_content,5.0,0.0
Time_to_first_Visit_max_content,5.0,0.0
Time_to_first_Visit_min_content,5.0,0.0
Time_to_first_Visit_std_content,5.0,0.0
Average_duration_of_fixations_max_content,5.32,0.47121207149916094
Duration_of_first_Visit_mean_content,5.68,0.47121207149916094
id.line_std_content,5.72,1.0109603435973795
Duration_of_first_Visit_min_content,5.74,0.7774894185250155
Duration_of_first_Visit_std_content,5.76,0.47638091430094504
id.line_mean_content,5.94,0.23989793748209534
Duration_of_first_Visit_max_content,5.96,0.19794866372215747
Number_of_saccades_in_AOI_mean_content,5.98,0.14142135623730948
Number_of_saccades_in_AOI_max_content,6.0,0.0
Number_of_saccades_in_AOI_std_content,6.0,0.20203050891044214
Time_to_entry_saccade_mean_content,6.68,0.47121207149916094
right_dependents_max_content,6.72,0.45355736761107274
Time_to_entry_saccade_std_content,6.78,0.4184519575964802
Time_to_entry_saccade_min_content,6.88,0.8485281374238575
right_dependents_std_content,6.88,0.3282607226593161
Average_duration_of_fixations_min_content,6.98,0.14142135623730948
Time_to_exit_saccade_mean_content,7.0,0.0
Time_to_entry_saccade_max_content,7.0,0.0
Time_to_exit_saccade_std_content,7.0,0.0
right_dependents_mean_content,7.0,0.0
Time_to_exit_saccade_max_content,7.82,0.5602477586036448
left_dependents_max_content,7.86,0.35050983275386544
left_dependents_std_content,7.96,0.1979486637221575
Average_duration_of_fixations_std_content,7.98,0.14142135623730948
left_dependents_mean_content,8.0,0.0
Sentence_id_current_std_content,8.0,0.0
Sentence_id_current_mean_content,8.0,0.0
Sentence_id_current_max_content,8.0,0.0
tag.id_max_content,8.0,0.0
tag.id_mean_content,8.12,0.32826072265931616
tag.id_std_content,8.7,0.46291004988627565
Peak_velocity_of_entry_saccade_mean_content,8.72,0.6712765785411842
id.phrase.in.brackets_max_content,8.86,0.35050983275386577
Peak_velocity_of_entry_saccade_std_content,8.9,0.5050762722761053
Peak_velocity_of_entry_saccade_max_content,8.98,0.14142135623730945
Average_duration_of_fixations_mean_content,8.98,0.14142135623730948
Peak_velocity_of_exit_saccade_mean_content,9.0,0.0
Peak_velocity_of_exit_saccade_std_content,9.06,0.2398979374820952
Peak_velocity_of_exit_saccade_max_content,9.3,0.5050762722761052
First-pass_duration_mean_content,9.42,0.672794962246664
id.phrase.in.brackets_std_content,9.44,0.8369039151929607
id.phrase.in.brackets_mean_content,9.72,0.5728553615932407
AOI_length_max_content,9.82,0.38808793449160367
AOI_length_min_content,9.88,0.3282607226593161
First-pass_first_fixation_duration_mean_content,9.96,0.1979486637221573
First-pass_first_fixation_duration_max_content,10.0,0.0
First-pass_first_fixation_duration_std_content,10.0,0.0
Total_duration_of_fixations_max_content,10.0,0.0
AOI_length_std_content,10.0,0.0
AOI_length_mean_content,10.08,0.2740475156178698
Selective_regression-path_duration_mean_content,10.8,1.4142135623730963
word_id_text_max_content,10.86,0.3505098327538659
First-pass_duration_std_content,10.9,0.3030457633656632
First-pass_duration_max_content,10.96,0.1979486637221573
Total_duration_of_fixations_std_content,11.0,0.0
word_id_text_std_content,11.0,0.0
word_id_text_mean_content,11.0,0.0
word_id_screen_max_content,11.0,0.0
Selective_regression-path_duration_std_content,11.04,0.19794866372215722
First-pass_regression_mean_content,11.04,1.5113178463357928
Average_whole-fixation_eye_openness_std_content,11.34,2.638877312303047
Regression-path_duration_mean_content,11.56,2.177435300943732
Average_whole-fixation_eye_openness_mean_content,11.78,1.5556349186104046
word_id_screen_std_content,11.8,0.4040610178208845
word_id_screen_mean_content,11.96,0.19794866372215722
Regression-path_duration_std_content,12.0,0.0
Regression-path_duration_max_content,12.0,0.0
Average_whole-fixation_eye_openness_max_content,12.0,0.0
First-pass_regression_std_content,12.0,0.0
Total_duration_of_fixations_mean_content,12.0,0.0
