,Mean_Rank_or_Score,Std_Rank_or_Score
Number_of_fixations_std_medical,1.0,0.0
Average_pupil_diameter_std_medical,1.0,0.0
Average_pupil_diameter_mean_medical,1.0,0.0
Duration_of_first_fixation_max_medical,1.0,0.0
Duration_of_first_fixation_min_medical,1.0,0.0
Duration_of_first_fixation_std_medical,1.0,0.0
Duration_of_first_fixation_mean_medical,1.0,0.0
Time_to_first_fixation_max_medical,1.0,0.0
Time_to_first_fixation_min_medical,1.0,0.0
Time_to_first_fixation_std_medical,1.0,0.0
Time_to_first_fixation_mean_medical,1.0,0.0
Number_of_fixations_max_medical,1.0,0.0
Number_of_fixations_mean_medical,1.0,0.0
Average_duration_of_whole_fixations_mean_medical,1.0,0.0
Total_duration_of_whole_fixations_max_medical,1.0,0.0
word_frequency_screen_max_medical,1.0,0.0
word_frequency_text_mean_medical,1.0,0.0
word_frequency_text_std_medical,1.0,0.0
word_frequency_text_min_medical,1.0,0.0
word_frequency_text_max_medical,1.0,0.0
Total_duration_of_whole_fixations_std_medical,1.02,0.14142135623730945
Average_pupil_diameter_min_medical,1.02,0.1414213562373094
total_lemma_count_screen_mean_medical,1.04,0.282842712474619
Total_duration_of_whole_fixations_mean_medical,1.04,0.1979486637221575
total_lemma_count_screen_max_medical,1.06,0.3136356914300018
total_lemma_count_screen_std_medical,1.08,0.395897327444315
total_lemma_count_screen_min_medical,1.08,0.395897327444315
Average_pupil_diameter_max_medical,1.08,0.2740475156178698
Average_duration_of_whole_fixations_std_medical,1.1,0.3642156795423416
Average_duration_of_whole_fixations_max_medical,1.16,0.5480950312357395
Minimum_duration_of_whole_fixations_mean_medical,1.16,0.5480950312357395
Average_duration_of_whole_fixations_min_medical,1.3,0.6144518047887589
Minimum_duration_of_whole_fixations_std_medical,1.32,0.7406560798180409
total_lemma_count_text_max_medical,1.34,1.2224097980160806
Minimum_duration_of_whole_fixations_min_medical,1.36,0.9205144967764013
word_frequency_screen_min_medical,1.4,0.8081220356417687
total_lemma_count_text_mean_medical,1.72,0.5360475154083919
Maximum_duration_of_fixations_max_medical,1.82,0.38808793449160356
total_lemma_count_text_std_medical,2.52,0.9527618286018898
Time_to_exit_saccade_min_medical,2.56,3.6205761183230796
Maximum_duration_of_fixations_min_medical,2.74,0.599659767480439
word_frequency_screen_std_medical,2.76,0.6565214453186321
word_frequency_screen_mean_medical,2.88,0.47979587496419057
total_word_count_text_min_medical,2.92,0.395897327444315
total_word_count_text_max_medical,2.92,0.395897327444315
Selective_regression-path_duration_max_medical,2.96,4.9071376585541175
Maximum_duration_of_whole_fixations_mean_medical,3.0,0.4948716593053935
total_word_count_text_std_medical,3.04,0.5329930887479322
Minimum_duration_of_whole_fixations_max_medical,3.08,0.2740475156178698
Maximum_duration_of_whole_fixations_std_medical,3.16,0.37032803990902047
Peak_velocity_of_entry_saccade_mean_medical,3.48,4.48234632435163
Maximum_duration_of_fixations_std_medical,3.66,0.8478062928547312
total_word_count_text_mean_medical,3.78,0.6480740698407862
Peak_velocity_of_exit_saccade_mean_medical,3.84,5.112449790183062
total_word_count_screen_max_medical,3.98,0.1414213562373095
Maximum_duration_of_whole_fixations_min_medical,4.0,0.0
Number_of_whole_fixations_mean_medical,4.08,0.2740475156178698
Maximum_duration_of_whole_fixations_max_medical,4.08,0.2740475156178698
Number_of_whole_fixations_std_medical,4.16,0.37032803990902047
total_lemma_count_text_min_medical,4.18,1.3951812112571245
Average_whole-fixation_pupil_diameter_mean_medical,4.26,0.6642473107178667
Duration_of_first_whole_fixation_mean_medical,4.3,0.5050762722761053
Time_to_first_whole_fixation_min_medical,4.56,1.2148738071696747
Maximum_duration_of_fixations_mean_medical,4.6,1.1065666703449768
Average_whole-fixation_pupil_diameter_std_medical,4.62,0.9233921492109891
Duration_of_first_whole_fixation_std_medical,4.96,0.2828427124746189
Time_to_first_whole_fixation_max_medical,4.96,0.1979486637221575
Duration_of_first_whole_fixation_max_medical,4.98,0.2466096643090295
Time_to_first_whole_fixation_std_medical,5.0,0.20203050891044214
Time_to_first_whole_fixation_mean_medical,5.0,0.0
Number_of_whole_fixations_max_medical,5.0,0.0
total_word_count_screen_min_medical,5.2,0.9897433186107872
Duration_of_first_whole_fixation_min_medical,5.22,0.6157789160643518
Minimum_duration_of_fixations_max_medical,5.54,1.3733617327490935
total_word_count_screen_std_medical,5.8,0.6060915267313268
Total_duration_of_Visit_max_medical,5.86,0.49528388066742074
Average_whole-fixation_pupil_diameter_min_medical,5.92,0.39589732744431494
Average_duration_of_Visit_mean_medical,5.94,0.3136356914300022
Total_duration_of_Visit_std_medical,5.96,0.2828427124746189
Total_duration_of_Visit_mean_medical,6.0,0.0
Average_whole-fixation_pupil_diameter_max_medical,6.0,0.0
total_word_count_screen_mean_medical,6.2,0.6388765649999403
Minimum_duration_of_fixations_min_medical,6.46,1.6439127043708368
Average_duration_of_Visit_std_medical,6.7,0.4629100498862757
Average_duration_of_Visit_min_medical,6.78,0.4646701704940167
Average_duration_of_Visit_max_medical,6.86,0.606428150765461
Minimum_duration_of_Visit_min_medical,6.92,0.8998866141727783
word_count_text_max_medical,6.92,0.4444671196029727
word_count_text_mean_medical,6.98,0.14142135623730945
Minimum_duration_of_Visit_mean_medical,7.0,0.0
Minimum_duration_of_Visit_std_medical,7.0,0.0
word_count_text_std_medical,7.0,0.0
Maximum_duration_of_Visit_max_medical,7.58,1.6792855623746668
Minimum_duration_of_Visit_max_medical,7.64,1.4813121596360819
Maximum_duration_of_Visit_mean_medical,7.88,0.32826072265931605
word_count_screen_max_medical,7.92,0.2740475156178698
Minimum_duration_of_fixations_std_medical,7.96,0.19794866372215744
Number_of_Visits_mean_medical,7.98,0.14142135623730945
Maximum_duration_of_Visit_std_medical,7.98,0.14142135623730948
word_count_screen_std_medical,7.98,0.14142135623730945
Maximum_duration_of_Visit_min_medical,8.0,0.0
Number_of_Visits_std_medical,8.02,0.14142135623730948
Number_of_Visits_max_medical,8.78,0.41845195759648024
word_count_screen_mean_medical,8.86,0.35050983275386577
Time_to_first_Visit_mean_medical,8.94,0.2398979374820952
Minimum_duration_of_fixations_mean_medical,8.96,0.1979486637221574
id.line_max_medical,8.96,0.1979486637221573
Time_to_first_Visit_std_medical,8.98,0.14142135623730948
Time_to_first_Visit_max_medical,9.0,0.0
Time_to_first_Visit_min_medical,9.0,0.0
id.line_min_medical,9.0,0.0
Duration_of_first_Visit_mean_medical,9.02,0.14142135623730948
Duration_of_first_Visit_min_medical,9.8,0.5345224838248487
Duration_of_first_Visit_std_medical,9.8,0.40406101782088444
id.line_std_medical,9.92,0.2740475156178698
Average_duration_of_fixations_max_medical,9.96,0.1979486637221574
Duration_of_first_Visit_max_medical,9.98,0.14142135623730948
Number_of_saccades_in_AOI_max_medical,10.0,0.0
Number_of_saccades_in_AOI_std_medical,10.0,0.0
id.line_mean_medical,10.0,0.0
Time_to_entry_saccade_mean_medical,10.02,0.14142135623730945
Number_of_saccades_in_AOI_mean_medical,10.1,0.7071067811865476
Time_to_entry_saccade_min_medical,10.66,1.5334368495078536
Time_to_entry_saccade_std_medical,10.76,0.4314191105869
right_dependents_max_medical,10.84,0.37032803990902047
Average_duration_of_fixations_min_medical,10.96,0.1979486637221574
Time_to_entry_saccade_max_medical,10.98,0.14142135623730948
Time_to_exit_saccade_mean_medical,11.0,0.0
Time_to_exit_saccade_std_medical,11.0,0.0
right_dependents_std_medical,11.0,0.0
right_dependents_mean_medical,11.0,0.0
tag.id_std_medical,11.46,0.7342912729083655
Time_to_exit_saccade_max_medical,11.7,0.46291004988627554
left_dependents_max_medical,11.88,0.3282607226593161
Average_duration_of_fixations_std_medical,11.98,0.1414213562373095
Sentence_id_current_std_medical,11.98,0.14142135623730945
left_dependents_std_medical,12.0,0.0
left_dependents_mean_medical,12.0,0.0
Sentence_id_current_min_medical,12.0,0.0
Sentence_id_current_max_medical,12.0,0.0
Sentence_id_current_mean_medical,12.0,0.0
Peak_velocity_of_entry_saccade_std_medical,12.16,0.5095015571464862
First-pass_regression_std_medical,12.46,4.001071285114955
Peak_velocity_of_exit_saccade_min_medical,12.62,2.415004119656773
Peak_velocity_of_entry_saccade_min_medical,12.76,1.6970562748477147
tag.id_max_medical,12.8,0.40406101782088455
tag.id_mean_medical,12.8,0.4040610178208845
id.phrase.in.brackets_max_medical,12.9,0.36421567954234163
Average_duration_of_fixations_mean_medical,12.98,0.1414213562373095
Peak_velocity_of_entry_saccade_max_medical,13.0,0.0
Peak_velocity_of_exit_saccade_std_medical,13.02,0.14142135623730948
First-pass_duration_std_medical,13.44,0.7329003050503237
id.phrase.in.brackets_std_medical,13.8,0.4040610178208845
Peak_velocity_of_exit_saccade_max_medical,13.84,0.42185208743523994
id.phrase.in.brackets_mean_medical,13.86,0.3505098327538657
First-pass_first_fixation_duration_mean_medical,13.9,0.3642156795423417
AOI_length_max_medical,13.94,0.2398979374820952
First-pass_first_fixation_duration_std_medical,13.96,0.1979486637221573
First-pass_first_fixation_duration_max_medical,13.98,0.14142135623730945
Total_duration_of_fixations_max_medical,13.98,0.1414213562373095
AOI_length_std_medical,14.0,0.0
First-pass_duration_mean_medical,14.04,0.19794866372215733
Selective_regression-path_duration_mean_medical,14.4,2.770102775666476
AOI_length_mean_medical,14.84,0.37032803990902047
First-pass_duration_max_medical,14.9,0.30304576336566313
word_id_text_max_medical,14.96,0.1979486637221573
word_id_text_std_medical,14.96,0.2828427124746189
Total_duration_of_fixations_std_medical,14.98,0.1414213562373095
word_id_text_min_medical,15.0,0.0
word_id_text_mean_medical,15.02,0.14142135623730942
Selective_regression-path_duration_std_medical,15.04,0.19794866372215733
word_id_screen_max_medical,15.2,0.40406101782088444
First-pass_regression_mean_medical,15.34,2.218751257544915
Average_whole-fixation_eye_openness_std_medical,15.64,2.1548237297102646
word_id_screen_std_medical,15.9,0.4164965639175213
Average_whole-fixation_eye_openness_mean_medical,15.98,0.14142135623730945
Regression-path_duration_max_medical,16.0,0.0
Regression-path_duration_std_medical,16.0,0.0
Average_whole-fixation_eye_openness_max_medical,16.0,0.0
word_id_screen_mean_medical,16.0,0.0
Regression-path_duration_mean_medical,16.0,0.0
Total_duration_of_fixations_mean_medical,16.0,0.0
