,Mean_Rank_or_Score,Std_Rank_or_Score
Total_duration_of_Visit_std_medical,1.0,0.0
Minimum_duration_of_whole_fixations_mean_medical,1.0,0.0
Minimum_duration_of_whole_fixations_std_medical,1.0,0.0
Minimum_duration_of_whole_fixations_min_medical,1.0,0.0
Minimum_duration_of_whole_fixations_max_medical,1.0,0.0
Maximum_duration_of_whole_fixations_mean_medical,1.0,0.0
Maximum_duration_of_whole_fixations_std_medical,1.0,0.0
Maximum_duration_of_whole_fixations_min_medical,1.0,0.0
Maximum_duration_of_whole_fixations_max_medical,1.0,0.0
Number_of_whole_fixations_mean_medical,1.0,0.0
Number_of_whole_fixations_std_medical,1.0,0.0
Number_of_whole_fixations_max_medical,1.0,0.0
Time_to_first_whole_fixation_mean_medical,1.0,0.0
Time_to_first_whole_fixation_min_medical,1.0,0.0
Time_to_first_whole_fixation_max_medical,1.0,0.0
Duration_of_first_whole_fixation_mean_medical,1.0,0.0
Duration_of_first_whole_fixation_std_medical,1.0,0.0
word_frequency_screen_mean_medical,1.0,0.0
word_frequency_text_max_medical,1.0,0.0
word_frequency_text_min_medical,1.0,0.0
word_frequency_text_std_medical,1.0,0.0
word_frequency_text_mean_medical,1.0,0.0
word_frequency_screen_max_medical,1.0,0.0
word_frequency_screen_min_medical,1.0,0.0
Average_duration_of_whole_fixations_max_medical,1.0,0.0
Average_duration_of_Visit_mean_medical,1.0,0.0
Total_duration_of_Visit_mean_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_max_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_min_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_std_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_mean_medical,1.0,0.0
Duration_of_first_whole_fixation_max_medical,1.0,0.0
word_frequency_screen_std_medical,1.0,0.0
total_lemma_count_screen_mean_medical,1.0,0.0
Average_duration_of_whole_fixations_min_medical,1.0,0.0
Average_duration_of_whole_fixations_mean_medical,1.0,0.0
Maximum_duration_of_fixations_max_medical,1.0,0.0
Maximum_duration_of_fixations_min_medical,1.0,0.0
Maximum_duration_of_fixations_std_medical,1.0,0.0
Maximum_duration_of_fixations_mean_medical,1.0,0.0
total_word_count_text_max_medical,1.0,0.0
total_word_count_text_min_medical,1.0,0.0
Number_of_fixations_mean_medical,1.0,0.0
total_word_count_text_std_medical,1.0,0.0
total_word_count_screen_max_medical,1.0,0.0
total_lemma_count_screen_std_medical,1.0,0.0
total_lemma_count_screen_min_medical,1.0,0.0
total_lemma_count_screen_max_medical,1.0,0.0
total_lemma_count_text_mean_medical,1.0,0.0
total_lemma_count_text_std_medical,1.0,0.0
total_word_count_text_mean_medical,1.0,0.0
Average_duration_of_whole_fixations_std_medical,1.0,0.0
Number_of_fixations_std_medical,1.0,0.0
Time_to_first_fixation_mean_medical,1.0,0.0
Total_duration_of_whole_fixations_max_medical,1.0,0.0
Total_duration_of_whole_fixations_std_medical,1.0,0.0
Total_duration_of_whole_fixations_mean_medical,1.0,0.0
Average_pupil_diameter_max_medical,1.0,0.0
Average_pupil_diameter_min_medical,1.0,0.0
Average_pupil_diameter_std_medical,1.0,0.0
Average_pupil_diameter_mean_medical,1.0,0.0
Number_of_fixations_max_medical,1.0,0.0
total_lemma_count_text_min_medical,1.0,0.0
Duration_of_first_fixation_min_medical,1.0,0.0
Duration_of_first_fixation_std_medical,1.0,0.0
Duration_of_first_fixation_mean_medical,1.0,0.0
Time_to_first_fixation_max_medical,1.0,0.0
Time_to_first_fixation_min_medical,1.0,0.0
Time_to_first_fixation_std_medical,1.0,0.0
Duration_of_first_fixation_max_medical,1.0,0.0
Time_to_first_whole_fixation_std_medical,1.02,0.14142135623730945
Total_duration_of_Visit_max_medical,1.02,0.1414213562373095
total_lemma_count_text_max_medical,1.06,0.23989793748209529
Duration_of_first_whole_fixation_min_medical,1.2,0.606091526731326
total_word_count_screen_std_medical,1.3,0.4629100498862757
total_word_count_screen_mean_medical,1.58,0.9055385138137413
total_word_count_screen_min_medical,1.6,0.4948716593053936
Minimum_duration_of_fixations_max_medical,1.86,0.3505098327538655
Time_to_exit_saccade_min_medical,1.92,2.1460927952244475
Selective_regression-path_duration_max_medical,2.4,3.505098327538658
Average_duration_of_Visit_std_medical,2.42,0.9055385138137413
Peak_velocity_of_entry_saccade_mean_medical,2.52,2.7718703624308354
Average_duration_of_Visit_min_medical,2.62,0.7795864942652718
Minimum_duration_of_fixations_min_medical,2.78,0.5816935163286384
Average_duration_of_Visit_max_medical,2.88,0.4797958749641905
Peak_velocity_of_exit_saccade_mean_medical,2.88,3.390502942644592
word_count_text_max_medical,2.92,0.39589732744431494
word_count_text_mean_medical,2.98,0.14142135623730942
Minimum_duration_of_Visit_min_medical,2.98,0.4733726150223114
Minimum_duration_of_Visit_mean_medical,3.0,0.0
Minimum_duration_of_Visit_std_medical,3.0,0.0
word_count_text_std_medical,3.0,0.0
Minimum_duration_of_Visit_max_medical,3.8,0.8081220356417685
Maximum_duration_of_Visit_max_medical,3.82,0.7196938124462854
Maximum_duration_of_Visit_mean_medical,3.88,0.32826072265931605
word_count_screen_max_medical,3.92,0.2740475156178698
Minimum_duration_of_fixations_std_medical,3.96,0.19794866372215744
word_count_screen_std_medical,3.98,0.14142135623730942
Maximum_duration_of_Visit_std_medical,3.98,0.14142135623730942
Number_of_Visits_mean_medical,3.98,0.14142135623730942
Maximum_duration_of_Visit_min_medical,4.0,0.0
Number_of_Visits_std_medical,4.02,0.14142135623730948
Number_of_Visits_max_medical,4.78,0.4184519575964803
word_count_screen_mean_medical,4.86,0.35050983275386555
Time_to_first_Visit_mean_medical,4.94,0.2398979374820953
id.line_max_medical,4.96,0.19794866372215747
Minimum_duration_of_fixations_mean_medical,4.96,0.19794866372215744
Time_to_first_Visit_std_medical,4.98,0.14142135623730948
id.line_min_medical,5.0,0.0
Time_to_first_Visit_max_medical,5.0,0.0
Time_to_first_Visit_min_medical,5.0,0.0
Duration_of_first_Visit_mean_medical,5.02,0.14142135623730948
Duration_of_first_Visit_min_medical,5.8,0.534522483824849
Duration_of_first_Visit_std_medical,5.8,0.40406101782088427
id.line_std_medical,5.92,0.2740475156178698
Average_duration_of_fixations_max_medical,5.96,0.19794866372215744
Duration_of_first_Visit_max_medical,5.98,0.14142135623730948
id.line_mean_medical,6.0,0.0
Number_of_saccades_in_AOI_std_medical,6.0,0.0
Number_of_saccades_in_AOI_max_medical,6.0,0.0
Time_to_entry_saccade_mean_medical,6.02,0.14142135623730945
Number_of_saccades_in_AOI_mean_medical,6.1,0.7071067811865476
Time_to_entry_saccade_min_medical,6.74,1.0460811222298747
Time_to_entry_saccade_std_medical,6.76,0.4314191105869
right_dependents_max_medical,6.84,0.37032803990902047
Average_duration_of_fixations_min_medical,6.96,0.19794866372215744
Time_to_entry_saccade_max_medical,6.98,0.14142135623730948
Time_to_exit_saccade_mean_medical,7.0,0.0
Time_to_exit_saccade_std_medical,7.0,0.0
right_dependents_std_medical,7.0,0.0
right_dependents_mean_medical,7.0,0.0
tag.id_std_medical,7.46,0.7342912729083656
Time_to_exit_saccade_max_medical,7.7,0.4629100498862757
left_dependents_max_medical,7.88,0.328260722659316
Average_duration_of_fixations_std_medical,7.98,0.1414213562373095
Sentence_id_current_std_medical,7.98,0.14142135623730945
left_dependents_std_medical,8.0,0.0
left_dependents_mean_medical,8.0,0.0
Sentence_id_current_min_medical,8.0,0.0
Sentence_id_current_max_medical,8.0,0.0
Sentence_id_current_mean_medical,8.0,0.0
Peak_velocity_of_entry_saccade_std_medical,8.16,0.5095015571464862
Peak_velocity_of_exit_saccade_min_medical,8.78,1.6324515181724908
tag.id_max_medical,8.8,0.40406101782088455
tag.id_mean_medical,8.8,0.4040610178208845
Peak_velocity_of_entry_saccade_min_medical,8.84,1.1313708498984756
First-pass_regression_std_medical,8.86,2.8500626559528746
id.phrase.in.brackets_max_medical,8.9,0.36421567954234163
Average_duration_of_fixations_mean_medical,8.98,0.1414213562373095
Peak_velocity_of_entry_saccade_max_medical,9.0,0.0
Peak_velocity_of_exit_saccade_std_medical,9.02,0.14142135623730948
First-pass_duration_std_medical,9.44,0.7329003050503237
id.phrase.in.brackets_std_medical,9.8,0.4040610178208845
Peak_velocity_of_exit_saccade_max_medical,9.84,0.42185208743523994
id.phrase.in.brackets_mean_medical,9.86,0.3505098327538657
First-pass_first_fixation_duration_mean_medical,9.9,0.3642156795423417
AOI_length_max_medical,9.94,0.2398979374820952
First-pass_first_fixation_duration_std_medical,9.96,0.1979486637221573
First-pass_first_fixation_duration_max_medical,9.98,0.14142135623730945
Total_duration_of_fixations_max_medical,9.98,0.1414213562373095
AOI_length_std_medical,10.0,0.0
First-pass_duration_mean_medical,10.04,0.19794866372215733
Selective_regression-path_duration_mean_medical,10.56,1.9811355226696827
AOI_length_mean_medical,10.84,0.37032803990902047
First-pass_duration_max_medical,10.9,0.30304576336566313
word_id_text_max_medical,10.96,0.1979486637221573
word_id_text_std_medical,10.96,0.2828427124746189
