,Mean_Rank_or_Score,Std_Rank_or_Score
Selective_regression-path_duration_std_medical,18.255618672999525,1.5326795738656702
Selective_regression-path_duration_max_medical,17.49678483530188,1.3549821496771517
Selective_regression-path_duration_mean_medical,16.022374629290486,1.5746543038796492
Average_duration_of_Visit_max_medical,13.963714008785942,1.0635926985359494
Minimum_duration_of_Visit_max_medical,13.211370167859942,1.0435076853131633
Maximum_duration_of_Visit_max_medical,11.275424770307984,0.9036442555546941
Minimum_duration_of_Visit_std_medical,10.509108817286803,0.8859920840187379
Average_duration_of_Visit_std_medical,10.409358374892632,0.8664956816966971
Duration_of_first_Visit_max_medical,9.253402088857799,0.8398265034492379
Minimum_duration_of_Visit_mean_medical,9.021928401638581,0.7742239370597006
Average_duration_of_Visit_mean_medical,8.518815483335736,0.7473993811930304
Maximum_duration_of_Visit_std_medical,8.171705275045246,0.8300404389863483
First-pass_duration_max_medical,7.709697091226164,0.6440671569842572
Duration_of_first_Visit_std_medical,7.485189075621528,0.7449565271807955
Duration_of_first_Visit_mean_medical,7.370730669820201,0.7152522382274549
Maximum_duration_of_Visit_mean_medical,7.265152543537544,0.7285943513725163
Average_whole-fixation_eye_openness_std_medical,7.173216591689138,1.4768266775711885
First-pass_first_fixation_duration_mean_medical,6.849869936258915,0.8551601187329472
First-pass_first_fixation_duration_std_medical,6.8192772586386745,0.6747876149611564
Duration_of_first_whole_fixation_std_medical,6.2102508927379105,0.6075031219842574
Average_whole-fixation_eye_openness_mean_medical,6.183231831784687,1.3277243897219626
Time_to_first_Visit_max_medical,5.713735873908738,0.6803779198719951
First-pass_duration_std_medical,5.513330305571449,0.5726609408488929
Time_to_first_Visit_mean_medical,5.3707720130282555,0.6792028224045085
Time_to_first_Visit_std_medical,5.270996521444484,0.671691618535418
First-pass_duration_mean_medical,5.23563803549211,0.7157655421110332
Average_whole-fixation_eye_openness_max_medical,5.04582211183519,1.0298455271372233
Maximum_duration_of_whole_fixations_std_medical,4.910980472656527,0.4905342118254383
Duration_of_first_fixation_std_medical,4.8940416550091514,0.5388065574617608
Maximum_duration_of_fixations_std_medical,4.777401580171424,0.4832984182403694
First-pass_regression_mean_medical,4.766994382936896,0.7108453777844556
Duration_of_first_whole_fixation_mean_medical,4.1881830542395235,0.5398121240171188
Total_duration_of_Visit_max_medical,4.151423899167862,0.7183497240942527
Duration_of_first_fixation_mean_medical,4.0919417790808765,0.53032409127461
Total_duration_of_Visit_std_medical,4.018687608429585,0.7432255316098227
First-pass_regression_std_medical,3.9837302661754723,0.6237923089664206
First-pass_first_fixation_duration_max_medical,3.911386247273379,0.4870239073324101
Total_duration_of_Visit_mean_medical,3.827812981302474,0.6235313910187612
Average_duration_of_whole_fixations_mean_medical,3.7726975798427604,0.49419770800673735
Duration_of_first_whole_fixation_max_medical,3.6933226361201714,0.46389209441536505
Average_duration_of_fixations_mean_medical,3.5703970832632472,0.478973451560472
Duration_of_first_fixation_max_medical,3.5344179226745736,0.46739664075835907
Maximum_duration_of_whole_fixations_mean_medical,3.4143289204656493,0.4569170530656968
Time_to_first_Visit_min_medical,3.3915407273816283,0.3416099298095587
Time_to_first_fixation_min_medical,3.3915407273816283,0.3416099298095587
Maximum_duration_of_fixations_mean_medical,3.2966126632012696,0.4462274034414595
Maximum_duration_of_whole_fixations_max_medical,3.013178469594722,0.39156762093518
Maximum_duration_of_fixations_max_medical,3.013178469594722,0.39156762093518
Average_duration_of_whole_fixations_std_medical,3.0100270159617257,0.44719836662620954
Peak_velocity_of_entry_saccade_min_medical,2.8529184064089974,0.43577033675376126
Number_of_Visits_max_medical,2.850811228762386,0.6586315515038261
Average_whole-fixation_pupil_diameter_max_medical,2.7675714130813294,0.5134282134851141
Average_pupil_diameter_max_medical,2.6920646653008493,0.5049006483694403
Average_duration_of_fixations_std_medical,2.6073327071404537,0.4221783085946072
Average_pupil_diameter_min_medical,2.5427207592482937,0.5725953579245913
Average_whole-fixation_pupil_diameter_min_medical,2.4057123117809285,0.5555545040175883
Minimum_duration_of_whole_fixations_std_medical,2.399950476970445,0.4203779020094315
Number_of_Visits_mean_medical,2.3566759628723477,0.5880968746213208
Minimum_duration_of_fixations_max_medical,2.3299756003802186,0.37792371812718356
Duration_of_first_Visit_min_medical,2.2535583049060746,0.47372787450068937
Minimum_duration_of_fixations_std_medical,2.1597709076463683,0.4034721239450739
Minimum_duration_of_whole_fixations_mean_medical,2.1459976797852285,0.43321372523940815
Average_duration_of_Visit_min_medical,2.091403196151084,0.4605096219344009
Total_duration_of_fixations_max_medical,2.0682446751983026,0.48703900689033425
Average_whole-fixation_pupil_diameter_mean_medical,1.993364964615313,0.4617117532660854
Total_duration_of_whole_fixations_max_medical,1.992756459383289,0.4800138484675944
Average_pupil_diameter_mean_medical,1.973899947158771,0.4594637322031827
Minimum_duration_of_fixations_mean_medical,1.9391639858277825,0.4074015319361819
Minimum_duration_of_whole_fixations_max_medical,1.8488065968249359,0.33730004365859645
Sentence_id_current_min_medical,1.7716686674669864,0.26806022636626525
word_id_text_min_medical,1.7716686674669861,0.2680602263662652
Average_duration_of_fixations_max_medical,1.7657368809563925,0.3239977444650246
Average_duration_of_whole_fixations_max_medical,1.6441399309821094,0.3137518885602372
Minimum_duration_of_fixations_min_medical,1.6034761482058568,0.3940505430758704
word_frequency_screen_min_medical,1.5809531309328078,0.3592685933882015
total_word_count_screen_max_medical,1.5283905115733676,0.3562416504107029
Number_of_saccades_in_AOI_mean_medical,1.5178660151906904,0.33028679285382495
Total_duration_of_whole_fixations_std_medical,1.5025277589771107,0.4345900509160644
Number_of_saccades_in_AOI_std_medical,1.4850283134494442,0.3827940302749363
Total_duration_of_fixations_std_medical,1.4682012999226304,0.43619348891446896
