,Mean_Rank_or_Score,Std_Rank_or_Score
word_frequency_text_mean_content,1.0,0.0
Average_duration_of_whole_fixations_min_medical,1.0,0.0
Average_duration_of_whole_fixations_max_medical,1.0,0.0
Minimum_duration_of_whole_fixations_mean_medical,1.0,0.0
Minimum_duration_of_whole_fixations_std_medical,1.0,0.0
Minimum_duration_of_whole_fixations_min_medical,1.0,0.0
Minimum_duration_of_whole_fixations_max_medical,1.0,0.0
Maximum_duration_of_whole_fixations_mean_medical,1.0,0.0
Maximum_duration_of_whole_fixations_std_medical,1.0,0.0
Maximum_duration_of_whole_fixations_min_medical,1.0,0.0
Maximum_duration_of_whole_fixations_max_medical,1.0,0.0
Number_of_whole_fixations_mean_medical,1.0,0.0
Average_duration_of_whole_fixations_std_medical,1.0,0.0
Number_of_whole_fixations_std_medical,1.0,0.0
Time_to_first_whole_fixation_mean_medical,1.0,0.0
word_frequency_text_std_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
total_lemma_count_screen_std_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
Time_to_first_whole_fixation_min_medical,1.0,0.0
word_frequency_screen_min_content,1.0,0.0
word_frequency_screen_max_content,1.0,0.0
Number_of_whole_fixations_max_medical,1.0,0.0
Average_duration_of_whole_fixations_mean_medical,1.0,0.0
Time_to_first_whole_fixation_std_medical,1.02,0.1414213562373094
total_lemma_count_text_max_content,1.04,0.1979486637221575
Time_to_first_whole_fixation_max_medical,1.06,0.23989793748209526
Duration_of_first_whole_fixation_max_medical,1.06,0.31363569143000214
Duration_of_first_whole_fixation_std_medical,1.12,0.32826072265931605
Average_whole-fixation_pupil_diameter_mean_medical,1.16,0.5480950312357395
Duration_of_first_whole_fixation_mean_medical,1.18,0.38808793449160356
word_frequency_screen_std_content,1.28,0.7010196655077309
word_frequency_screen_mean_content,1.48,0.8628382211738004
Average_whole-fixation_pupil_diameter_std_medical,1.6,0.9258200997725514
Total_duration_of_whole_fixations_max_medical,1.66,0.47851812069840655
total_lemma_count_screen_max_content,1.72,0.4535573676110727
Duration_of_first_whole_fixation_min_medical,1.8,0.4040610178208843
Total_duration_of_whole_fixations_std_medical,2.52,0.7886956423909863
total_lemma_count_text_mean_content,2.54,0.7879189847507246
total_word_count_text_max_content,2.88,0.4797958749641905
total_word_count_text_min_content,2.92,0.395897327444315
Total_duration_of_Visit_mean_medical,2.98,0.47337261502231137
total_word_count_text_std_content,3.0,0.0
Average_whole-fixation_pupil_diameter_min_medical,3.0,0.0
Average_whole-fixation_pupil_diameter_max_medical,3.06,0.23989793748209526
total_word_count_text_mean_content,3.28,0.49651849134236486
Total_duration_of_Visit_std_medical,3.28,0.4535573676110728
