,Mean_Rank_or_Score,Std_Rank_or_Score
Selective_regression-path_duration_max_content,18.95954108621616,1.4537213824669124
Selective_regression-path_duration_std_medical,18.255618672999525,1.5326795738656702
Selective_regression-path_duration_std_content,18.133884877647294,1.5565626456796406
Selective_regression-path_duration_max_medical,17.49678483530188,1.3549821496771517
Average_duration_of_Visit_max_content,16.770097099267986,1.0685468565680143
Minimum_duration_of_Visit_max_content,16.636969686601148,1.0640012969336987
Selective_regression-path_duration_mean_medical,16.022374629290486,1.5746543038796492
Average_duration_of_Visit_max_medical,13.963714008785942,1.0635926985359494
Selective_regression-path_duration_mean_content,13.92828501487925,1.4286735411532048
Maximum_duration_of_Visit_max_content,13.820525795252692,0.9632400235191778
Minimum_duration_of_Visit_max_medical,13.211370167859942,1.0435076853131633
Duration_of_first_Visit_max_content,12.289564525511567,0.9231083193185441
Average_duration_of_Visit_std_content,11.66931646093365,0.8786661415878161
Minimum_duration_of_Visit_std_content,11.444821897982123,0.8747128517424009
Maximum_duration_of_Visit_max_medical,11.275424770307984,0.9036442555546941
Minimum_duration_of_Visit_std_medical,10.509108817286803,0.8859920840187379
Average_duration_of_Visit_std_medical,10.409358374892632,0.8664956816966971
Maximum_duration_of_Visit_std_content,9.743062381381984,0.860915437249602
Duration_of_first_Visit_max_medical,9.253402088857799,0.8398265034492379
Minimum_duration_of_Visit_mean_medical,9.021928401638581,0.7742239370597006
Minimum_duration_of_Visit_mean_content,8.953173093143086,0.7289322311396625
Average_duration_of_Visit_mean_content,8.820101607286352,0.7172958430272773
Duration_of_first_Visit_std_content,8.74665081805711,0.765802300962261
Average_whole-fixation_eye_openness_mean_content,8.620460802276217,1.4065368779728407
Average_duration_of_Visit_mean_medical,8.518815483335736,0.7473993811930304
Average_whole-fixation_eye_openness_std_content,8.463588882068164,1.5644082635119465
Maximum_duration_of_Visit_std_medical,8.171705275045246,0.8300404389863483
First-pass_duration_max_content,8.113123964863679,0.6639002885146728
Duration_of_first_Visit_mean_content,7.992759406297857,0.694335131887322
