,Mean_Rank_or_Score,Std_Rank_or_Score
total_lemma_count_text_max_content,1.0,0.0
Average_duration_of_Visit_min_medical,1.0,0.0
Average_duration_of_Visit_std_medical,1.0,0.0
Average_duration_of_Visit_mean_medical,1.0,0.0
Total_duration_of_Visit_max_medical,1.0,0.0
Total_duration_of_Visit_std_medical,1.0,0.0
Total_duration_of_Visit_mean_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_max_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_min_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_std_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_mean_medical,1.0,0.0
Duration_of_first_whole_fixation_max_medical,1.0,0.0
Duration_of_first_whole_fixation_min_medical,1.0,0.0
Duration_of_first_whole_fixation_std_medical,1.0,0.0
Duration_of_first_whole_fixation_mean_medical,1.0,0.0
Time_to_first_whole_fixation_max_medical,1.0,0.0
Time_to_first_whole_fixation_min_medical,1.0,0.0
Time_to_first_whole_fixation_std_medical,1.0,0.0
Time_to_first_whole_fixation_mean_medical,1.0,0.0
Number_of_whole_fixations_max_medical,1.0,0.0
Average_duration_of_Visit_max_medical,1.0,0.0
Number_of_whole_fixations_std_medical,1.0,0.0
Minimum_duration_of_Visit_mean_medical,1.0,0.0
Minimum_duration_of_Visit_min_medical,1.0,0.0
word_frequency_screen_max_content,1.0,0.0
word_frequency_screen_min_content,1.0,0.0
word_frequency_screen_std_content,1.0,0.0
word_frequency_screen_mean_content,1.0,0.0
total_word_count_text_max_content,1.0,0.0
total_word_count_text_min_content,1.0,0.0
total_word_count_text_std_content,1.0,0.0
total_word_count_text_mean_content,1.0,0.0
total_word_count_screen_max_content,1.0,0.0
total_word_count_screen_min_content,1.0,0.0
total_lemma_count_text_min_content,1.0,0.0
Time_to_first_Visit_mean_medical,1.0,0.0
Number_of_Visits_max_medical,1.0,0.0
Number_of_Visits_std_medical,1.0,0.0
Number_of_Visits_mean_medical,1.0,0.0
Maximum_duration_of_Visit_max_medical,1.0,0.0
Maximum_duration_of_Visit_std_medical,1.0,0.0
Maximum_duration_of_Visit_mean_medical,1.0,0.0
Minimum_duration_of_Visit_max_medical,1.0,0.0
Minimum_duration_of_Visit_std_medical,1.0,0.0
Number_of_whole_fixations_mean_medical,1.0,0.0
word_frequency_text_mean_content,1.0,0.0
Maximum_duration_of_whole_fixations_min_medical,1.0,0.0
Maximum_duration_of_whole_fixations_max_medical,1.0,0.0
word_frequency_text_std_content,1.0,0.0
word_frequency_text_min_content,1.0,0.0
word_frequency_text_max_content,1.0,0.0
total_lemma_count_screen_mean_content,1.0,0.0
total_lemma_count_screen_min_content,1.0,0.0
total_lemma_count_screen_max_content,1.0,0.0
total_lemma_count_text_mean_content,1.0,0.0
total_lemma_count_text_std_content,1.0,0.0
Average_pupil_diameter_max_medical,1.0,0.0
