,Mean_Rank_or_Score,Std_Rank_or_Score
Selective_regression-path_duration_max_non_medical,16.450085466713595,1.3027086021511296
Selective_regression-path_duration_std_non_medical,15.899332738731271,1.4816521166670993
Maximum_duration_of_Visit_max_non_medical,12.525402184761218,0.9115243245429171
Selective_regression-path_duration_mean_non_medical,11.199548031731265,1.2816517041978177
Average_whole-fixation_eye_openness_max_non_medical,11.019859759876176,1.2631466211649731
Maximum_duration_of_Visit_std_non_medical,10.33659067451761,0.8787331787679349
Average_whole-fixation_eye_openness_std_non_medical,10.168414756588916,1.5019934197399587
Duration_of_first_Visit_max_non_medical,9.674623939686676,0.7861784923402394
Average_duration_of_whole_fixations_min_non_medical,9.615625375704575,1.035621811364143
Average_duration_of_Visit_max_non_medical,9.509996394644624,0.8017789508484969
Average_whole-fixation_eye_openness_mean_non_medical,9.40189922651919,1.4089920830150007
Average_duration_of_Visit_std_non_medical,9.194684808727144,0.807426602196684
Minimum_duration_of_Visit_max_non_medical,8.815617689364727,0.7741904314309084
Duration_of_first_Visit_std_non_medical,8.527232935863198,0.7841255554431783
Minimum_duration_of_Visit_std_non_medical,8.036194988294993,0.7530528977443858
Average_duration_of_Visit_mean_non_medical,8.013940865395112,0.6923959530961272
Maximum_duration_of_Visit_mean_non_medical,7.930604130755976,0.6998914931651737
Minimum_duration_of_Visit_mean_non_medical,7.651115080556604,0.6853032010167242
Duration_of_first_Visit_mean_non_medical,7.633918680272047,0.685228090005253
Total_duration_of_Visit_std_non_medical,6.360741902913344,0.7150912121637617
Time_to_first_Visit_std_non_medical,6.059788725273223,0.7323582384213518
Time_to_first_Visit_mean_non_medical,5.768997699201183,0.6760195301444638
Total_duration_of_Visit_mean_non_medical,5.23579371507895,0.6472644066430482
Time_to_first_Visit_max_non_medical,5.1490535351677735,0.6728155962681943
Total_duration_of_Visit_max_non_medical,5.136207037643609,0.700616155192855
Average_duration_of_whole_fixations_max_non_medical,4.414861198000754,0.5373513999663307
Time_to_entry_saccade_min_non_medical,4.20888069010192,0.5716253271269689
Average_duration_of_fixations_max_non_medical,3.8250372706788722,0.4940402085147218
Maximum_duration_of_whole_fixations_std_non_medical,3.8207203425449414,0.45634902026100693
Time_to_exit_saccade_min_non_medical,3.7021757876906465,0.655222998514139
Maximum_duration_of_fixations_std_non_medical,3.6971101900377583,0.4479855080161689
Maximum_duration_of_fixations_max_non_medical,3.6548322047617763,0.4057508626946117
Maximum_duration_of_whole_fixations_max_non_medical,3.645595825368629,0.40519356137147633
Peak_velocity_of_entry_saccade_min_non_medical,3.634153522278867,0.43860934848108574
First-pass_first_fixation_duration_max_non_medical,3.622040133250253,0.45264084797476417
First-pass_duration_std_non_medical,3.474392111853012,0.45997178448011455
First-pass_duration_max_non_medical,3.4278321946287504,0.40927697325591683
First-pass_regression_mean_non_medical,3.3304913277784323,0.5930411968153823
Minimum_duration_of_whole_fixations_max_non_medical,3.272272992855623,0.4497106470713084
Minimum_duration_of_fixations_max_non_medical,2.768508059142702,0.4089954984426807
First-pass_first_fixation_duration_std_non_medical,2.295836824315386,0.37825659060309164
First-pass_regression_std_non_medical,2.1852547218363467,0.4720254581094765
First-pass_duration_mean_non_medical,2.062221660668097,0.4544276121998847
Maximum_duration_of_whole_fixations_mean_non_medical,2.0267814582744355,0.34305873934651687
Minimum_duration_of_whole_fixations_min_non_medical,1.977308809026853,0.3981729874542116
Maximum_duration_of_fixations_mean_non_medical,1.963591708571565,0.3339598492865345
First-pass_first_fixation_duration_mean_non_medical,1.9171207210131707,0.42600087673173037
tag.id_max_non_medical,1.815386688631097,0.22872007183772305
Duration_of_first_whole_fixation_mean_non_medical,1.7808081763341854,0.3403751781304823
Time_to_first_fixation_min_non_medical,1.7716686674669864,0.2680602263662654
Time_to_first_Visit_min_non_medical,1.7716686674669864,0.2680602263662654
Duration_of_first_fixation_mean_non_medical,1.7448277871468516,0.33362266930379414
Average_duration_of_whole_fixations_mean_non_medical,1.7385931505448924,0.3326204779028615
Average_pupil_diameter_mean_non_medical,1.6744538753549418,0.40685960017685185
Average_duration_of_fixations_mean_non_medical,1.6689965312878596,0.32420737521976606
Average_whole-fixation_pupil_diameter_mean_non_medical,1.6411699208692971,0.4009390873682542
Total_duration_of_fixations_std_non_medical,1.6390702349170052,0.3243706809435145
Total_duration_of_whole_fixations_std_non_medical,1.6313513072686603,0.32397579507203494
Time_to_first_fixation_std_non_medical,1.6216080203561483,0.36503863308170825
word_frequency_screen_min_non_medical,1.5809531309328078,0.3592685933882015
total_word_count_screen_max_non_medical,1.5283905115733676,0.3562416504107029
word_id_screen_max_non_medical,1.5283905115733676,0.3562416504107029
Time_to_first_whole_fixation_std_non_medical,1.5233506658180562,0.35401540783001484
Average_whole-fixation_pupil_diameter_min_non_medical,1.4654378447136793,0.4305201331908947
Time_to_first_fixation_max_non_medical,1.453569635775632,0.33166607517087277
Average_pupil_diameter_min_non_medical,1.444115210957097,0.426370029679692
Total_duration_of_fixations_max_non_medical,1.420041263776224,0.3325998281587093
Total_duration_of_whole_fixations_max_non_medical,1.4118923718010916,0.3324213291305564
Duration_of_first_whole_fixation_std_non_medical,1.4026320518503785,0.28815100989066583
Time_to_first_whole_fixation_mean_non_medical,1.4018700240914723,0.31674118071216634
Time_to_first_fixation_mean_non_medical,1.383551723069981,0.3129003662978317
Time_to_exit_saccade_std_non_medical,1.3625210067687714,0.33987122454419477
Time_to_entry_saccade_std_non_medical,1.3374732525277986,0.3329562400806423
Maximum_duration_of_Visit_min_non_medical,1.3056459910479312,0.3450614503438127
Duration_of_first_fixation_std_non_medical,1.2922307276193092,0.27498152216140026
Time_to_first_whole_fixation_max_non_medical,1.2863475658881385,0.3197072233909425
Regression-path_duration_mean_non_medical,1.1935205358438257,0.27601522878074847
Time_to_entry_saccade_max_non_medical,1.1880969719901906,0.3062766797575889
Time_to_exit_saccade_mean_non_medical,1.152942420673157,0.2814904703537535
Total_duration_of_fixations_mean_non_medical,1.1366540496254596,0.2750064968723169
Total_duration_of_whole_fixations_mean_non_medical,1.130629801087054,0.27577014297481894
Average_duration_of_Visit_min_non_medical,1.1300352762892174,0.32623830127636405
Minimum_duration_of_whole_fixations_mean_non_medical,1.1252402754811597,0.2866180206968477
Average_duration_of_whole_fixations_std_non_medical,1.1217522471301282,0.2752187644651213
tag.id_min_non_medical,1.1123840083822163,0.1561305845486881
total_lemma_count_screen_max_non_medical,1.09766323311532,0.31835847396607914
Time_to_entry_saccade_mean_non_medical,1.0795866784473005,0.27243049492212007
total_lemma_count_text_min_non_medical,1.065389537848261,0.2643566583414325
Minimum_duration_of_fixations_mean_non_medical,1.0629869750293526,0.27924899352303933
Average_duration_of_fixations_std_non_medical,0.998316395116911,0.258085931087722
Time_to_exit_saccade_max_non_medical,0.9870407573357887,0.28539134287009726
id.phrase.in.brackets_min_non_medical,0.8876527591749805,0.14768197239919809
Maximum_duration_of_fixations_min_non_medical,0.8132527645423409,0.26566325822893894
total_word_count_text_min_non_medical,0.763018212275383,0.226811376421017
Regression-path_duration_std_non_medical,0.7627268882395404,0.28497282944235586
