,Mean_Rank_or_Score,Std_Rank_or_Score
total_lemma_count_text_max_non_medical,1.0,0.0
Average_duration_of_whole_fixations_std_non_medical,1.0,0.0
Total_duration_of_whole_fixations_mean_non_medical,1.0,0.0
Average_pupil_diameter_max_non_medical,1.0,0.0
Average_pupil_diameter_min_non_medical,1.0,0.0
Average_pupil_diameter_std_non_medical,1.0,0.0
Average_pupil_diameter_mean_non_medical,1.0,0.0
Duration_of_first_fixation_max_non_medical,1.0,0.0
Duration_of_first_fixation_min_non_medical,1.0,0.0
Duration_of_first_fixation_std_non_medical,1.0,0.0
Duration_of_first_fixation_mean_non_medical,1.0,0.0
Time_to_first_fixation_max_non_medical,1.0,0.0
Time_to_first_fixation_min_non_medical,1.0,0.0
Time_to_first_fixation_std_non_medical,1.0,0.0
Number_of_fixations_max_non_medical,1.0,0.0
Number_of_fixations_std_non_medical,1.0,0.0
Time_to_first_fixation_mean_non_medical,1.0,0.0
word_frequency_text_max_non_medical,1.0,0.0
total_lemma_count_screen_min_non_medical,1.0,0.0
total_lemma_count_screen_std_non_medical,1.0,0.0
total_lemma_count_screen_mean_non_medical,1.0,0.0
Number_of_fixations_mean_non_medical,1.0,0.0
word_frequency_text_std_non_medical,1.0,0.0
word_frequency_text_min_non_medical,1.0,0.0
word_frequency_screen_max_non_medical,1.0,0.0
word_frequency_screen_min_non_medical,1.0,0.0
Selective_regression-path_duration_max_non_medical,1.0,0.0
word_frequency_text_mean_non_medical,1.0,0.0
Average_duration_of_whole_fixations_mean_non_medical,1.02,0.14142135623730948
total_lemma_count_screen_max_non_medical,1.02,0.14142135623730945
Total_duration_of_whole_fixations_std_non_medical,1.02,0.14142135623730948
Total_duration_of_whole_fixations_max_non_medical,1.02,0.14142135623730948
Minimum_duration_of_whole_fixations_std_non_medical,1.04,0.28284271247461895
total_lemma_count_text_mean_non_medical,1.06,0.3136356914300019
Minimum_duration_of_whole_fixations_mean_non_medical,1.08,0.2740475156178698
Maximum_duration_of_fixations_max_non_medical,1.1,0.3030457633656631
Average_duration_of_whole_fixations_max_non_medical,1.16,0.4218520874352402
Time_to_entry_saccade_min_non_medical,1.2,1.4142135623730963
Minimum_duration_of_whole_fixations_max_non_medical,1.32,0.7406560798180409
Average_duration_of_whole_fixations_min_non_medical,1.88,0.328260722659316
total_lemma_count_text_std_non_medical,1.96,0.44994330708638913
Maximum_duration_of_fixations_min_non_medical,2.1,0.3642156795423417
First-pass_duration_std_non_medical,2.42,3.907554170045084
Minimum_duration_of_whole_fixations_min_non_medical,2.76,0.656521445318632
word_frequency_screen_std_non_medical,2.8,0.6060915267313263
total_lemma_count_text_min_non_medical,2.94,0.8184106049944284
word_frequency_screen_mean_non_medical,2.96,0.2828427124746189
total_word_count_text_max_non_medical,3.0,0.0
total_word_count_text_min_non_medical,3.0,0.0
total_word_count_text_std_non_medical,3.0,0.0
Maximum_duration_of_whole_fixations_mean_non_medical,3.02,0.14142135623730948
Maximum_duration_of_whole_fixations_std_non_medical,3.02,0.14142135623730948
Maximum_duration_of_fixations_std_non_medical,3.08,0.4444671196029725
Maximum_duration_of_whole_fixations_min_non_medical,3.88,0.328260722659316
Maximum_duration_of_whole_fixations_max_non_medical,3.94,0.42426406871192873
total_word_count_text_mean_non_medical,3.96,0.34758643030275527
Number_of_whole_fixations_std_non_medical,4.0,0.0
Number_of_whole_fixations_mean_non_medical,4.0,0.0
total_word_count_screen_max_non_medical,4.04,0.19794866372215747
Average_whole-fixation_pupil_diameter_std_non_medical,4.04,0.19794866372215747
Maximum_duration_of_fixations_mean_non_medical,4.06,0.5499536158548618
Average_whole-fixation_pupil_diameter_min_non_medical,4.12,0.5938459911664719
Average_whole-fixation_pupil_diameter_mean_non_medical,4.16,0.37032803990902047
Number_of_whole_fixations_max_non_medical,4.86,0.35050983275386544
Time_to_first_whole_fixation_mean_non_medical,4.94,0.3136356914300019
Time_to_first_whole_fixation_std_non_medical,4.94,0.313635691430002
Duration_of_first_whole_fixation_max_non_medical,4.96,0.19794866372215747
Time_to_first_whole_fixation_min_non_medical,4.96,0.19794866372215747
Duration_of_first_whole_fixation_mean_non_medical,4.98,0.14142135623730945
Duration_of_first_whole_fixation_min_non_medical,4.98,0.14142135623730945
Duration_of_first_whole_fixation_std_non_medical,4.98,0.14142135623730948
Time_to_first_whole_fixation_max_non_medical,5.0,0.2857142857142857
Minimum_duration_of_fixations_max_non_medical,5.04,0.6688399948982643
Average_whole-fixation_pupil_diameter_max_non_medical,5.78,0.6157789160643516
total_word_count_screen_min_non_medical,5.9,0.4164965639175214
Total_duration_of_Visit_max_non_medical,5.9,0.7071067811865481
Total_duration_of_Visit_mean_non_medical,5.98,0.14142135623730945
total_word_count_screen_mean_non_medical,6.0,0.0
total_word_count_screen_std_non_medical,6.0,0.0
Total_duration_of_Visit_std_non_medical,6.0,0.0
Average_duration_of_Visit_std_non_medical,6.0,0.0
Average_duration_of_Visit_mean_non_medical,6.06,0.4242640687119287
Minimum_duration_of_fixations_min_non_medical,6.14,0.4045657788144655
Average_duration_of_Visit_min_non_medical,6.84,0.37032803990902047
word_count_text_max_non_medical,6.92,0.2740475156178697
word_count_text_std_non_medical,7.0,0.0
word_count_text_mean_non_medical,7.0,0.0
Minimum_duration_of_Visit_max_non_medical,7.0,0.0
Minimum_duration_of_Visit_min_non_medical,7.0,0.0
Minimum_duration_of_Visit_std_non_medical,7.0,0.0
Average_duration_of_Visit_max_non_medical,7.0,0.0
Maximum_duration_of_Visit_mean_non_medical,7.02,0.14142135623730948
Minimum_duration_of_fixations_std_non_medical,7.14,0.4045657788144655
word_count_screen_max_non_medical,7.92,0.2740475156178697
word_count_screen_mean_non_medical,8.0,0.0
word_count_screen_std_non_medical,8.0,0.0
Number_of_Visits_std_non_medical,8.0,0.0
Maximum_duration_of_Visit_std_non_medical,8.0,0.0
Maximum_duration_of_Visit_min_non_medical,8.0,0.0
Maximum_duration_of_Visit_max_non_medical,8.0,0.0
