,Mean_Rank_or_Score,Std_Rank_or_Score
total_lemma_count_text_max_non_medical,1.0,0.0
Duration_of_first_whole_fixation_std_non_medical,1.0,0.0
Duration_of_first_whole_fixation_mean_non_medical,1.0,0.0
Time_to_first_whole_fixation_min_non_medical,1.0,0.0
Time_to_first_whole_fixation_std_non_medical,1.0,0.0
Time_to_first_whole_fixation_mean_non_medical,1.0,0.0
Number_of_whole_fixations_max_non_medical,1.0,0.0
Duration_of_first_whole_fixation_min_non_medical,1.0,0.0
Number_of_whole_fixations_std_non_medical,1.0,0.0
Maximum_duration_of_whole_fixations_max_non_medical,1.0,0.0
Maximum_duration_of_whole_fixations_min_non_medical,1.0,0.0
Maximum_duration_of_whole_fixations_std_non_medical,1.0,0.0
Maximum_duration_of_whole_fixations_mean_non_medical,1.0,0.0
Minimum_duration_of_whole_fixations_max_non_medical,1.0,0.0
Minimum_duration_of_whole_fixations_min_non_medical,1.0,0.0
Number_of_whole_fixations_mean_non_medical,1.0,0.0
Duration_of_first_whole_fixation_max_non_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_mean_non_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_std_non_medical,1.0,0.0
total_word_count_screen_min_non_medical,1.0,0.0
total_word_count_screen_max_non_medical,1.0,0.0
total_word_count_text_mean_non_medical,1.0,0.0
total_word_count_text_std_non_medical,1.0,0.0
total_word_count_text_min_non_medical,1.0,0.0
total_word_count_text_max_non_medical,1.0,0.0
word_frequency_screen_mean_non_medical,1.0,0.0
word_frequency_screen_std_non_medical,1.0,0.0
word_frequency_screen_min_non_medical,1.0,0.0
word_frequency_screen_max_non_medical,1.0,0.0
Average_duration_of_Visit_std_non_medical,1.0,0.0
Total_duration_of_Visit_max_non_medical,1.0,0.0
Total_duration_of_Visit_std_non_medical,1.0,0.0
Total_duration_of_Visit_mean_non_medical,1.0,0.0
Average_whole-fixation_pupil_diameter_max_non_medical,1.0,0.0
Selective_regression-path_duration_max_non_medical,1.0,0.0
Minimum_duration_of_whole_fixations_mean_non_medical,1.0,0.0
Minimum_duration_of_whole_fixations_std_non_medical,1.0,0.0
Average_duration_of_whole_fixations_min_non_medical,1.0,0.0
Number_of_fixations_mean_non_medical,1.0,0.0
Maximum_duration_of_fixations_max_non_medical,1.0,0.0
Maximum_duration_of_fixations_min_non_medical,1.0,0.0
Maximum_duration_of_fixations_std_non_medical,1.0,0.0
Maximum_duration_of_fixations_mean_non_medical,1.0,0.0
word_frequency_text_mean_non_medical,1.0,0.0
word_frequency_text_std_non_medical,1.0,0.0
word_frequency_text_min_non_medical,1.0,0.0
word_frequency_text_max_non_medical,1.0,0.0
total_lemma_count_screen_mean_non_medical,1.0,0.0
total_lemma_count_screen_std_non_medical,1.0,0.0
total_lemma_count_screen_min_non_medical,1.0,0.0
total_lemma_count_screen_max_non_medical,1.0,0.0
total_lemma_count_text_mean_non_medical,1.0,0.0
total_lemma_count_text_std_non_medical,1.0,0.0
Number_of_fixations_std_non_medical,1.0,0.0
Average_duration_of_whole_fixations_max_non_medical,1.0,0.0
Number_of_fixations_max_non_medical,1.0,0.0
Time_to_first_fixation_std_non_medical,1.0,0.0
Average_duration_of_whole_fixations_std_non_medical,1.0,0.0
Average_duration_of_whole_fixations_mean_non_medical,1.0,0.0
Total_duration_of_whole_fixations_max_non_medical,1.0,0.0
Total_duration_of_whole_fixations_std_non_medical,1.0,0.0
Total_duration_of_whole_fixations_mean_non_medical,1.0,0.0
Average_pupil_diameter_max_non_medical,1.0,0.0
Average_pupil_diameter_min_non_medical,1.0,0.0
Average_pupil_diameter_std_non_medical,1.0,0.0
Time_to_first_fixation_mean_non_medical,1.0,0.0
Average_pupil_diameter_mean_non_medical,1.0,0.0
Duration_of_first_fixation_min_non_medical,1.0,0.0
Duration_of_first_fixation_std_non_medical,1.0,0.0
Duration_of_first_fixation_mean_non_medical,1.0,0.0
Time_to_first_fixation_max_non_medical,1.0,0.0
Time_to_first_fixation_min_non_medical,1.0,0.0
Duration_of_first_fixation_max_non_medical,1.0,0.0
total_lemma_count_text_min_non_medical,1.0,0.0
Time_to_first_whole_fixation_max_non_medical,1.04,0.19794866372215747
Average_whole-fixation_pupil_diameter_min_non_medical,1.06,0.4242640687119286
Average_duration_of_Visit_mean_non_medical,1.08,0.5656854249492379
Time_to_entry_saccade_min_non_medical,1.12,0.8485281374238577
Minimum_duration_of_fixations_max_non_medical,1.12,0.328260722659316
First-pass_duration_std_non_medical,1.94,2.6061935649447046
total_word_count_screen_std_non_medical,1.94,0.23989793748209526
total_word_count_screen_mean_non_medical,2.0,0.0
Minimum_duration_of_fixations_min_non_medical,2.14,0.4045657788144655
Average_duration_of_Visit_min_non_medical,2.68,0.740656079818041
word_count_text_max_non_medical,2.9,0.36421567954234163
word_count_text_std_non_medical,3.0,0.0
word_count_text_mean_non_medical,3.0,0.0
Average_duration_of_Visit_max_non_medical,3.0,0.0
Minimum_duration_of_Visit_std_non_medical,3.0,0.0
Minimum_duration_of_Visit_min_non_medical,3.0,0.0
Minimum_duration_of_Visit_max_non_medical,3.0,0.0
Maximum_duration_of_Visit_mean_non_medical,3.02,0.14142135623730945
Minimum_duration_of_fixations_std_non_medical,3.14,0.4045657788144655
word_count_screen_max_non_medical,3.92,0.2740475156178697
Number_of_Visits_std_non_medical,4.0,0.0
Maximum_duration_of_Visit_min_non_medical,4.0,0.0
Maximum_duration_of_Visit_max_non_medical,4.0,0.0
word_count_screen_mean_non_medical,4.0,0.0
word_count_screen_std_non_medical,4.0,0.0
Maximum_duration_of_Visit_std_non_medical,4.0,0.0
Number_of_Visits_mean_non_medical,4.0,0.0
Number_of_Visits_max_non_medical,4.02,0.14142135623730948
Minimum_duration_of_fixations_mean_non_medical,4.14,0.4045657788144655
Time_to_first_Visit_mean_non_medical,4.94,0.23989793748209526
id.line_max_non_medical,4.98,0.14142135623730945
Time_to_first_Visit_max_non_medical,5.0,0.0
Time_to_first_Visit_std_non_medical,5.0,0.0
Time_to_first_Visit_min_non_medical,5.0,0.0
id.line_min_non_medical,5.0,0.0
Duration_of_first_Visit_mean_non_medical,5.0,0.0
Duration_of_first_Visit_std_non_medical,5.0,0.0
Duration_of_first_Visit_min_non_medical,5.02,0.14142135623730948
Average_duration_of_fixations_max_non_medical,5.18,0.38808793449160367
Minimum_duration_of_Visit_mean_non_medical,5.46,1.164263803474811
id.line_std_non_medical,5.94,0.23989793748209526
Duration_of_first_Visit_max_non_medical,5.98,0.14142135623730945
right_dependents_max_non_medical,6.0,0.0
Number_of_saccades_in_AOI_mean_non_medical,6.0,0.0
Number_of_saccades_in_AOI_max_non_medical,6.0,0.0
Time_to_entry_saccade_mean_non_medical,6.0,0.0
id.line_mean_non_medical,6.0,0.0
Number_of_saccades_in_AOI_std_non_medical,6.0,0.0
Time_to_entry_saccade_std_non_medical,6.04,0.19794866372215744
Time_to_exit_saccade_min_non_medical,6.88,0.8485281374238577
Time_to_entry_saccade_max_non_medical,6.94,0.23989793748209526
right_dependents_std_non_medical,6.98,0.14142135623730945
Time_to_exit_saccade_max_non_medical,7.0,0.0
Time_to_exit_saccade_std_non_medical,7.0,0.0
Time_to_exit_saccade_mean_non_medical,7.0,0.0
right_dependents_mean_non_medical,7.0,0.0
Peak_velocity_of_entry_saccade_mean_non_medical,7.0,0.0
Average_duration_of_fixations_min_non_medical,7.0,0.0
Peak_velocity_of_entry_saccade_std_non_medical,7.16,0.5480950312357394
Sentence_id_current_std_non_medical,7.96,0.19794866372215744
left_dependents_max_non_medical,7.98,0.14142135623730945
left_dependents_mean_non_medical,8.0,0.0
Average_duration_of_fixations_std_non_medical,8.0,0.0
left_dependents_std_non_medical,8.0,0.0
Sentence_id_current_max_non_medical,8.0,0.0
tag.id_max_non_medical,8.0,0.0
Sentence_id_current_mean_non_medical,8.0,0.0
tag.id_std_non_medical,8.14,0.35050983275386577
Peak_velocity_of_entry_saccade_min_non_medical,8.16,0.4218520874352399
Peak_velocity_of_exit_saccade_mean_non_medical,8.58,1.642422302700546
tag.id_mean_non_medical,8.86,0.35050983275386577
tag.id_min_non_medical,8.86,0.35050983275386577
Peak_velocity_of_exit_saccade_min_non_medical,8.94,0.2398979374820952
Peak_velocity_of_entry_saccade_max_non_medical,8.98,0.14142135623730948
id.phrase.in.brackets_max_non_medical,9.0,0.0
Peak_velocity_of_exit_saccade_std_non_medical,9.0,0.0
Average_duration_of_fixations_mean_non_medical,9.0,0.0
id.phrase.in.brackets_min_non_medical,9.02,0.14142135623730945
id.phrase.in.brackets_std_non_medical,9.02,0.14142135623730945
First-pass_first_fixation_duration_std_non_medical,9.82,1.272792206135784
Peak_velocity_of_exit_saccade_max_non_medical,9.94,0.2398979374820952
First-pass_first_fixation_duration_mean_non_medical,9.98,0.14142135623730945
Total_duration_of_fixations_max_non_medical,10.0,0.0
First-pass_duration_mean_non_medical,10.0,0.0
First-pass_first_fixation_duration_max_non_medical,10.0,0.0
AOI_length_max_non_medical,10.0,0.0
id.phrase.in.brackets_mean_non_medical,10.0,0.0
AOI_length_std_non_medical,10.02,0.14142135623730948
First-pass_duration_max_non_medical,10.02,0.14142135623730948
Selective_regression-path_duration_mean_non_medical,10.98,0.14142135623730948
AOI_length_mean_non_medical,10.98,0.14142135623730948
word_id_text_max_non_medical,11.0,0.0
word_id_text_std_non_medical,11.0,0.0
word_id_text_mean_non_medical,11.0,0.0
Total_duration_of_fixations_std_non_medical,11.0,0.0
Selective_regression-path_duration_std_non_medical,11.0,0.0
First-pass_regression_mean_non_medical,11.0,0.0
First-pass_regression_std_non_medical,11.0,0.0
Regression-path_duration_mean_non_medical,11.06,0.2398979374820952
Regression-path_duration_std_non_medical,11.96,0.19794866372215733
word_id_screen_max_non_medical,11.98,0.14142135623730945
Regression-path_duration_max_non_medical,12.0,0.0
Average_whole-fixation_eye_openness_std_non_medical,12.0,0.0
Average_whole-fixation_eye_openness_min_non_medical,12.0,0.0
Average_whole-fixation_eye_openness_max_non_medical,12.0,0.0
word_id_screen_mean_non_medical,12.0,0.0
word_id_screen_std_non_medical,12.0,0.0
Average_whole-fixation_eye_openness_mean_non_medical,12.0,0.0
Total_duration_of_fixations_mean_non_medical,12.0,0.0
