Feature,Stability_Count
Number_of_fixations_max_medical_simple,50
Time_to_first_fixation_mean_clinical_original,50
Time_to_first_fixation_mean_clinical_simple,50
Time_to_first_fixation_mean_medical_original,50
Time_to_first_fixation_mean_medical_simple,50
Time_to_first_fixation_std_clinical_original,50
Time_to_first_fixation_std_clinical_simple,50
Time_to_first_fixation_std_medical_original,50
total_lemma_count_text_mean_clinical_simple,50
total_lemma_count_text_mean_medical_original,50
total_lemma_count_text_mean_medical_simple,50
total_lemma_count_text_std_medical_original,50
total_lemma_count_text_std_medical_simple,50
total_lemma_count_text_min_clinical_original,50
total_lemma_count_text_min_clinical_simple,49
total_lemma_count_text_min_medical_original,49
total_lemma_count_text_min_medical_simple,49
Duration_of_first_fixation_mean_medical_original,48
Time_to_first_fixation_min_clinical_original,47
total_lemma_count_text_max_medical_simple,47
Time_to_first_fixation_std_medical_simple,46
Time_to_first_fixation_min_clinical_simple,46
Time_to_first_fixation_min_medical_original,46
Time_to_first_fixation_max_medical_original,46
total_lemma_count_text_mean_clinical_original,46
Time_to_first_fixation_min_medical_simple,45
Time_to_first_fixation_max_clinical_original,45
Time_to_first_fixation_max_clinical_simple,45
Time_to_first_fixation_max_medical_simple,45
Duration_of_first_fixation_mean_clinical_original,45
Duration_of_first_fixation_mean_clinical_simple,45
Duration_of_first_fixation_mean_medical_simple,45
Duration_of_first_fixation_std_clinical_original,45
Duration_of_first_fixation_std_clinical_simple,44
total_lemma_count_screen_max_medical_simple,40
Number_of_fixations_max_medical_original,38
Selective_regression-path_duration_max_medical_original,34
Duration_of_first_Visit_min_medical_simple,29
Average_pupil_diameter_mean_medical_original,28
Peak_velocity_of_entry_saccade_mean_clinical_simple,27
total_lemma_count_text_max_clinical_original,19
Duration_of_first_fixation_std_medical_original,12
Minimum_duration_of_whole_fixations_max_clinical_original,12
Average_duration_of_Visit_std_clinical_simple,9
Number_of_fixations_max_clinical_simple,8
total_lemma_count_text_max_clinical_simple,7
total_lemma_count_text_max_medical_original,6
Duration_of_first_whole_fixation_min_clinical_original,6
Maximum_duration_of_fixations_max_medical_simple,5
Number_of_fixations_mean_clinical_original,5
Number_of_fixations_mean_clinical_simple,5
Number_of_fixations_mean_medical_original,5
Number_of_fixations_mean_medical_simple,5
Number_of_fixations_std_clinical_original,5
Number_of_fixations_std_clinical_simple,5
Number_of_fixations_std_medical_original,5
Number_of_fixations_std_medical_simple,5
Number_of_fixations_max_clinical_original,5
total_lemma_count_screen_max_medical_original,5
Maximum_duration_of_fixations_min_medical_simple,4
Maximum_duration_of_fixations_max_clinical_original,4
Maximum_duration_of_fixations_max_clinical_simple,4
Maximum_duration_of_fixations_max_medical_original,4
Minimum_duration_of_Visit_max_medical_original,4
Average_pupil_diameter_max_medical_simple,4
Time_to_exit_saccade_min_clinical_simple,2
Selective_regression-path_duration_mean_clinical_simple,2
Peak_velocity_of_entry_saccade_max_clinical_simple,2
Peak_velocity_of_exit_saccade_min_medical_original,2
Average_duration_of_whole_fixations_max_clinical_simple,2
Total_duration_of_whole_fixations_std_medical_simple,1
Minimum_duration_of_Visit_min_medical_simple,1
Minimum_duration_of_Visit_std_clinical_simple,1
Duration_of_first_fixation_std_medical_simple,1
Duration_of_first_fixation_min_clinical_simple,1
Time_to_entry_saccade_min_clinical_simple,1
total_lemma_count_screen_max_clinical_original,1
total_lemma_count_screen_max_clinical_simple,1
Time_to_entry_saccade_min_medical_original,1
Time_to_entry_saccade_min_medical_simple,1
Time_to_exit_saccade_min_clinical_original,1
Duration_of_first_fixation_max_medical_simple,1
Duration_of_first_fixation_min_medical_simple,1
