Feature,Stability_Count
Number_of_fixations_std_medical_simple,50
Number_of_fixations_max_clinical_original,50
Number_of_fixations_max_clinical_simple,50
Number_of_fixations_max_medical_original,50
Number_of_fixations_max_medical_simple,50
Time_to_first_fixation_mean_clinical_original,50
Time_to_first_fixation_mean_clinical_simple,50
Time_to_first_fixation_mean_medical_original,50
Time_to_first_fixation_mean_medical_simple,50
Time_to_first_fixation_std_clinical_original,50
Time_to_first_fixation_std_clinical_simple,50
Time_to_first_fixation_std_medical_original,50
Time_to_first_fixation_std_medical_simple,50
Time_to_first_fixation_min_clinical_original,50
Time_to_first_fixation_min_clinical_simple,50
Time_to_first_fixation_min_medical_original,50
Time_to_first_fixation_min_medical_simple,50
Time_to_first_fixation_max_clinical_original,50
Time_to_first_fixation_max_clinical_simple,50
Time_to_first_fixation_max_medical_original,50
Time_to_first_fixation_max_medical_simple,50
Duration_of_first_fixation_mean_clinical_original,50
Duration_of_first_fixation_mean_clinical_simple,50
Duration_of_first_fixation_mean_medical_original,50
Duration_of_first_fixation_mean_medical_simple,50
Duration_of_first_fixation_std_clinical_original,50
Duration_of_first_fixation_std_clinical_simple,50
Duration_of_first_fixation_std_medical_original,50
Duration_of_first_fixation_std_medical_simple,50
Duration_of_first_fixation_min_clinical_original,50
Duration_of_first_fixation_min_clinical_simple,50
Duration_of_first_fixation_min_medical_original,50
Duration_of_first_fixation_max_clinical_original,50
Duration_of_first_fixation_max_clinical_simple,50
Duration_of_first_fixation_max_medical_original,50
Average_pupil_diameter_mean_clinical_simple,50
Average_pupil_diameter_mean_medical_original,50
Average_pupil_diameter_mean_medical_simple,50
Average_pupil_diameter_std_medical_original,50
Average_pupil_diameter_std_medical_simple,50
total_lemma_count_screen_std_medical_original,50
total_lemma_count_screen_std_medical_simple,50
total_lemma_count_screen_min_clinical_original,50
total_lemma_count_screen_min_clinical_simple,50
total_lemma_count_screen_min_medical_original,50
total_lemma_count_screen_min_medical_simple,50
total_lemma_count_screen_max_clinical_original,50
total_lemma_count_screen_max_clinical_simple,50
total_lemma_count_screen_max_medical_original,50
total_lemma_count_screen_max_medical_simple,50
total_lemma_count_text_mean_clinical_original,50
total_lemma_count_text_mean_clinical_simple,50
total_lemma_count_text_mean_medical_original,50
total_lemma_count_text_mean_medical_simple,50
total_lemma_count_text_std_medical_original,50
total_lemma_count_text_std_medical_simple,50
total_lemma_count_text_min_clinical_original,50
total_lemma_count_text_min_clinical_simple,50
total_lemma_count_text_min_medical_original,50
total_lemma_count_text_min_medical_simple,50
Duration_of_first_fixation_max_medical_simple,49
Average_pupil_diameter_std_clinical_original,49
total_lemma_count_text_max_medical_original,49
Average_pupil_diameter_min_clinical_original,48
total_lemma_count_text_max_clinical_original,48
total_lemma_count_text_max_clinical_simple,48
total_lemma_count_text_max_medical_simple,47
Duration_of_first_fixation_min_medical_simple,46
Average_pupil_diameter_mean_clinical_original,46
Average_pupil_diameter_std_clinical_simple,46
Average_pupil_diameter_min_clinical_simple,45
Average_pupil_diameter_min_medical_original,45
Average_pupil_diameter_min_medical_simple,45
Average_pupil_diameter_max_clinical_original,45
Average_pupil_diameter_max_clinical_simple,43
Average_pupil_diameter_max_medical_original,39
Number_of_fixations_std_medical_original,38
Selective_regression-path_duration_max_medical_original,34
Duration_of_first_Visit_min_medical_simple,29
Peak_velocity_of_entry_saccade_mean_clinical_simple,27
total_lemma_count_screen_std_clinical_simple,14
Minimum_duration_of_whole_fixations_max_clinical_original,12
Average_duration_of_Visit_std_clinical_simple,9
Average_pupil_diameter_max_medical_simple,8
Number_of_fixations_std_clinical_simple,7
Duration_of_first_whole_fixation_min_clinical_original,6
Maximum_duration_of_fixations_max_medical_simple,5
Number_of_fixations_mean_clinical_original,5
Number_of_fixations_mean_clinical_simple,5
Number_of_fixations_mean_medical_original,5
Number_of_fixations_mean_medical_simple,5
Number_of_fixations_std_clinical_original,5
Maximum_duration_of_fixations_min_medical_simple,4
Maximum_duration_of_fixations_max_clinical_original,4
Maximum_duration_of_fixations_max_clinical_simple,4
Maximum_duration_of_fixations_max_medical_original,4
Minimum_duration_of_Visit_max_medical_original,4
total_lemma_count_screen_std_clinical_original,3
Total_duration_of_whole_fixations_mean_clinical_original,3
total_lemma_count_screen_mean_medical_simple,2
Time_to_exit_saccade_min_clinical_simple,2
Selective_regression-path_duration_mean_clinical_simple,2
Peak_velocity_of_entry_saccade_max_clinical_simple,2
Peak_velocity_of_exit_saccade_min_medical_original,2
Average_duration_of_whole_fixations_max_clinical_simple,2
Total_duration_of_whole_fixations_mean_clinical_simple,1
Total_duration_of_whole_fixations_std_medical_simple,1
Minimum_duration_of_Visit_min_medical_simple,1
Minimum_duration_of_Visit_std_clinical_simple,1
Time_to_entry_saccade_min_clinical_simple,1
Total_duration_of_whole_fixations_std_clinical_simple,1
Time_to_entry_saccade_min_medical_original,1
Time_to_entry_saccade_min_medical_simple,1
Total_duration_of_whole_fixations_std_clinical_original,1
Time_to_exit_saccade_min_clinical_original,1
