Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_mean_medical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_std_medical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_std_medical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_original,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Minimum_duration_of_Visit_mean_medical_simple,49
Maximum_duration_of_Visit_mean_medical_simple,49
Duration_of_first_Visit_mean_medical_simple,49
Selective_regression-path_duration_max_clinical_original,49
Average_whole-fixation_eye_openness_mean_clinical_simple,49
Average_whole-fixation_eye_openness_max_medical_simple,49
Selective_regression-path_duration_mean_clinical_original,45
Selective_regression-path_duration_mean_medical_original,44
Average_duration_of_Visit_max_medical_simple,36
Average_whole-fixation_eye_openness_std_medical_simple,36
Maximum_duration_of_Visit_max_clinical_simple,35
First-pass_duration_std_clinical_simple,34
Minimum_duration_of_Visit_max_medical_simple,14
Total_duration_of_Visit_std_medical_simple,13
Average_whole-fixation_eye_openness_std_medical_original,12
Average_whole-fixation_eye_openness_mean_medical_simple,9
Time_to_first_Visit_mean_clinical_simple,4
First-pass_duration_mean_clinical_simple,4
Average_whole-fixation_eye_openness_mean_medical_original,3
Average_duration_of_Visit_max_medical_original,3
Minimum_duration_of_Visit_max_medical_original,3
First-pass_regression_mean_clinical_simple,1
Number_of_Visits_mean_medical_simple,1
Number_of_Visits_max_medical_simple,1
Duration_of_first_Visit_max_medical_simple,1
Time_to_first_Visit_std_clinical_simple,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_std_clinical_original,1
Average_whole-fixation_eye_openness_max_medical_original,1
First-pass_first_fixation_duration_mean_clinical_simple,1
Maximum_duration_of_fixations_max_medical_simple,1
Maximum_duration_of_whole_fixations_max_medical_simple,1
