Feature,Stability_Count
Total_duration_of_Visit_std_clinical_simple,50
Total_duration_of_Visit_std_medical_simple,50
Total_duration_of_Visit_max_medical_simple,50
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_mean_medical_simple,50
Average_duration_of_Visit_std_clinical_original,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Average_duration_of_Visit_max_medical_original,50
Average_duration_of_Visit_max_medical_simple,50
Minimum_duration_of_Visit_mean_clinical_original,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_mean_medical_simple,50
Minimum_duration_of_Visit_std_clinical_original,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_std_medical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_max_medical_original,50
Minimum_duration_of_Visit_max_medical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_mean_medical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_max_medical_original,50
Maximum_duration_of_Visit_max_medical_simple,50
Time_to_first_Visit_mean_clinical_simple,50
Time_to_first_Visit_std_clinical_simple,50
Time_to_first_Visit_std_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_mean_medical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_std_medical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Duration_of_first_Visit_max_medical_simple,50
First-pass_first_fixation_duration_mean_clinical_simple,50
First-pass_duration_mean_clinical_simple,50
First-pass_duration_std_clinical_simple,50
Selective_regression-path_duration_mean_clinical_original,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_original,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_original,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_original,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_mean_clinical_simple,50
Average_whole-fixation_eye_openness_mean_medical_original,50
Average_whole-fixation_eye_openness_mean_medical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_std_medical_original,50
Average_whole-fixation_eye_openness_std_medical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_whole-fixation_eye_openness_max_medical_simple,50
Maximum_duration_of_fixations_max_medical_simple,49
Total_duration_of_Visit_mean_medical_simple,49
Number_of_Visits_max_medical_simple,49
Time_to_first_Visit_mean_medical_simple,49
Total_duration_of_Visit_max_clinical_simple,48
Maximum_duration_of_Visit_max_clinical_original,48
Average_whole-fixation_eye_openness_max_medical_original,48
Maximum_duration_of_whole_fixations_max_medical_simple,47
Total_duration_of_Visit_mean_clinical_simple,47
First-pass_first_fixation_duration_max_medical_original,47
First-pass_duration_max_clinical_simple,47
Maximum_duration_of_Visit_min_clinical_simple,46
Average_duration_of_Visit_min_clinical_simple,45
Number_of_Visits_mean_medical_simple,42
Average_duration_of_Visit_mean_clinical_original,41
Average_duration_of_Visit_std_medical_original,36
First-pass_regression_mean_clinical_simple,34
Average_duration_of_Visit_max_clinical_original,27
Minimum_duration_of_Visit_max_clinical_original,24
Time_to_first_Visit_max_medical_simple,23
