Feature,Stability_Count
Duration_of_first_fixation_mean_medical_original,50
Duration_of_first_fixation_mean_medical_simple,50
Duration_of_first_fixation_std_clinical_original,50
Duration_of_first_fixation_std_clinical_simple,50
Duration_of_first_fixation_std_medical_original,50
Duration_of_first_fixation_std_medical_simple,50
Duration_of_first_fixation_min_clinical_original,50
Duration_of_first_fixation_min_clinical_simple,50
Duration_of_first_fixation_min_medical_original,50
Duration_of_first_fixation_min_medical_simple,50
Duration_of_first_fixation_max_medical_original,50
Duration_of_first_fixation_max_medical_simple,50
Average_pupil_diameter_mean_clinical_original,50
word_frequency_screen_max_medical,50
word_frequency_text_mean_medical,50
word_frequency_text_std_medical,50
word_frequency_text_min_medical,50
word_frequency_text_max_medical,50
total_lemma_count_screen_mean_medical,50
total_lemma_count_screen_std_medical,50
total_lemma_count_screen_min_medical,50
Duration_of_first_fixation_max_clinical_original,49
Average_pupil_diameter_mean_clinical_simple,49
Average_pupil_diameter_mean_medical_original,49
total_lemma_count_text_max_medical,49
Duration_of_first_fixation_max_clinical_simple,48
Average_pupil_diameter_mean_medical_simple,48
total_lemma_count_screen_max_medical,48
Average_pupil_diameter_std_clinical_original,47
Average_pupil_diameter_std_clinical_simple,47
Average_pupil_diameter_std_medical_original,47
Average_pupil_diameter_std_medical_simple,47
Average_pupil_diameter_min_clinical_original,44
word_frequency_screen_min_medical,43
total_lemma_count_text_mean_medical,43
Selective_regression-path_duration_max_medical_original,34
Average_pupil_diameter_min_clinical_simple,30
Duration_of_first_Visit_min_medical_simple,29
Peak_velocity_of_exit_saccade_mean_medical,26
total_word_count_text_max_medical,24
Duration_of_first_fixation_mean_clinical_simple,20
total_lemma_count_text_std_medical,15
Minimum_duration_of_whole_fixations_max_clinical_original,12
word_frequency_screen_std_medical,9
Average_duration_of_Visit_std_clinical_simple,8
Duration_of_first_fixation_mean_clinical_original,6
word_frequency_screen_mean_medical,6
total_lemma_count_text_min_medical,5
Average_duration_of_Visit_min_medical_simple,5
Duration_of_first_whole_fixation_min_clinical_original,5
Average_duration_of_whole_fixations_mean_medical_original,4
Minimum_duration_of_Visit_max_medical_original,4
Peak_velocity_of_exit_saccade_min_medical_original,4
Time_to_first_fixation_min_clinical_simple,3
Time_to_first_fixation_min_medical_original,3
Time_to_first_fixation_min_medical_simple,3
Time_to_first_fixation_max_clinical_original,3
Time_to_first_fixation_max_clinical_simple,3
Time_to_first_fixation_max_medical_original,3
Time_to_first_fixation_max_medical_simple,3
Average_pupil_diameter_min_medical_simple,3
Average_pupil_diameter_max_medical_simple,3
Selective_regression-path_duration_max_medical,2
Peak_velocity_of_entry_saccade_max_clinical_simple,2
Average_pupil_diameter_max_clinical_original,2
Time_to_first_fixation_min_clinical_original,1
Time_to_exit_saccade_min_medical,1
Minimum_duration_of_Visit_std_clinical_simple,1
Time_to_entry_saccade_min_clinical_simple,1
Total_duration_of_whole_fixations_max_medical_original,1
Average_duration_of_whole_fixations_std_clinical_simple,1
Maximum_duration_of_Visit_max_medical,1
Average_duration_of_whole_fixations_max_clinical_simple,1
Minimum_duration_of_whole_fixations_max_clinical_simple,1
Minimum_duration_of_whole_fixations_min_medical,1
Time_to_entry_saccade_min_medical_simple,1
Time_to_exit_saccade_min_clinical_original,1
Peak_velocity_of_entry_saccade_mean_medical,1
