Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_mean_medical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Average_duration_of_Visit_max_medical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_mean_medical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_std_medical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_max_medical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_mean_medical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_mean_medical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_std_medical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_original,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_original,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_mean_clinical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_max_medical,50
Duration_of_first_Visit_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
First-pass_duration_std_clinical_simple,49
Selective_regression-path_duration_mean_clinical_original,49
Average_whole-fixation_eye_openness_max_medical_simple,49
Maximum_duration_of_Visit_max_clinical_simple,48
Selective_regression-path_duration_mean_medical_original,48
Average_duration_of_Visit_mean_medical,47
Total_duration_of_Visit_std_medical_simple,46
Average_whole-fixation_eye_openness_std_medical_simple,46
Average_whole-fixation_eye_openness_std_medical_original,42
Maximum_duration_of_Visit_std_medical,40
Average_whole-fixation_eye_openness_mean_medical_simple,39
Duration_of_first_Visit_max_medical_simple,37
Time_to_first_Visit_mean_clinical_simple,32
First-pass_duration_mean_clinical_simple,31
Minimum_duration_of_Visit_max_medical_original,30
First-pass_duration_max_medical,20
Average_whole-fixation_eye_openness_mean_medical_original,19
Duration_of_first_Visit_std_medical,9
Average_whole-fixation_eye_openness_max_medical_original,6
Average_whole-fixation_eye_openness_std_medical,6
Time_to_first_Visit_std_clinical_simple,6
First-pass_first_fixation_duration_std_medical,5
Average_duration_of_Visit_max_medical_original,5
Duration_of_first_Visit_mean_medical,5
First-pass_first_fixation_duration_mean_clinical_simple,4
Maximum_duration_of_Visit_mean_medical,3
First-pass_first_fixation_duration_mean_medical,3
Total_duration_of_Visit_max_medical_simple,2
Total_duration_of_Visit_max_clinical_simple,2
Number_of_Visits_max_medical_simple,2
Time_to_first_Visit_std_medical_simple,2
Minimum_duration_of_Visit_mean_clinical_original,2
Minimum_duration_of_Visit_std_clinical_original,2
Maximum_duration_of_Visit_max_medical_original,2
Total_duration_of_Visit_std_clinical_simple,2
First-pass_regression_mean_clinical_simple,1
Total_duration_of_Visit_mean_medical_simple,1
Number_of_Visits_mean_medical_simple,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_std_clinical_original,1
Average_whole-fixation_eye_openness_mean_medical,1
Average_whole-fixation_eye_openness_max_medical,1
First-pass_first_fixation_duration_max_medical_original,1
Maximum_duration_of_fixations_max_medical_simple,1
Maximum_duration_of_whole_fixations_max_medical_simple,1
