Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_duration_of_Visit_std_medical_simple,49
Maximum_duration_of_Visit_mean_clinical_simple,49
Selective_regression-path_duration_mean_medical_simple,49
Average_whole-fixation_eye_openness_std_clinical_simple,49
Maximum_duration_of_Visit_max_medical,49
Selective_regression-path_duration_max_clinical_simple,48
Selective_regression-path_duration_std_clinical_original,47
Average_whole-fixation_eye_openness_mean_clinical_simple,47
Average_duration_of_Visit_mean_medical_simple,46
Minimum_duration_of_Visit_std_medical_simple,46
Duration_of_first_Visit_max_clinical_simple,46
Average_whole-fixation_eye_openness_max_medical_simple,44
Minimum_duration_of_Visit_std_medical,44
Duration_of_first_Visit_std_medical_simple,43
Maximum_duration_of_Visit_max_medical_simple,40
Average_duration_of_Visit_std_medical,40
Maximum_duration_of_Visit_mean_medical_simple,37
Selective_regression-path_duration_max_clinical_original,37
Minimum_duration_of_Visit_mean_medical_simple,27
Duration_of_first_Visit_mean_medical_simple,9
Selective_regression-path_duration_mean_clinical_original,9
Selective_regression-path_duration_mean_medical_original,9
Average_whole-fixation_eye_openness_std_medical_simple,8
Duration_of_first_Visit_max_medical,4
Maximum_duration_of_Visit_max_clinical_simple,3
First-pass_duration_std_clinical_simple,3
Average_whole-fixation_eye_openness_mean_medical_simple,2
Minimum_duration_of_Visit_max_medical_original,2
Total_duration_of_Visit_std_medical_simple,1
Number_of_Visits_max_medical_simple,1
Average_duration_of_Visit_max_medical_original,1
Average_duration_of_Visit_max_medical_simple,1
Minimum_duration_of_Visit_max_medical_simple,1
Duration_of_first_Visit_max_medical_simple,1
Maximum_duration_of_Visit_std_medical,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_mean_medical_original,1
Average_whole-fixation_eye_openness_std_medical_original,1
Average_whole-fixation_eye_openness_max_medical_original,1
Average_whole-fixation_eye_openness_mean_medical,1
Average_whole-fixation_eye_openness_std_medical,1
First-pass_duration_mean_clinical_simple,1
