Feature,Stability_Count
Total_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_mean_medical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Average_duration_of_Visit_max_medical_original,50
Average_duration_of_Visit_max_medical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_mean_medical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_std_medical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_max_medical_original,50
Minimum_duration_of_Visit_max_medical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_mean_medical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_max_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_mean_medical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_std_medical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Duration_of_first_Visit_max_medical_simple,50
First-pass_duration_mean_clinical_simple,50
First-pass_duration_std_clinical_simple,50
Selective_regression-path_duration_mean_clinical_original,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_original,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_original,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_original,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_mean_clinical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_std_medical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_whole-fixation_eye_openness_max_medical_simple,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Time_to_first_Visit_mean_clinical_simple,49
Time_to_first_Visit_std_clinical_simple,48
Average_whole-fixation_eye_openness_mean_medical_simple,48
Average_whole-fixation_eye_openness_std_medical_original,48
Average_whole-fixation_eye_openness_mean_medical_original,47
First-pass_first_fixation_duration_mean_clinical_simple,45
Total_duration_of_Visit_std_clinical_simple,43
First-pass_first_fixation_duration_std_medical,43
Average_whole-fixation_eye_openness_std_medical,43
Time_to_first_Visit_mean_medical_simple,42
First-pass_first_fixation_duration_mean_medical,42
Time_to_first_Visit_std_medical_simple,41
Average_whole-fixation_eye_openness_max_medical_original,38
Total_duration_of_Visit_mean_medical_simple,33
Total_duration_of_Visit_max_medical_simple,31
Duration_of_first_whole_fixation_std_medical,24
Maximum_duration_of_fixations_max_medical_simple,24
Minimum_duration_of_Visit_std_clinical_original,24
Number_of_Visits_max_medical_simple,21
Maximum_duration_of_whole_fixations_max_medical_simple,17
Average_whole-fixation_eye_openness_mean_medical,17
Total_duration_of_Visit_max_clinical_simple,15
First-pass_duration_max_clinical_simple,14
Average_duration_of_Visit_std_clinical_original,13
Minimum_duration_of_Visit_mean_clinical_original,12
Maximum_duration_of_Visit_min_clinical_simple,12
Average_duration_of_Visit_min_clinical_simple,10
Total_duration_of_Visit_mean_clinical_simple,9
Maximum_duration_of_Visit_max_medical_original,8
First-pass_regression_mean_clinical_simple,4
Time_to_first_Visit_max_medical,3
Maximum_duration_of_Visit_max_clinical_original,3
Average_duration_of_Visit_mean_clinical_original,2
Time_to_first_Visit_mean_medical,2
Time_to_first_Visit_std_medical,2
Average_whole-fixation_eye_openness_max_medical,2
First-pass_first_fixation_duration_std_clinical_simple,2
tag.id_mean_clinical_original,1
Number_of_Visits_mean_medical_simple,1
Number_of_Visits_std_medical_simple,1
Time_to_first_Visit_max_medical_original,1
Time_to_first_Visit_max_medical_simple,1
Total_duration_of_Visit_std_medical,1
Total_duration_of_Visit_max_medical,1
Peak_velocity_of_exit_saccade_min_clinical_simple,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_std_clinical_original,1
Average_whole-fixation_eye_openness_max_clinical_original,1
First-pass_duration_mean_medical,1
Time_to_exit_saccade_min_medical_original,1
Average_duration_of_Visit_mean_medical_original,1
Average_duration_of_Visit_std_medical_original,1
Minimum_duration_of_Visit_std_medical_original,1
First-pass_first_fixation_duration_max_medical_original,1
Duration_of_first_whole_fixation_mean_medical,1
First-pass_regression_mean_medical,1
