Feature,Stability_Count
word_frequency_screen_max_content,50
word_frequency_text_mean_content,50
word_frequency_text_std_content,50
word_frequency_text_min_content,50
word_frequency_text_max_content,50
total_lemma_count_screen_mean_content,50
total_lemma_count_screen_std_content,50
total_lemma_count_screen_min_content,50
total_lemma_count_screen_max_content,50
Average_pupil_diameter_std_clinical_original,49
Average_pupil_diameter_std_clinical_simple,49
Average_pupil_diameter_std_medical_original,49
Average_pupil_diameter_std_medical_simple,49
Average_pupil_diameter_min_clinical_original,49
Average_pupil_diameter_min_clinical_simple,49
Average_pupil_diameter_min_medical_original,49
Average_pupil_diameter_min_medical_simple,49
Average_pupil_diameter_max_clinical_original,49
Average_pupil_diameter_max_clinical_simple,49
Average_pupil_diameter_max_medical_original,49
Total_duration_of_whole_fixations_mean_medical_original,49
total_lemma_count_text_mean_content,49
Average_pupil_diameter_max_medical_simple,48
Total_duration_of_whole_fixations_mean_medical_simple,48
Average_pupil_diameter_mean_medical_simple,47
word_frequency_screen_min_content,47
Total_duration_of_whole_fixations_std_clinical_original,46
total_lemma_count_text_std_content,46
total_lemma_count_text_max_content,45
Average_pupil_diameter_mean_medical_original,44
Total_duration_of_whole_fixations_mean_clinical_simple,44
Total_duration_of_whole_fixations_mean_clinical_original,43
Total_duration_of_whole_fixations_std_clinical_simple,43
total_lemma_count_text_min_content,42
Total_duration_of_whole_fixations_max_clinical_simple,39
Total_duration_of_whole_fixations_max_clinical_original,38
Selective_regression-path_duration_max_medical_original,34
Total_duration_of_whole_fixations_max_medical_original,30
Duration_of_first_Visit_min_medical_simple,29
Peak_velocity_of_exit_saccade_mean_content,26
Total_duration_of_whole_fixations_std_medical_simple,18
Total_duration_of_whole_fixations_std_medical_original,14
Average_pupil_diameter_mean_clinical_simple,12
Minimum_duration_of_whole_fixations_max_clinical_original,12
Average_pupil_diameter_mean_clinical_original,11
Duration_of_first_fixation_max_medical_simple,9
Minimum_duration_of_Visit_std_clinical_simple,8
Duration_of_first_fixation_max_medical_original,7
Duration_of_first_fixation_max_clinical_original,6
Duration_of_first_fixation_max_clinical_simple,6
word_frequency_screen_std_content,6
Average_duration_of_Visit_min_medical_simple,5
Minimum_duration_of_Visit_max_medical_original,4
Average_duration_of_whole_fixations_mean_medical_original,3
Duration_of_first_fixation_min_medical_simple,2
Peak_velocity_of_exit_saccade_min_clinical_original,2
Time_to_exit_saccade_min_content,2
Peak_velocity_of_entry_saccade_min_content,2
Selective_regression-path_duration_max_content,2
Peak_velocity_of_entry_saccade_max_clinical_simple,2
Minimum_duration_of_whole_fixations_max_medical_simple,2
Total_duration_of_whole_fixations_max_medical_simple,2
Peak_velocity_of_exit_saccade_min_medical_original,2
Average_duration_of_whole_fixations_max_clinical_simple,2
Time_to_first_fixation_min_clinical_original,1
Time_to_first_fixation_min_clinical_simple,1
Time_to_first_fixation_min_medical_original,1
Time_to_first_fixation_min_medical_simple,1
Time_to_first_fixation_max_clinical_original,1
Time_to_first_fixation_max_clinical_simple,1
Time_to_first_fixation_max_medical_original,1
Time_to_first_fixation_max_medical_simple,1
Duration_of_first_fixation_mean_clinical_original,1
Duration_of_first_fixation_mean_clinical_simple,1
Duration_of_first_fixation_mean_medical_original,1
Duration_of_first_fixation_mean_medical_simple,1
Duration_of_first_fixation_std_clinical_original,1
Duration_of_first_fixation_std_clinical_simple,1
Duration_of_first_fixation_std_medical_original,1
Duration_of_first_fixation_std_medical_simple,1
Duration_of_first_fixation_min_clinical_original,1
Duration_of_first_fixation_min_clinical_simple,1
Duration_of_first_fixation_min_medical_original,1
Peak_velocity_of_exit_saccade_min_content,1
Average_duration_of_whole_fixations_max_medical_simple,1
total_word_count_text_min_content,1
total_word_count_text_max_content,1
word_frequency_screen_mean_content,1
total_word_count_screen_std_content,1
Average_duration_of_Visit_std_clinical_simple,1
Time_to_entry_saccade_min_clinical_simple,1
Maximum_duration_of_Visit_max_medical,1
Average_duration_of_whole_fixations_std_content,1
Minimum_duration_of_whole_fixations_mean_medical_original,1
Average_duration_of_whole_fixations_mean_clinical_original,1
Time_to_entry_saccade_min_medical_original,1
Time_to_exit_saccade_min_clinical_original,1
