Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_max_content,50
Duration_of_first_Visit_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Average_duration_of_Visit_mean_medical_simple,49
Minimum_duration_of_Visit_std_medical_simple,49
Duration_of_first_Visit_std_medical_simple,49
Selective_regression-path_duration_std_clinical_original,49
Average_whole-fixation_eye_openness_mean_clinical_simple,49
Minimum_duration_of_Visit_mean_medical_simple,48
Maximum_duration_of_Visit_mean_medical_simple,48
Duration_of_first_Visit_mean_medical_simple,48
Selective_regression-path_duration_max_clinical_original,48
Maximum_duration_of_Visit_std_content,48
Average_whole-fixation_eye_openness_max_medical_simple,47
Selective_regression-path_duration_mean_clinical_original,43
Selective_regression-path_duration_mean_medical_original,42
Duration_of_first_Visit_max_medical,34
Average_whole-fixation_eye_openness_std_medical_simple,33
Maximum_duration_of_Visit_max_clinical_simple,32
Minimum_duration_of_Visit_mean_medical,32
First-pass_duration_std_clinical_simple,31
Average_duration_of_Visit_max_medical_simple,29
Minimum_duration_of_Visit_mean_content,26
Average_whole-fixation_eye_openness_mean_content,12
Duration_of_first_Visit_std_content,12
Minimum_duration_of_Visit_max_medical_simple,10
Average_duration_of_Visit_mean_content,10
Average_whole-fixation_eye_openness_std_medical_original,9
Average_whole-fixation_eye_openness_std_content,9
Average_whole-fixation_eye_openness_mean_medical_simple,8
Average_duration_of_Visit_mean_medical,6
Total_duration_of_Visit_std_medical_simple,5
First-pass_duration_mean_clinical_simple,4
Minimum_duration_of_Visit_max_medical_original,3
First-pass_duration_max_content,3
Maximum_duration_of_Visit_std_medical,2
Average_whole-fixation_eye_openness_mean_medical_original,2
Average_duration_of_Visit_max_medical_original,2
First-pass_regression_mean_clinical_simple,1
Number_of_Visits_max_medical_simple,1
Total_duration_of_Visit_max_content,1
Number_of_Visits_max_content,1
Duration_of_first_Visit_max_medical_simple,1
Time_to_first_Visit_mean_clinical_simple,1
Time_to_first_Visit_std_clinical_simple,1
Duration_of_first_Visit_mean_content,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_std_clinical_original,1
Average_whole-fixation_eye_openness_max_medical_original,1
Average_whole-fixation_eye_openness_mean_medical,1
Average_whole-fixation_eye_openness_std_medical,1
Average_whole-fixation_eye_openness_max_medical,1
Average_whole-fixation_eye_openness_max_content,1
First-pass_first_fixation_duration_mean_medical,1
First-pass_first_fixation_duration_mean_clinical_simple,1
Maximum_duration_of_fixations_max_medical_simple,1
Maximum_duration_of_whole_fixations_max_medical_simple,1
