Feature,Stability_Count
Average_pupil_diameter_mean_clinical_original,50
Average_pupil_diameter_mean_clinical_simple,50
Average_pupil_diameter_mean_medical_original,50
Average_pupil_diameter_mean_medical_simple,50
Average_pupil_diameter_std_clinical_original,50
Average_pupil_diameter_std_clinical_simple,50
Average_pupil_diameter_std_medical_original,50
Average_pupil_diameter_std_medical_simple,50
Average_pupil_diameter_min_clinical_original,50
Average_pupil_diameter_min_clinical_simple,50
Average_pupil_diameter_min_medical_original,50
Average_pupil_diameter_min_medical_simple,50
Average_pupil_diameter_max_clinical_original,50
Average_pupil_diameter_max_clinical_simple,50
Average_pupil_diameter_max_medical_original,50
Average_pupil_diameter_max_medical_simple,50
Total_duration_of_whole_fixations_mean_clinical_simple,50
Total_duration_of_whole_fixations_mean_medical_original,50
Total_duration_of_whole_fixations_mean_medical_simple,50
Total_duration_of_whole_fixations_std_clinical_original,50
Total_duration_of_whole_fixations_std_medical_original,50
Total_duration_of_whole_fixations_std_medical_simple,50
Total_duration_of_whole_fixations_max_clinical_original,50
Total_duration_of_whole_fixations_max_clinical_simple,50
Total_duration_of_whole_fixations_max_medical_simple,50
Average_duration_of_whole_fixations_mean_clinical_original,50
Average_duration_of_whole_fixations_mean_clinical_simple,50
Average_duration_of_whole_fixations_mean_medical_original,50
Average_duration_of_whole_fixations_std_clinical_original,50
Average_duration_of_whole_fixations_std_clinical_simple,50
Average_duration_of_whole_fixations_std_medical_original,50
total_word_count_screen_min_content,50
total_word_count_screen_max_content,50
total_word_count_text_mean_content,50
total_word_count_text_std_content,50
total_word_count_text_min_content,50
total_word_count_text_max_content,50
word_frequency_screen_mean_content,50
word_frequency_screen_std_content,50
word_frequency_screen_min_content,50
word_frequency_screen_max_content,50
word_frequency_text_mean_content,50
word_frequency_text_std_content,50
word_frequency_text_min_content,50
word_frequency_text_max_content,50
total_lemma_count_screen_mean_content,50
total_lemma_count_screen_std_content,50
total_lemma_count_screen_min_content,50
total_lemma_count_screen_max_content,50
total_lemma_count_text_mean_content,50
total_lemma_count_text_std_content,50
total_lemma_count_text_min_content,50
Total_duration_of_whole_fixations_mean_clinical_original,49
Total_duration_of_whole_fixations_std_clinical_simple,49
Total_duration_of_whole_fixations_max_medical_original,49
Average_duration_of_whole_fixations_mean_medical_simple,49
Average_duration_of_whole_fixations_min_clinical_simple,49
Average_duration_of_whole_fixations_max_medical_original,49
Average_duration_of_whole_fixations_max_medical_simple,49
Minimum_duration_of_whole_fixations_mean_clinical_original,49
Minimum_duration_of_whole_fixations_mean_medical_simple,49
Average_duration_of_whole_fixations_std_medical_simple,48
Average_duration_of_whole_fixations_min_clinical_original,48
Average_duration_of_whole_fixations_min_medical_original,48
