Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Maximum_duration_of_Visit_std_medical_simple,49
Duration_of_first_Visit_std_clinical_simple,49
Selective_regression-path_duration_std_medical_original,49
Average_whole-fixation_eye_openness_max_clinical_simple,49
Average_duration_of_Visit_std_content,49
Duration_of_first_Visit_max_content,49
Average_duration_of_Visit_std_medical_simple,48
Maximum_duration_of_Visit_mean_clinical_simple,48
Maximum_duration_of_Visit_std_clinical_simple,48
Selective_regression-path_duration_mean_medical_simple,46
Minimum_duration_of_Visit_std_content,46
Average_whole-fixation_eye_openness_std_clinical_simple,45
Selective_regression-path_duration_max_clinical_simple,40
Duration_of_first_Visit_max_clinical_simple,39
Average_whole-fixation_eye_openness_mean_clinical_simple,36
Selective_regression-path_duration_std_clinical_original,33
Maximum_duration_of_Visit_max_medical,33
Average_whole-fixation_eye_openness_max_medical_simple,21
Minimum_duration_of_Visit_std_medical_simple,9
Average_duration_of_Visit_mean_medical_simple,8
Minimum_duration_of_Visit_std_medical,6
Maximum_duration_of_Visit_max_medical_simple,5
Maximum_duration_of_Visit_mean_medical_simple,5
Duration_of_first_Visit_std_medical_simple,5
Selective_regression-path_duration_max_clinical_original,4
Average_duration_of_Visit_std_medical,4
Selective_regression-path_duration_mean_medical_original,3
Average_whole-fixation_eye_openness_std_medical_simple,3
Selective_regression-path_duration_mean_clinical_original,3
Minimum_duration_of_Visit_mean_medical_simple,2
Maximum_duration_of_Visit_std_content,2
Maximum_duration_of_Visit_max_clinical_simple,1
Total_duration_of_Visit_std_medical_simple,1
Minimum_duration_of_Visit_max_medical_original,1
Duration_of_first_Visit_max_medical,1
Average_duration_of_Visit_max_medical_simple,1
Duration_of_first_Visit_mean_medical_simple,1
Average_whole-fixation_eye_openness_mean_medical_original,1
Average_whole-fixation_eye_openness_mean_medical_simple,1
Average_whole-fixation_eye_openness_std_medical_original,1
Average_whole-fixation_eye_openness_max_medical_original,1
Average_whole-fixation_eye_openness_mean_medical,1
Average_whole-fixation_eye_openness_std_medical,1
Average_whole-fixation_eye_openness_mean_content,1
Average_whole-fixation_eye_openness_std_content,1
