Feature,Stability_Count
Average_duration_of_Visit_mean_clinical_simple,50
Average_duration_of_Visit_mean_medical_simple,50
Average_duration_of_Visit_std_clinical_simple,50
Average_duration_of_Visit_std_medical_simple,50
Average_duration_of_Visit_max_clinical_simple,50
Average_duration_of_Visit_max_medical_simple,50
Minimum_duration_of_Visit_mean_clinical_simple,50
Minimum_duration_of_Visit_mean_medical_simple,50
Minimum_duration_of_Visit_std_clinical_simple,50
Minimum_duration_of_Visit_std_medical_simple,50
Minimum_duration_of_Visit_max_clinical_simple,50
Minimum_duration_of_Visit_max_medical_simple,50
Maximum_duration_of_Visit_mean_clinical_simple,50
Maximum_duration_of_Visit_mean_medical_simple,50
Maximum_duration_of_Visit_std_clinical_simple,50
Maximum_duration_of_Visit_std_medical_simple,50
Maximum_duration_of_Visit_max_clinical_simple,50
Maximum_duration_of_Visit_max_medical_simple,50
Duration_of_first_Visit_mean_clinical_simple,50
Duration_of_first_Visit_mean_medical_simple,50
Duration_of_first_Visit_std_clinical_simple,50
Duration_of_first_Visit_std_medical_simple,50
Duration_of_first_Visit_max_clinical_simple,50
Selective_regression-path_duration_mean_clinical_simple,50
Selective_regression-path_duration_mean_medical_simple,50
Selective_regression-path_duration_std_clinical_original,50
Selective_regression-path_duration_std_clinical_simple,50
Selective_regression-path_duration_std_medical_original,50
Selective_regression-path_duration_std_medical_simple,50
Selective_regression-path_duration_max_clinical_original,50
Selective_regression-path_duration_max_clinical_simple,50
Selective_regression-path_duration_max_medical_original,50
Selective_regression-path_duration_max_medical_simple,50
Average_whole-fixation_eye_openness_mean_clinical_simple,50
Average_whole-fixation_eye_openness_std_clinical_simple,50
Average_whole-fixation_eye_openness_max_clinical_simple,50
Average_whole-fixation_eye_openness_max_medical_simple,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_max_medical,50
Duration_of_first_Visit_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
First-pass_duration_std_clinical_simple,49
Selective_regression-path_duration_mean_clinical_original,49
Selective_regression-path_duration_mean_medical_original,49
Total_duration_of_Visit_std_medical_simple,48
Average_whole-fixation_eye_openness_std_medical_simple,48
Maximum_duration_of_Visit_std_medical,48
Duration_of_first_Visit_max_medical_simple,46
Average_whole-fixation_eye_openness_mean_content,46
Average_whole-fixation_eye_openness_std_medical_original,45
Duration_of_first_Visit_mean_content,45
Average_whole-fixation_eye_openness_std_content,45
Maximum_duration_of_Visit_mean_content,44
First-pass_duration_mean_clinical_simple,42
Average_whole-fixation_eye_openness_mean_medical_simple,42
Time_to_first_Visit_mean_clinical_simple,41
First-pass_duration_max_content,41
Minimum_duration_of_Visit_max_medical_original,39
Average_whole-fixation_eye_openness_mean_medical_original,28
First-pass_duration_max_medical,26
Duration_of_first_Visit_std_medical,17
Duration_of_first_Visit_mean_medical,11
Time_to_first_Visit_std_clinical_simple,11
Average_whole-fixation_eye_openness_max_medical_original,10
Average_duration_of_Visit_max_medical_original,8
Average_whole-fixation_eye_openness_std_medical,8
First-pass_first_fixation_duration_mean_clinical_simple,8
Maximum_duration_of_Visit_mean_medical,6
First-pass_first_fixation_duration_mean_medical,6
First-pass_first_fixation_duration_std_medical,5
Number_of_Visits_max_medical_simple,3
Time_to_first_Visit_std_medical_simple,3
Average_whole-fixation_eye_openness_max_content,3
Total_duration_of_Visit_max_medical_simple,2
First-pass_regression_mean_clinical_simple,2
Total_duration_of_Visit_max_clinical_simple,2
Minimum_duration_of_Visit_mean_clinical_original,2
Minimum_duration_of_Visit_std_clinical_original,2
Maximum_duration_of_Visit_max_medical_original,2
Total_duration_of_Visit_std_clinical_simple,2
Time_to_first_Visit_mean_medical_simple,2
Maximum_duration_of_fixations_max_medical_simple,2
Total_duration_of_Visit_mean_medical_simple,1
Number_of_Visits_mean_medical_simple,1
Total_duration_of_Visit_std_content,1
Total_duration_of_Visit_max_content,1
Number_of_Visits_max_content,1
Average_whole-fixation_eye_openness_mean_clinical_original,1
Average_whole-fixation_eye_openness_std_clinical_original,1
Average_whole-fixation_eye_openness_mean_medical,1
Average_whole-fixation_eye_openness_max_medical,1
Average_duration_of_Visit_std_clinical_original,1
First-pass_first_fixation_duration_max_medical_original,1
Maximum_duration_of_whole_fixations_max_medical_simple,1
