Feature,Stability_Count
Number_of_fixations_mean_content,50
Number_of_fixations_std_content,50
Number_of_fixations_max_content,50
Time_to_first_fixation_mean_content,50
Time_to_first_fixation_std_content,50
Time_to_first_fixation_min_content,50
Time_to_first_fixation_max_content,50
Duration_of_first_fixation_mean_content,50
Duration_of_first_fixation_std_content,50
Duration_of_first_fixation_min_content,50
Duration_of_first_fixation_max_content,50
Average_pupil_diameter_mean_content,50
Average_pupil_diameter_std_content,50
Average_pupil_diameter_min_content,50
Total_duration_of_whole_fixations_mean_content,50
Total_duration_of_whole_fixations_std_content,50
Total_duration_of_whole_fixations_max_content,50
word_frequency_text_mean_content,50
word_frequency_text_std_content,50
word_frequency_text_min_content,50
word_frequency_text_max_content,50
total_lemma_count_screen_mean_content,50
total_lemma_count_screen_std_content,50
total_lemma_count_screen_min_content,50
Average_duration_of_whole_fixations_mean_content,49
word_frequency_screen_max_content,48
word_frequency_screen_min_content,47
total_lemma_count_screen_max_content,47
Average_duration_of_whole_fixations_std_content,45
Average_duration_of_whole_fixations_min_content,45
Average_duration_of_whole_fixations_max_content,45
Maximum_duration_of_fixations_max_content,44
Average_pupil_diameter_max_content,44
Minimum_duration_of_whole_fixations_mean_content,43
total_lemma_count_text_max_content,43
Selective_regression-path_duration_max_content,37
Time_to_exit_saccade_min_content,36
Peak_velocity_of_entry_saccade_min_content,35
Peak_velocity_of_exit_saccade_min_content,34
Minimum_duration_of_whole_fixations_max_content,31
total_lemma_count_text_mean_content,12
Minimum_duration_of_whole_fixations_std_content,12
total_word_count_text_max_content,9
word_frequency_screen_std_content,9
Minimum_duration_of_fixations_min_content,6
Minimum_duration_of_fixations_max_content,6
Maximum_duration_of_fixations_mean_content,6
Maximum_duration_of_fixations_std_content,6
Maximum_duration_of_fixations_min_content,6
Time_to_first_whole_fixation_min_content,6
Total_duration_of_Visit_max_content,5
Minimum_duration_of_Visit_max_content,5
total_lemma_count_text_std_content,4
Duration_of_first_whole_fixation_std_content,4
Maximum_duration_of_Visit_max_content,4
Average_whole-fixation_eye_openness_std_content,3
total_word_count_screen_std_content,3
word_frequency_screen_mean_content,3
Average_duration_of_Visit_max_content,3
Regression-path_duration_mean_content,2
id.line_std_content,2
total_lemma_count_text_min_content,2
Maximum_duration_of_whole_fixations_std_content,2
total_word_count_text_min_content,1
Average_whole-fixation_eye_openness_mean_content,1
Selective_regression-path_duration_mean_content,1
First-pass_regression_mean_content,1
Time_to_entry_saccade_min_content,1
Duration_of_first_Visit_min_content,1
Number_of_Visits_mean_content,1
