Feature,Stability_Count
Maximum_duration_of_fixations_mean_content,50
Maximum_duration_of_fixations_std_content,50
Maximum_duration_of_fixations_min_content,50
Maximum_duration_of_fixations_max_content,50
Number_of_fixations_mean_content,50
Number_of_fixations_std_content,50
Number_of_fixations_max_content,50
Time_to_first_fixation_mean_content,50
Time_to_first_fixation_std_content,50
Time_to_first_fixation_min_content,50
Time_to_first_fixation_max_content,50
Duration_of_first_fixation_mean_content,50
Duration_of_first_fixation_std_content,50
Duration_of_first_fixation_min_content,50
Duration_of_first_fixation_max_content,50
Average_pupil_diameter_mean_content,50
Average_pupil_diameter_std_content,50
Average_pupil_diameter_min_content,50
Average_pupil_diameter_max_content,50
Total_duration_of_whole_fixations_mean_content,50
Total_duration_of_whole_fixations_std_content,50
Total_duration_of_whole_fixations_max_content,50
Average_duration_of_whole_fixations_mean_content,50
Average_duration_of_whole_fixations_std_content,50
Average_duration_of_whole_fixations_min_content,50
Average_duration_of_whole_fixations_max_content,50
Minimum_duration_of_whole_fixations_mean_content,50
Minimum_duration_of_whole_fixations_std_content,50
Minimum_duration_of_whole_fixations_min_content,50
Minimum_duration_of_whole_fixations_max_content,50
Maximum_duration_of_whole_fixations_mean_content,50
Maximum_duration_of_whole_fixations_std_content,50
Maximum_duration_of_whole_fixations_min_content,50
Maximum_duration_of_whole_fixations_max_content,50
Number_of_whole_fixations_mean_content,50
Number_of_whole_fixations_std_content,50
Number_of_whole_fixations_max_content,50
Time_to_first_whole_fixation_mean_content,50
Time_to_first_whole_fixation_min_content,50
Time_to_first_whole_fixation_max_content,50
Duration_of_first_whole_fixation_mean_content,50
Duration_of_first_whole_fixation_std_content,50
Duration_of_first_whole_fixation_max_content,50
Average_whole-fixation_pupil_diameter_mean_content,50
Average_whole-fixation_pupil_diameter_std_content,50
Average_whole-fixation_pupil_diameter_min_content,50
Average_whole-fixation_pupil_diameter_max_content,50
Total_duration_of_Visit_mean_content,50
total_word_count_screen_std_content,50
total_word_count_screen_min_content,50
total_word_count_screen_max_content,50
total_word_count_text_mean_content,50
total_word_count_text_std_content,50
total_word_count_text_min_content,50
total_word_count_text_max_content,50
word_frequency_screen_mean_content,50
word_frequency_screen_std_content,50
word_frequency_screen_min_content,50
word_frequency_screen_max_content,50
word_frequency_text_mean_content,50
word_frequency_text_std_content,50
word_frequency_text_min_content,50
word_frequency_text_max_content,50
total_lemma_count_screen_mean_content,50
total_lemma_count_screen_std_content,50
total_lemma_count_screen_min_content,50
total_lemma_count_screen_max_content,50
total_lemma_count_text_mean_content,50
total_lemma_count_text_std_content,50
total_lemma_count_text_min_content,50
total_lemma_count_text_max_content,50
Duration_of_first_whole_fixation_min_content,46
Time_to_first_whole_fixation_std_content,44
Average_duration_of_Visit_std_content,42
total_word_count_screen_mean_content,41
Minimum_duration_of_fixations_max_content,38
Selective_regression-path_duration_max_content,37
Time_to_exit_saccade_min_content,36
Peak_velocity_of_entry_saccade_min_content,35
Peak_velocity_of_exit_saccade_min_content,34
Total_duration_of_Visit_std_content,20
Total_duration_of_Visit_max_content,19
Average_duration_of_Visit_mean_content,16
Average_duration_of_Visit_min_content,8
Minimum_duration_of_fixations_min_content,6
Minimum_duration_of_Visit_max_content,5
Maximum_duration_of_Visit_max_content,4
Average_whole-fixation_eye_openness_std_content,3
Average_duration_of_Visit_max_content,3
word_count_text_max_content,3
Regression-path_duration_mean_content,2
id.line_std_content,2
Average_whole-fixation_eye_openness_mean_content,1
Selective_regression-path_duration_mean_content,1
First-pass_regression_mean_content,1
Time_to_entry_saccade_min_content,1
Duration_of_first_Visit_min_content,1
Number_of_Visits_mean_content,1
