Feature,Stability_Count
Maximum_duration_of_fixations_std_content,50
Maximum_duration_of_whole_fixations_std_content,50
Total_duration_of_Visit_mean_content,50
Total_duration_of_Visit_std_content,50
Total_duration_of_Visit_max_content,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Number_of_Visits_max_content,50
Time_to_first_Visit_mean_content,50
Time_to_first_Visit_std_content,50
Time_to_first_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_first_fixation_duration_max_content,50
First-pass_duration_mean_content,50
First-pass_duration_std_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Average_whole-fixation_eye_openness_mean_content,50
Average_whole-fixation_eye_openness_std_content,50
Average_whole-fixation_eye_openness_max_content,50
Number_of_Visits_mean_content,46
First-pass_first_fixation_duration_mean_content,46
First-pass_first_fixation_duration_std_content,45
First-pass_regression_mean_content,44
Minimum_duration_of_fixations_min_content,36
Duration_of_first_whole_fixation_mean_content,32
First-pass_regression_std_content,28
Time_to_entry_saccade_min_content,24
Maximum_duration_of_fixations_max_content,20
Total_duration_of_whole_fixations_max_content,17
Duration_of_first_fixation_mean_content,17
Maximum_duration_of_whole_fixations_max_content,16
Time_to_exit_saccade_min_content,15
Average_duration_of_whole_fixations_mean_content,14
Total_duration_of_fixations_max_content,12
Maximum_duration_of_whole_fixations_mean_content,8
Duration_of_first_whole_fixation_std_content,7
Average_duration_of_fixations_mean_content,5
Average_whole-fixation_pupil_diameter_mean_content,3
Average_pupil_diameter_min_content,2
Average_pupil_diameter_mean_content,2
Average_pupil_diameter_max_content,2
Maximum_duration_of_fixations_mean_content,2
Average_whole-fixation_pupil_diameter_min_content,1
Total_duration_of_fixations_std_content,1
Total_duration_of_whole_fixations_std_content,1
Number_of_Visits_std_content,1
Peak_velocity_of_entry_saccade_min_content,1
Duration_of_first_fixation_std_content,1
Average_duration_of_fixations_max_content,1
