Feature,Stability_Count
Total_duration_of_fixations_max_content,50
Average_duration_of_fixations_mean_content,50
Minimum_duration_of_fixations_min_content,50
Maximum_duration_of_fixations_mean_content,50
Maximum_duration_of_fixations_std_content,50
Maximum_duration_of_fixations_max_content,50
Duration_of_first_fixation_mean_content,50
Duration_of_first_fixation_std_content,50
Total_duration_of_whole_fixations_max_content,50
Average_duration_of_whole_fixations_mean_content,50
Maximum_duration_of_whole_fixations_mean_content,50
Maximum_duration_of_whole_fixations_std_content,50
Maximum_duration_of_whole_fixations_max_content,50
Duration_of_first_whole_fixation_mean_content,50
Duration_of_first_whole_fixation_std_content,50
Total_duration_of_Visit_mean_content,50
Total_duration_of_Visit_std_content,50
Total_duration_of_Visit_max_content,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Number_of_Visits_mean_content,50
Number_of_Visits_max_content,50
Time_to_first_Visit_mean_content,50
Time_to_first_Visit_std_content,50
Time_to_first_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_first_fixation_duration_mean_content,50
First-pass_first_fixation_duration_std_content,50
First-pass_first_fixation_duration_max_content,50
First-pass_duration_mean_content,50
First-pass_duration_std_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
First-pass_regression_mean_content,50
First-pass_regression_std_content,50
Average_whole-fixation_eye_openness_mean_content,50
Average_whole-fixation_eye_openness_std_content,50
Average_whole-fixation_eye_openness_max_content,50
Average_duration_of_fixations_max_content,49
Time_to_first_fixation_min_content,49
Time_to_first_fixation_max_content,49
Average_pupil_diameter_mean_content,49
Average_pupil_diameter_max_content,49
Average_whole-fixation_pupil_diameter_mean_content,49
Time_to_first_Visit_min_content,49
Time_to_entry_saccade_min_content,49
Time_to_exit_saccade_min_content,49
Average_pupil_diameter_min_content,48
Number_of_Visits_std_content,47
Average_duration_of_whole_fixations_std_content,46
Minimum_duration_of_fixations_max_content,44
Average_whole-fixation_pupil_diameter_min_content,43
Number_of_saccades_in_AOI_std_content,43
Time_to_first_fixation_std_content,42
Minimum_duration_of_whole_fixations_mean_content,41
Average_duration_of_fixations_std_content,41
Average_duration_of_whole_fixations_max_content,40
Total_duration_of_whole_fixations_mean_content,39
Total_duration_of_whole_fixations_std_content,38
word_frequency_screen_min_content,38
Average_whole-fixation_pupil_diameter_max_content,38
Minimum_duration_of_fixations_mean_content,36
Total_duration_of_fixations_mean_content,35
Peak_velocity_of_exit_saccade_min_content,35
Total_duration_of_fixations_std_content,34
Time_to_first_whole_fixation_std_content,31
Time_to_first_whole_fixation_max_content,31
total_word_count_screen_max_content,31
Number_of_saccades_in_AOI_mean_content,29
Maximum_duration_of_fixations_min_content,28
word_id_screen_max_content,26
Time_to_first_fixation_mean_content,24
Minimum_duration_of_whole_fixations_max_content,23
Time_to_first_whole_fixation_mean_content,21
Time_to_exit_saccade_std_content,17
Minimum_duration_of_Visit_min_content,14
Average_duration_of_fixations_min_content,13
Peak_velocity_of_entry_saccade_min_content,11
Minimum_duration_of_whole_fixations_std_content,10
total_lemma_count_text_min_content,10
Minimum_duration_of_fixations_std_content,9
Number_of_saccades_in_AOI_max_content,8
Time_to_entry_saccade_std_content,8
total_lemma_count_screen_max_content,7
Average_duration_of_Visit_min_content,4
AOI_length_min_content,3
word_count_screen_max_content,3
total_word_count_screen_min_content,3
Time_to_entry_saccade_max_content,3
Duration_of_first_whole_fixation_max_content,2
Minimum_duration_of_whole_fixations_min_content,2
Time_to_entry_saccade_mean_content,2
Time_to_exit_saccade_mean_content,2
total_word_count_screen_std_content,1
word_frequency_text_std_content,1
total_lemma_count_screen_std_content,1
Regression-path_duration_mean_content,1
Maximum_duration_of_Visit_min_content,1
Duration_of_first_fixation_max_content,1
