Feature,Stability_Count
Average_duration_of_fixations_mean_medical,50
Maximum_duration_of_fixations_mean_medical,50
Maximum_duration_of_fixations_std_medical,50
Duration_of_first_fixation_mean_medical,50
Duration_of_first_fixation_std_medical,50
Duration_of_first_fixation_max_medical,50
Average_duration_of_whole_fixations_mean_medical,50
Maximum_duration_of_whole_fixations_mean_medical,50
Maximum_duration_of_whole_fixations_std_medical,50
Maximum_duration_of_whole_fixations_max_medical,50
Duration_of_first_whole_fixation_mean_medical,50
Duration_of_first_whole_fixation_std_medical,50
Duration_of_first_whole_fixation_max_medical,50
Total_duration_of_Visit_mean_medical,50
Total_duration_of_Visit_std_medical,50
Total_duration_of_Visit_max_medical,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Time_to_first_Visit_mean_medical,50
Time_to_first_Visit_std_medical,50
Time_to_first_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_first_fixation_duration_mean_medical,50
First-pass_first_fixation_duration_std_medical,50
First-pass_first_fixation_duration_max_medical,50
First-pass_duration_mean_medical,50
First-pass_duration_std_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
First-pass_regression_mean_medical,50
First-pass_regression_std_medical,50
Average_whole-fixation_eye_openness_mean_medical,50
Average_whole-fixation_eye_openness_std_medical,50
Average_whole-fixation_eye_openness_max_medical,50
Maximum_duration_of_fixations_max_medical,49
Average_duration_of_whole_fixations_std_medical,49
Time_to_first_fixation_min_medical,48
Time_to_first_Visit_min_medical,48
Average_duration_of_fixations_std_medical,47
Average_whole-fixation_pupil_diameter_max_medical,47
Number_of_Visits_max_medical,46
Average_pupil_diameter_max_medical,45
Peak_velocity_of_entry_saccade_min_medical,45
Average_pupil_diameter_min_medical,44
Average_whole-fixation_pupil_diameter_min_medical,35
Minimum_duration_of_whole_fixations_std_medical,35
Minimum_duration_of_fixations_max_medical,32
Number_of_Visits_mean_medical,30
Duration_of_first_Visit_min_medical,25
Minimum_duration_of_whole_fixations_mean_medical,17
Minimum_duration_of_fixations_std_medical,17
Total_duration_of_fixations_max_medical,15
Average_duration_of_Visit_min_medical,13
Average_whole-fixation_pupil_diameter_mean_medical,10
Minimum_duration_of_fixations_mean_medical,9
Average_pupil_diameter_mean_medical,7
Total_duration_of_whole_fixations_max_medical,6
Minimum_duration_of_fixations_min_medical,4
Minimum_duration_of_whole_fixations_max_medical,3
word_frequency_screen_min_medical,3
Average_duration_of_fixations_max_medical,2
Average_duration_of_whole_fixations_max_medical,2
Total_duration_of_fixations_std_medical,2
Total_duration_of_whole_fixations_std_medical,2
Number_of_saccades_in_AOI_std_medical,2
Sentence_id_current_min_medical,2
total_word_count_screen_max_medical,1
Number_of_Visits_std_medical,1
word_id_text_min_medical,1
Time_to_first_fixation_mean_medical,1
Time_to_first_whole_fixation_mean_medical,1
Number_of_saccades_in_AOI_mean_medical,1
Maximum_duration_of_Visit_min_medical,1
Minimum_duration_of_whole_fixations_min_medical,1
Time_to_entry_saccade_min_medical,1
