Feature,Stability_Count
Number_of_fixations_mean_medical,50
Number_of_fixations_std_medical,50
Number_of_fixations_max_medical,50
Time_to_first_fixation_mean_medical,50
Time_to_first_fixation_std_medical,50
Time_to_first_fixation_min_medical,50
Time_to_first_fixation_max_medical,50
Duration_of_first_fixation_mean_medical,50
Duration_of_first_fixation_std_medical,50
Duration_of_first_fixation_min_medical,50
Duration_of_first_fixation_max_medical,50
Average_pupil_diameter_mean_medical,50
Average_pupil_diameter_std_medical,50
Total_duration_of_whole_fixations_max_medical,50
Average_duration_of_whole_fixations_mean_medical,50
word_frequency_screen_max_medical,50
word_frequency_text_mean_medical,50
word_frequency_text_std_medical,50
word_frequency_text_min_medical,50
word_frequency_text_max_medical,50
Average_pupil_diameter_min_medical,49
Total_duration_of_whole_fixations_std_medical,49
total_lemma_count_screen_mean_medical,49
Total_duration_of_whole_fixations_mean_medical,48
total_lemma_count_screen_std_medical,48
total_lemma_count_screen_min_medical,48
total_lemma_count_screen_max_medical,48
Average_pupil_diameter_max_medical,46
Average_duration_of_whole_fixations_std_medical,46
Average_duration_of_whole_fixations_max_medical,46
Minimum_duration_of_whole_fixations_mean_medical,46
total_lemma_count_text_max_medical,46
Minimum_duration_of_whole_fixations_min_medical,43
Selective_regression-path_duration_max_medical,43
Minimum_duration_of_whole_fixations_std_medical,42
Time_to_exit_saccade_min_medical,42
word_frequency_screen_min_medical,40
Average_duration_of_whole_fixations_min_medical,39
Peak_velocity_of_entry_saccade_mean_medical,38
Peak_velocity_of_exit_saccade_mean_medical,38
total_lemma_count_text_mean_medical,16
total_lemma_count_text_std_medical,12
Maximum_duration_of_fixations_max_medical,9
word_frequency_screen_std_medical,6
total_lemma_count_text_min_medical,6
First-pass_regression_std_medical,5
Time_to_first_whole_fixation_min_medical,5
Minimum_duration_of_fixations_min_medical,4
Minimum_duration_of_fixations_max_medical,4
Maximum_duration_of_fixations_mean_medical,4
Maximum_duration_of_fixations_std_medical,4
Maximum_duration_of_fixations_min_medical,4
word_frequency_screen_mean_medical,3
Maximum_duration_of_Visit_max_medical,3
Peak_velocity_of_exit_saccade_min_medical,2
Selective_regression-path_duration_mean_medical,2
total_word_count_text_std_medical,2
total_word_count_text_min_medical,2
total_word_count_text_max_medical,2
Maximum_duration_of_whole_fixations_mean_medical,2
Minimum_duration_of_Visit_max_medical,2
total_word_count_text_mean_medical,2
Minimum_duration_of_Visit_min_medical,1
Average_whole-fixation_eye_openness_std_medical,1
Time_to_entry_saccade_min_medical,1
First-pass_regression_mean_medical,1
Peak_velocity_of_entry_saccade_min_medical,1
