Feature,Stability_Count
Maximum_duration_of_fixations_std_medical,50
Duration_of_first_fixation_std_medical,50
Maximum_duration_of_whole_fixations_std_medical,50
Duration_of_first_whole_fixation_std_medical,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Time_to_first_Visit_mean_medical,50
Time_to_first_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_first_fixation_duration_mean_medical,50
First-pass_first_fixation_duration_std_medical,50
First-pass_duration_mean_medical,50
First-pass_duration_std_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_whole-fixation_eye_openness_mean_medical,50
Average_whole-fixation_eye_openness_std_medical,50
Time_to_first_Visit_std_medical,49
First-pass_regression_mean_medical,49
Duration_of_first_whole_fixation_mean_medical,48
Average_whole-fixation_eye_openness_max_medical,48
Duration_of_first_fixation_mean_medical,47
Total_duration_of_Visit_max_medical,45
Total_duration_of_Visit_std_medical,43
Total_duration_of_Visit_mean_medical,38
First-pass_first_fixation_duration_max_medical,38
First-pass_regression_std_medical,36
Average_duration_of_whole_fixations_mean_medical,32
Duration_of_first_whole_fixation_max_medical,31
Duration_of_first_fixation_max_medical,18
Average_duration_of_fixations_mean_medical,16
Time_to_first_Visit_min_medical,13
Time_to_first_fixation_min_medical,12
Maximum_duration_of_whole_fixations_mean_medical,9
Peak_velocity_of_entry_saccade_min_medical,5
Average_whole-fixation_pupil_diameter_max_medical,4
Average_duration_of_whole_fixations_std_medical,3
Average_pupil_diameter_min_medical,2
Average_whole-fixation_pupil_diameter_min_medical,2
Maximum_duration_of_fixations_mean_medical,2
Minimum_duration_of_fixations_max_medical,1
Total_duration_of_fixations_max_medical,1
Total_duration_of_whole_fixations_max_medical,1
Number_of_Visits_mean_medical,1
Number_of_Visits_max_medical,1
Average_pupil_diameter_max_medical,1
Average_duration_of_fixations_std_medical,1
Minimum_duration_of_whole_fixations_mean_medical,1
Maximum_duration_of_fixations_max_medical,1
Maximum_duration_of_whole_fixations_max_medical,1
