Feature,Stability_Count
Total_duration_of_fixations_max_medical,50
Average_duration_of_fixations_mean_medical,50
Average_duration_of_fixations_std_medical,50
Minimum_duration_of_fixations_std_medical,50
Maximum_duration_of_fixations_mean_medical,50
Maximum_duration_of_fixations_std_medical,50
Maximum_duration_of_fixations_max_medical,50
Time_to_first_fixation_min_medical,50
Duration_of_first_fixation_mean_medical,50
Duration_of_first_fixation_std_medical,50
Duration_of_first_fixation_max_medical,50
Average_pupil_diameter_min_medical,50
Average_pupil_diameter_max_medical,50
Total_duration_of_whole_fixations_max_medical,50
Average_duration_of_whole_fixations_mean_medical,50
Average_duration_of_whole_fixations_std_medical,50
Minimum_duration_of_whole_fixations_std_medical,50
Maximum_duration_of_whole_fixations_mean_medical,50
Maximum_duration_of_whole_fixations_std_medical,50
Maximum_duration_of_whole_fixations_max_medical,50
Duration_of_first_whole_fixation_mean_medical,50
Duration_of_first_whole_fixation_std_medical,50
Duration_of_first_whole_fixation_max_medical,50
Average_whole-fixation_pupil_diameter_min_medical,50
Average_whole-fixation_pupil_diameter_max_medical,50
Total_duration_of_Visit_mean_medical,50
Total_duration_of_Visit_std_medical,50
Total_duration_of_Visit_max_medical,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Number_of_Visits_max_medical,50
Time_to_first_Visit_mean_medical,50
Time_to_first_Visit_std_medical,50
Time_to_first_Visit_min_medical,50
Time_to_first_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
Peak_velocity_of_entry_saccade_min_medical,50
First-pass_first_fixation_duration_mean_medical,50
First-pass_first_fixation_duration_std_medical,50
First-pass_first_fixation_duration_max_medical,50
First-pass_duration_mean_medical,50
First-pass_duration_std_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
First-pass_regression_mean_medical,50
First-pass_regression_std_medical,50
Average_whole-fixation_eye_openness_mean_medical,50
Average_whole-fixation_eye_openness_std_medical,50
Average_whole-fixation_eye_openness_max_medical,50
Minimum_duration_of_fixations_max_medical,49
Minimum_duration_of_whole_fixations_mean_medical,49
Duration_of_first_Visit_min_medical,49
Minimum_duration_of_whole_fixations_max_medical,48
Sentence_id_current_min_medical,48
Average_duration_of_Visit_min_medical,47
Number_of_Visits_mean_medical,47
word_id_text_min_medical,47
Minimum_duration_of_fixations_mean_medical,46
Average_whole-fixation_pupil_diameter_mean_medical,46
Average_pupil_diameter_mean_medical,45
Average_duration_of_fixations_max_medical,44
Number_of_saccades_in_AOI_mean_medical,40
Average_duration_of_whole_fixations_max_medical,39
Total_duration_of_whole_fixations_std_medical,37
Number_of_saccades_in_AOI_std_medical,35
Total_duration_of_fixations_std_medical,32
word_frequency_screen_min_medical,32
Minimum_duration_of_fixations_min_medical,30
Time_to_first_fixation_max_medical,29
total_word_count_screen_max_medical,28
Time_to_first_whole_fixation_max_medical,22
Maximum_duration_of_Visit_min_medical,18
Total_duration_of_whole_fixations_mean_medical,16
Time_to_first_whole_fixation_mean_medical,13
Time_to_first_fixation_mean_medical,12
Total_duration_of_fixations_mean_medical,9
Number_of_Visits_std_medical,9
total_lemma_count_text_min_medical,9
Time_to_entry_saccade_max_medical,8
total_lemma_count_screen_max_medical,6
total_word_count_screen_min_medical,2
total_word_count_text_min_medical,2
Number_of_saccades_in_AOI_max_medical,1
Time_to_first_fixation_std_medical,1
Time_to_first_whole_fixation_std_medical,1
Time_to_entry_saccade_mean_medical,1
Time_to_exit_saccade_mean_medical,1
Minimum_duration_of_whole_fixations_min_medical,1
Time_to_entry_saccade_min_medical,1
