Feature,Stability_Count
Maximum_duration_of_whole_fixations_std_medical,50
Duration_of_first_whole_fixation_std_medical,50
Average_duration_of_Visit_mean_medical,50
Average_duration_of_Visit_std_medical,50
Average_duration_of_Visit_max_medical,50
Minimum_duration_of_Visit_mean_medical,50
Minimum_duration_of_Visit_std_medical,50
Minimum_duration_of_Visit_max_medical,50
Maximum_duration_of_Visit_mean_medical,50
Maximum_duration_of_Visit_std_medical,50
Maximum_duration_of_Visit_max_medical,50
Time_to_first_Visit_max_medical,50
Duration_of_first_Visit_mean_medical,50
Duration_of_first_Visit_std_medical,50
Duration_of_first_Visit_max_medical,50
First-pass_first_fixation_duration_mean_medical,50
First-pass_first_fixation_duration_std_medical,50
First-pass_duration_std_medical,50
First-pass_duration_max_medical,50
Selective_regression-path_duration_mean_medical,50
Selective_regression-path_duration_std_medical,50
Selective_regression-path_duration_max_medical,50
Average_whole-fixation_eye_openness_std_medical,50
Total_duration_of_Visit_max_content,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Time_to_first_Visit_mean_content,50
Time_to_first_Visit_std_content,50
Time_to_first_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_duration_std_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
Average_whole-fixation_eye_openness_mean_content,50
Average_whole-fixation_eye_openness_std_content,50
Average_whole-fixation_eye_openness_mean_medical,49
Average_whole-fixation_eye_openness_max_content,49
Duration_of_first_fixation_std_medical,48
Time_to_first_Visit_mean_medical,48
First-pass_duration_mean_medical,48
Maximum_duration_of_fixations_std_medical,47
Time_to_first_Visit_std_medical,47
Total_duration_of_Visit_mean_content,47
Number_of_Visits_max_content,47
Total_duration_of_Visit_std_content,46
Average_whole-fixation_eye_openness_max_medical,43
First-pass_regression_mean_medical,36
First-pass_first_fixation_duration_max_content,29
Maximum_duration_of_whole_fixations_std_content,16
Duration_of_first_whole_fixation_mean_medical,16
Total_duration_of_Visit_max_medical,11
First-pass_regression_std_medical,9
Duration_of_first_fixation_mean_medical,9
Total_duration_of_Visit_std_medical,8
First-pass_first_fixation_duration_max_medical,8
Maximum_duration_of_fixations_std_content,7
Minimum_duration_of_fixations_min_content,5
First-pass_duration_mean_content,4
Total_duration_of_Visit_mean_medical,3
First-pass_regression_mean_content,2
Average_duration_of_whole_fixations_mean_medical,2
Duration_of_first_fixation_max_medical,2
Duration_of_first_whole_fixation_max_medical,2
Number_of_Visits_mean_medical,1
Number_of_Visits_max_medical,1
Total_duration_of_fixations_max_content,1
Total_duration_of_whole_fixations_max_content,1
Number_of_Visits_mean_content,1
First-pass_first_fixation_duration_mean_content,1
Maximum_duration_of_fixations_max_content,1
Maximum_duration_of_whole_fixations_max_content,1
Average_duration_of_fixations_mean_medical,1
Time_to_first_fixation_min_medical,1
Time_to_first_Visit_min_medical,1
Time_to_entry_saccade_min_content,1
